stressor,mean_imp,mean_imp_npp,iucn_sid,species
climate,0.191086128587618,0.06268709700911936,NA,aaptos aaptos
non-climate,0.0759948905641073,0.02101820497426187,NA,aaptos aaptos
climate,0.24048179020544236,0.12571301405536076,NA,aaptos bergmanni
non-climate,0.038383763431006704,0.02265776582750545,NA,aaptos bergmanni
climate,0.20982843367586673,0.09092096876340681,NA,aaptos duchassaingi
non-climate,0.03346803475726436,0.012281863663086978,NA,aaptos duchassaingi
climate,0.211482886261971,0.09979713259444864,NA,aaptos pernucleata
non-climate,0.031464647799998975,0.01178144282354388,NA,aaptos pernucleata
climate,0.14692300753487827,0.16935967023768336,NA,aaptos suberitoides
non-climate,0.03415413861828855,0.03433033106233764,NA,aaptos suberitoides
climate,0.22706515086630333,0.24569303067616713,NA,aatolana schioedtei
non-climate,0.02559967324523945,0.026713607705628244,NA,aatolana schioedtei
climate,0.15550634943206207,0.15584669213968153,NA,abalistes filamentosus
non-climate,0.06475077268826393,0.05770215935660326,NA,abalistes filamentosus
climate,0.15579775824951245,0.17082982612268477,NA,abalistes stellaris
non-climate,0.06878351921871616,0.082669875080779,NA,abalistes stellaris
climate,0.1849609765885806,0.1994132116901918,NA,abalistes stellatus
non-climate,0.0718568122254462,0.08224323207337576,NA,abalistes stellatus
climate,0.24627115387844128,0.29815578626133765,NA,abdopus aculeatus
non-climate,0.12117681717787128,0.1515594529497113,NA,abdopus aculeatus
climate,0.20329175842413508,0.20088887430816613,NA,abdopus horridus
non-climate,0.08838400624594052,0.08088637769634628,NA,abdopus horridus
climate,0.19104969734019275,0.23102307751087506,NA,ablabys taenianotus
non-climate,0.0740866254549532,0.07712880031137195,NA,ablabys taenianotus
climate,0.18258931600062914,0.18569482490344363,NA,ablennes hians
non-climate,0.08211403900055574,0.10105527482756074,NA,ablennes hians
climate,0.26674884520356645,0.02629326458266194,NA,abudefduf abdominalis
non-climate,0.0783612274859455,0.007376195080030078,NA,abudefduf abdominalis
climate,0.15631029708265068,0.18451356360853313,NA,abudefduf bengalensis
non-climate,0.09427630161553655,0.11574431444160099,NA,abudefduf bengalensis
climate,0.17217612407481878,0.2540252420958819,NA,abudefduf concolor
non-climate,0.11907575889315175,0.1724852514427936,NA,abudefduf concolor
climate,0.19072812225072636,0.2602819396287233,NA,abudefduf declivifrons
non-climate,0.11454462048010172,0.12972771563546573,NA,abudefduf declivifrons
climate,0.15683068913199935,0.15844997181341042,NA,abudefduf lorenzi
non-climate,0.07862311254828358,0.0604845605520456,NA,abudefduf lorenzi
climate,0.1552110664729556,0.16548176896791628,NA,abudefduf notatus
non-climate,0.09538386212467703,0.09862476240457592,NA,abudefduf notatus
climate,0.16811074629457107,0.14551893497181168,NA,abudefduf saxatilis
non-climate,0.08246524884907869,0.07493884600782873,NA,abudefduf saxatilis
climate,0.15720940568788677,0.15749634206295873,NA,abudefduf septemfasciatus
non-climate,0.09530613839979123,0.09839045642102653,NA,abudefduf septemfasciatus
climate,0.15825213991343864,0.16525810880407582,NA,abudefduf sexfasciatus
non-climate,0.09275490576891487,0.09641934354091061,NA,abudefduf sexfasciatus
climate,0.15736062857707772,0.15985901987514808,NA,abudefduf sordidus
non-climate,0.09841643026032473,0.1038344396432542,NA,abudefduf sordidus
climate,0.18257649171807627,0.16613790968707934,NA,abudefduf sparoides
non-climate,0.08825643009854804,0.07286309450967124,NA,abudefduf sparoides
climate,0.17797998799595655,0.13494671047089546,NA,abudefduf taurus
non-climate,0.07548782010782579,0.06059211313284475,NA,abudefduf taurus
climate,0.17619556105924938,0.21418151756797213,NA,abudefduf troschelii
non-climate,0.11403883279354798,0.12153746745411824,NA,abudefduf troschelii
climate,0.15759331639483237,0.16425052395564924,NA,abudefduf vaigiensis
non-climate,0.09526341110617738,0.10223151846651193,NA,abudefduf vaigiensis
climate,0.18309810657910824,0.16363323879648933,NA,abudefduf whitleyi
non-climate,0.02759496181248304,0.014155171642525477,NA,abudefduf whitleyi
climate,0.08050539957020321,0.06195274604751255,NA,abyssobrotula galatheae
non-climate,0.02073590222942131,0.010761716427937246,NA,abyssobrotula galatheae
climate,0.21550656034594276,0.05592335945151812,NA,abyssorchomene nodimanus
non-climate,1.5006098349749596e-4,3.411841886422856e-5,NA,abyssorchomene nodimanus
climate,0.112342976530585,0.10794029183242998,NA,acanthaluteres brownii
non-climate,0.009681020211999038,0.010252136010466453,NA,acanthaluteres brownii
climate,0.12461769592652056,0.1341106578799985,NA,acanthaluteres spilomelanurus
non-climate,0.14438961281409848,0.14816541276182651,NA,acanthaluteres spilomelanurus
climate,0.12286588560090811,0.12892876076559537,NA,acanthaluteres vittiger
non-climate,0.015223830052165382,0.01851826731692592,NA,acanthaluteres vittiger
climate,0.22103697979913595,0.22792823944661128,NA,acanthaphritis barbata
non-climate,0.052025617297989726,0.027431691966358696,NA,acanthaphritis barbata
climate,0.20526407793513543,0.1943011869187026,NA,acanthaphritis grandisquamis
non-climate,0.03462673248592346,0.010169647305668793,NA,acanthaphritis grandisquamis
climate,0.2463156864690219,0.2592406725738527,NA,acanthaster planci
non-climate,0.06521171371193418,0.0765376969447218,NA,acanthaster planci
climate,0.15057021000493642,0.1452243322369818,NA,acanthella cavernosa
non-climate,0.037010136439010403,0.03815985801895289,NA,acanthella cavernosa
climate,0.18027872763688452,0.1684984990938972,NA,acanthella costata
non-climate,0.029436667267753153,0.02476642406997944,NA,acanthella costata
climate,0.2511980735368697,0.11611805490561397,NA,acanthella cubensis
non-climate,0.03207801838312914,0.011733321652522728,NA,acanthella cubensis
climate,0.3094921431826237,0.11312778087185459,NA,acanthella mastophora
non-climate,0.02406026631562959,0.007943429699762037,NA,acanthella mastophora
climate,0.1649930053701769,0.1556401616900616,NA,acanthella pulcherrima
non-climate,0.026071569018786992,0.02301854730903077,NA,acanthella pulcherrima
climate,0.08205529211904343,0.04651126611274516,NA,acanthephyra acutifrons
non-climate,0.04969579317854254,0.019547843998355404,NA,acanthephyra acutifrons
climate,0.08724285477822305,0.0713062974686979,NA,acanthephyra armata
non-climate,0.04879351171721775,0.03577839297454167,NA,acanthephyra armata
climate,0.09868356223763339,0.06870968009517549,NA,acanthephyra brevirostris
non-climate,0.014588450771289578,0.006887989951895709,NA,acanthephyra brevirostris
climate,0.08969187381104016,0.09108597217689099,NA,acanthephyra carinata
non-climate,0.0633887115665343,0.05092892140155581,NA,acanthephyra carinata
climate,0.08150675487818765,0.036128649283908604,NA,acanthephyra cucullata
non-climate,0.05145408936793222,0.008353846180586176,NA,acanthephyra cucullata
climate,0.07766699706668018,0.058947150301769426,NA,acanthephyra curtirostris
non-climate,0.017854638760159424,0.011994617459220008,NA,acanthephyra curtirostris
climate,0.21253080610766664,0.18767414596335563,NA,acanthephyra eximia
non-climate,0.043768010154705606,0.038816821734293565,NA,acanthephyra eximia
climate,0.24193923839445003,0.24665654372067186,NA,acanthephyra pelagica
non-climate,0.01706862855801678,0.024795769235376713,NA,acanthephyra pelagica
climate,0.08920255010795484,0.07455518963633526,NA,acanthephyra purpurea
non-climate,0.03990349731413558,0.01502639609671713,NA,acanthephyra purpurea
climate,0.2070142200859264,0.23161735306200104,NA,acanthephyra quadrispinosa
non-climate,0.06474873063727427,0.05663708695756019,NA,acanthephyra quadrispinosa
climate,0.09337628158895818,0.10841961732637563,NA,acanthephyra sica
non-climate,0.07210589849108369,0.07718636742890274,NA,acanthephyra sica
climate,0.07375730345358221,0.05399720476648245,NA,acanthephyra smithi
non-climate,0.017769391221249577,0.013281097897290093,NA,acanthephyra smithi
climate,0.08346888644091102,0.059523417831112466,NA,acanthephyra stylorostratis
non-climate,0.0186223048387091,0.008838123425365003,NA,acanthephyra stylorostratis
climate,0.30328011741453825,0.15590782213595816,NA,acanthilia intermedia
non-climate,0.06403259238100645,0.02417990078844093,NA,acanthilia intermedia
climate,0.917495635691386,1.419932464371797,NA,acanthina monodon
non-climate,0.16416109330025977,0.271914632719444,NA,acanthina monodon
climate,0.21666856730354855,0.3545997398746358,NA,acanthistius brasilianus
non-climate,0.09757475259308583,0.13132887033715174,NA,acanthistius brasilianus
climate,0.26054820846012555,0.3393089343970173,NA,acanthistius ocellatus
non-climate,0.046837404391808536,0.07458968665186282,NA,acanthistius ocellatus
climate,0.18113907997846504,0.2594889633307412,NA,acanthistius sebastoides
non-climate,0.14407961954896215,0.24021053418675603,NA,acanthistius sebastoides
climate,0.12945698939439534,0.1182102700188767,NA,acanthistius serratus
non-climate,0.015981105062056012,0.015566538086249191,NA,acanthistius serratus
climate,0.2592741618571877,0.11287057953964509,NA,acanthocarpus alexandri
non-climate,0.07767454127734011,0.02500237014406879,NA,acanthocarpus alexandri
climate,0.15399165052580263,0.2379942194333792,NA,acanthocepola abbreviata
non-climate,0.08365513798260625,0.13263116333400937,NA,acanthocepola abbreviata
climate,0.17499243959020008,0.1753885462809397,NA,acanthocepola krusensternii
non-climate,0.1259362810446539,0.16232325016270233,NA,acanthocepola krusensternii
climate,0.19124445910653062,0.19073863597772744,NA,acanthocepola limbata
non-climate,0.060035848097759734,0.06189448193621555,NA,acanthocepola limbata
climate,0.05809997137507052,0.045223625766507056,NA,acanthochaenus luetkenii
non-climate,0.02802167145028355,0.01960151512735199,NA,acanthochaenus luetkenii
climate,0.15928945160780725,0.11193721435069427,NA,acanthochaetetes wellsi
non-climate,0.009821426625919933,0.003704952525698224,NA,acanthochaetetes wellsi
climate,0.21395381937053126,0.20583818980598068,NA,acanthochromis polyacanthus
non-climate,0.05462070042961107,0.02918370378783535,NA,acanthochromis polyacanthus
climate,0.22231049172067885,0.3164428005405034,NA,acanthoclinus fuscus
non-climate,0.06206689874722305,0.11083965829191764,NA,acanthoclinus fuscus
climate,0.3202819446994864,0.5298886533228719,NA,acanthocyclus albatrossis
non-climate,0.13965952178243715,0.2059505478301031,NA,acanthocyclus albatrossis
climate,0.3688636210934141,0.3845798028293531,NA,acanthodoris pilosa
non-climate,0.09002216347866215,0.09407147602118407,NA,acanthodoris pilosa
climate,0.20034994349950838,0.25207818347250555,NA,acanthogobius flavimanus
non-climate,0.2593478008834622,0.34996731042984397,NA,acanthogobius flavimanus
climate,0.49114450713638574,0.19985257823121866,NA,acanthogorgia aspera
non-climate,0.061304872237523234,0.027230552730597973,NA,acanthogorgia aspera
climate,0.35129392671176213,0.4259734463964183,NA,acantholithodes hispidus
non-climate,0.09943325222638572,0.10578750304151054,NA,acantholithodes hispidus
climate,0.24613224069483874,0.18795520750590095,NA,acantholobulus bermudensis
non-climate,0.07953429343764383,0.05676065544389237,NA,acantholobulus bermudensis
climate,0.23847200237046204,0.18175400999710598,NA,acantholobulus caribbaeus
non-climate,0.07166080912047708,0.04878629925425761,NA,acantholobulus caribbaeus
climate,0.466751263560073,0.35091353812400167,NA,acantholumpenus mackayi
non-climate,0.017713492851205548,0.013183307168589845,NA,acantholumpenus mackayi
climate,0.26951205609067436,0.2534104632080363,NA,acanthomysis longicornis
non-climate,0.09419766869236536,0.09651820595079852,NA,acanthomysis longicornis
climate,0.07020368314227828,0.04568517085921727,NA,acanthonus armatus
non-climate,0.0075965283555906316,0.0037275655380867925,NA,acanthonus armatus
climate,0.23081718795317382,0.12790289310778633,NA,acanthonyx petiverii
non-climate,0.0690915039320477,0.029118267164953884,NA,acanthonyx petiverii
climate,0.1646351068001515,0.1691941346580755,NA,acanthoplesiops hiatti
non-climate,0.08869068957370715,0.08873997527674755,NA,acanthoplesiops hiatti
climate,0.18212196121552926,0.23366030414522757,NA,acanthoplesiops indicus
non-climate,0.12465231928908026,0.1697047474555327,NA,acanthoplesiops indicus
climate,0.24358554938789295,0.24080430922142904,NA,acanthoplesiops psilogaster
non-climate,0.06624650541587407,0.049882825581497224,NA,acanthoplesiops psilogaster
climate,0.33451742070775714,0.3052077828062752,NA,acanthopsetta nadeshnyi
non-climate,0.16396641960086497,0.13165675834722787,NA,acanthopsetta nadeshnyi
climate,0.1905185274519016,0.21894164953554515,NA,acanthosphex leurynnis
non-climate,0.07825748305791473,0.0921408884644995,NA,acanthosphex leurynnis
climate,0.21677915917175236,0.19864520637075703,NA,acanthosquilla derijardi
non-climate,0.03275114987080588,0.03219003132202154,NA,acanthosquilla derijardi
climate,0.21915735212828252,0.19223767530948577,NA,acanthosquilla multifasciata
non-climate,0.03539944183821324,0.035249401518025435,NA,acanthosquilla multifasciata
climate,0.4918627154639547,0.0989369184090176,NA,acanthostepheia malmgreni
non-climate,0.0038954098215703836,5.81613087567564e-4,NA,acanthostepheia malmgreni
climate,0.15877840609025778,0.24624617116892691,NA,acanthostracion guineense
non-climate,0.1288442161483504,0.19603560787986887,NA,acanthostracion guineense
climate,0.1574862816818414,0.23991561689314947,NA,acanthostracion notacanthus
non-climate,0.0812213255531522,0.13039368842386656,NA,acanthostracion notacanthus
climate,0.16826962283384303,0.13102002763110024,NA,acanthostracion polygonius
non-climate,0.05409081306888764,0.045374874217856305,NA,acanthostracion polygonius
climate,0.16717153594282738,0.15324441608198855,NA,acanthostracion quadricornis
non-climate,0.08129594598840514,0.07928055980569232,NA,acanthostracion quadricornis
climate,0.14391545605510794,0.14308884925272156,NA,acanthostrongylophora ingens
