species,iucn_sid,taxon
aaptos aaptos,NA,sponges
aaptos bergmanni,NA,sponges
aaptos duchassaingi,NA,sponges
aaptos pernucleata,NA,sponges
aaptos suberitoides,NA,sponges
aatolana schioedtei,NA,crustacea_arthropods
abalistes filamentosus,NA,fish
abalistes stellaris,NA,fish
abalistes stellatus,NA,fish
abdopus aculeatus,163291,cephalopods
abdopus horridus,163329,cephalopods
ablabys taenianotus,NA,fish
ablennes hians,13486514,fish
abudefduf abdominalis,188304,fish
abudefduf bengalensis,188532,fish
abudefduf concolor,183483,fish
abudefduf declivifrons,183460,fish
abudefduf lorenzi,188371,fish
abudefduf notatus,188537,fish
abudefduf saxatilis,188581,fish
abudefduf septemfasciatus,188453,fish
abudefduf sexfasciatus,188557,fish
abudefduf sordidus,188467,fish
abudefduf sparoides,188401,fish
abudefduf taurus,188434,fish
abudefduf troschelii,183397,fish
abudefduf vaigiensis,188609,fish
abudefduf whitleyi,188523,fish
abyssobrotula galatheae,60469175,fish
abyssorchomene nodimanus,NA,crustacea_arthropods
acanthacaris caeca,170000,crustacea_arthropods
acanthacaris tenuimana,169962,crustacea_arthropods
acanthaluteres brownii,79800448,fish
acanthaluteres spilomelanurus,79800470,fish
acanthaluteres vittiger,79800500,fish
acanthanectes hystrix,179021,fish
acanthanectes rufus,178914,fish
acanthaphritis barbata,NA,fish
acanthaphritis grandisquamis,NA,fish
acantharctus delfini,185010,crustacea_arthropods
acantharctus ornatus,185031,crustacea_arthropods
acantharctus posteli,185059,crustacea_arthropods
acanthaster planci,NA,echinoderms
acanthastrea brevis,133557,corals
acanthastrea echinata,133246,corals
acanthastrea hemprichii,133642,corals
acanthastrea minuta,133670,corals
acanthastrea pachysepta,133152,corals
acanthastrea rotundoflora,133386,corals
acanthastrea subechinata,132929,corals
acanthella cavernosa,NA,sponges
acanthella costata,NA,sponges
acanthella cubensis,NA,sponges
acanthella mastophora,NA,sponges
acanthella pulcherrima,NA,sponges
acanthemblemaria aspera,46104116,fish
acanthemblemaria atrata,183583,fish
acanthemblemaria balanorum,183400,fish
acanthemblemaria betinensis,47141289,fish
acanthemblemaria castroi,183873,fish
acanthemblemaria chaplini,47141293,fish
acanthemblemaria crockeri,183505,fish
acanthemblemaria exilispinus,183629,fish
acanthemblemaria greenfieldi,47141351,fish
acanthemblemaria hancocki,183841,fish
acanthemblemaria harpeza,47141354,fish
acanthemblemaria hastingsi,185143,fish
acanthemblemaria johnsoni,47141401,fish
acanthemblemaria macrospilus,183219,fish
acanthemblemaria mangognatha,183525,fish
acanthemblemaria maria,47141570,fish
acanthemblemaria medusa,47141697,fish
acanthemblemaria paula,47141712,fish
acanthemblemaria rivasi,47141727,fish
acanthemblemaria spinosa,47141736,fish
acanthemblemaria stephensi,183968,fish
acanthephyra acutifrons,NA,crustacea_arthropods
