class,order,n_cls,n_ord,subpops,n_ord_worms,repr
teleostei,perciformes,10216,1573,-,3237,48.6%
teleostei,eupercaria incertae sedis,10216,1344,-,1765,76.1%
teleostei,blenniiformes,10216,910,-,957,95.1%
teleostei,gobiiformes,10216,625,-,1806,34.6%
teleostei,anguilliformes,10216,442,-,1019,43.4%
teleostei,pleuronectiformes,10216,436,-,794,54.9%
teleostei,ovalentaria incertae sedis,10216,410,-,789,52%
teleostei,acanthuriformes,10216,380,-,447,85%
teleostei,tetraodontiformes,10216,337,-,420,80.2%
teleostei,gadiformes,10216,324,-,647,50.1%
teleostei,clupeiformes,10216,301,1,352,85.5%
teleostei,syngnathiformes,10216,279,-,315,88.6%
teleostei,stomiiformes,10216,249,-,443,56.2%
teleostei,kurtiformes,10216,229,-,387,59.2%
teleostei,myctophiformes,10216,216,-,272,79.4%
teleostei,ophidiiformes,10216,210,-,554,37.9%
teleostei,lophiiformes,10216,191,-,397,48.1%
teleostei,scombriformes,10216,182,-,267,68.2%
teleostei,aulopiformes,10216,175,-,296,59.1%
teleostei,carangiformes,10216,161,-,175,92%
teleostei,beloniformes,10216,130,-,204,63.7%
teleostei,acropomatiformes,10216,120,-,288,41.7%
teleostei,centrarchiformes,10216,107,-,189,56.6%
teleostei,callionymiformes,10216,83,-,217,38.2%
teleostei,alepocephaliformes,10216,69,-,142,48.6%
teleostei,holocentriformes,10216,61,-,91,67%
teleostei,carangaria incertae sedis,10216,59,-,95,62.1%
teleostei,mulliformes,10216,58,-,100,58%
teleostei,siluriformes,10216,56,-,259,21.6%
teleostei,beryciformes,10216,55,-,124,44.4%
teleostei,gobiesociformes,10216,53,-,178,29.8%
teleostei,argentiniformes,10216,52,-,97,53.6%
teleostei,other teleostei,10216,339,-,1215,27.9%
elasmobranchii,carcharhiniformes,1115,279,-,300,93%
elasmobranchii,rajiformes,1115,279,-,320,87.2%
elasmobranchii,myliobatiformes,1115,181,-,219,82.6%
elasmobranchii,squaliformes,1115,136,-,142,95.8%
elasmobranchii,rhinopristiformes,1115,72,-,85,84.7%
elasmobranchii,torpediniformes,1115,61,-,70,87.1%
elasmobranchii,orectolobiformes,1115,45,-,45,100%
elasmobranchii,squatiniformes,1115,21,-,25,84%
elasmobranchii,lamniformes,1115,15,-,16,93.8%
elasmobranchii,heterodontiformes,1115,9,-,9,100%
elasmobranchii,pristiophoriformes,1115,9,-,10,90%
elasmobranchii,hexanchiformes,1115,6,-,6,100%
elasmobranchii,echinorhiniformes,1115,2,-,2,100%
aves,charadriiformes,310,115,-,116,99.1%
aves,procellariiformes,310,115,2,130,88.5%
aves,pelecaniformes,310,35,-,50,70%
aves,anseriformes,310,18,-,18,100%
aves,sphenisciformes,310,18,-,18,100%
aves,gaviiformes,310,5,-,5,100%
aves,podicipediformes,310,4,-,4,100%
mammalia,cetartiodactyla,121,84,-,89,94.4%
mammalia,carnivora,121,34,-,70,48.6%
mammalia,sirenia,121,3,-,63,4.8%
reptilia,squamata,81,71,-,93,76.3%
reptilia,testudines,81,7,-,8,87.5%
reptilia,crocodilia,81,2,-,3,66.7%
reptilia,sauria,81,1,-,1,100%
myxini,myxiniformes,74,74,2,87,85.1%
chondrostei,acipenseriformes,7,7,-,22,31.8%
