Category,Trait,Trait values,Biomass removal,Bycatch,Shipping,SST extremes,Nutrient pollution,Ocean acidification,Light pollution,SST rise,UV radiation,Benthic structures,Direct human,Fishing benthic destruction,Sea level rise
Biomass removal,Biomass removal sensitivity trait,sensitive,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Adult body mass/body size,">1000 mm, 50 mm-999 mm, 0.5-49 mm, <0.4 mm, unknown",NA,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Biomineral,"aragonite, High Mg calcite, calcite, chitin/CaCO3 mix, silicate, other, none",NA,NA,NA,S,S,S,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Calcium carbonate structure location,"none, internal, external with a cover, external, in external protein matrix, in cellulose cell wall",NA,NA,NA,S,S,S,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Calcium carbonate structure stages,"none, larvae, adult, both",NA,NA,NA,S,S,S,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Communication requirement (sound),"yes, no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Extreme pressure wave sensitive structures,"high, medium, low sensitivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Flight,"yes, no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Navigation requirements (light),"yes, no",NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA
Biophysical traits,Navigation requirements (magnetic),"yes, no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Navigation requirements (sound),"yes, no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biophysical traits,Respiration structures,"lungs, gills, skin, diffusion, pneumatophores, filter feeders",NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA
Physiological tolerance breadths,Dissolved oxygen,"low tolerance, medium tolerance, high tolerance, air breathers",NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,NA,NA
Physiological tolerance breadths,Ph,"<7.4, 7.5-7.7, 7.8-8.2",NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,NA
Physiological tolerance breadths,Salinity,"stenohaline, euryhaline",NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA
Physiological tolerance breadths,Sensitivity to wave energy (physical forcing),"sensitive, not sensitive",NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA
Physiological tolerance breadths,Sst rise sensitivity trait,sensitive,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA
Physiological tolerance breadths,Thermal - sensitivity to heat spikes/heat waves,"yes, no",NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA
Physiological tolerance breadths,Thermal tolerance range,"0-2.5C, 2.5-5C, 5-7.5C, 7.5-10C, 10-15C, >15C",NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA
R (reproductive traits),Feeding larva (post-hatching metamorphosis),"feeding calcifier, feeding non-calcifier, non-feeding calcifier, non-feeding non-calcifier, no larva",NA,NA,NA,S,S,S,S,NA,S,NA,NA,NA,NA
Specialisation,Across-stage dependent habitats + condition,habitat list,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA
Specialisation,Air-sea interface,"floating, yes, no",NA,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA
Specialisation,Dependent interspecific interactions,"yes, no",NA,NA,NA,S,NA,NA,NA,NA,NA,S,S,S,NA
Specialisation,Extreme diet specialization,"specialist, generalist",NA,NA,NA,S,S,NA,NA,NA,NA,S,S,S,NA
Specialisation,Habitat forming,"yes, no",NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA
Specialisation,Photosynthetic,"yes, no",NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S
Specialisation,Terrestrial and marine life stages,"yes, no",NA,NA,NA,S,NA,NA,S,NA,NA,S,S,S,S
Specialisation,Within-stage dependent habitats + condition,habitat list,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA
Movement,Adult mobility,"sessile, nearly sessile/sedentary, passive, vertical migrator, mobile resident, horizontal migrator, nomadic",NA,NA,A,A,A,A,A,NA,A,A,A,A,A
Movement,Planktonic larval duration (pld) exposure,"<1 day, <1 week, <1 month, <4 months, 4 months -1yr, >1yr, holoplankton, not larvae",NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,"one, few, many, does not aggregate",G,G,G,G,G,G,G,G,G,G,G,G,G
