species,gf_level,depth_pc1,depth_pc2,log_l,mob_score,repr_pc1,repr_pc2,troph,troph_se,k_group,p_group
abalistes filamentosus,2.283333333333333,-2.4318554962710484,-0.17654880262256087,1.5118833609788744,2,0.5192305254677068,-0.6069658099428729,3.85,0.61,l,l
abalistes stellaris,1.9833333333333334,0.43517877743030897,-0.432499454140824,1.7781512503836436,2,0.4343012383204529,-0.5504237764861604,3.85,0.61,l,n
abalistes stellatus,2.283333333333333,-0.9983383594203699,-0.30452412838169246,1.7781512503836436,2,0.5192305254677068,-0.6069658099428729,3.85,0.61,l,n
aboma etheostoma,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.5314789170422551,1,-0.5480471396021341,-0.9432372576870108,3.2445906397055464,0.3596654054054054,h,h
abudefduf abdominalis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.4771212547196624,1.25,-1.2839077663781755,-0.4305074433292991,3.02,0.33,h,m
abudefduf bengalensis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2304489213782739,1.25,-1.2839077663781755,-0.4305074433292991,3.08,0.46,h,m
abudefduf concolor,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2787536009528289,1.25,-1.2839077663781755,-0.4305074433292991,2.68,0.3,h,m
abudefduf conformis,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.1172712956557642,1.25,-1.2839077663781755,-0.4305074433292991,2.8662499928474428,0.337275,h,m
abudefduf declivifrons,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.255272505103306,1.25,-1.2839077663781755,-0.4305074433292991,2.8662499928474428,0.337275,h,m
abudefduf hoefleri,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.3010299956639813,1.25,-1.2839077663781755,-0.4305074433292991,2.8662499928474428,0.337275,h,m
abudefduf lorenzi,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.255272505103306,1.25,-1.2839077663781755,-0.4305074433292991,2.68,0.3,h,m
abudefduf luridus,2.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.279524425439246,1.25,-1.1989784792309215,-0.48704947678601157,2.8662499928474428,0.337275,h,m
abudefduf margariteus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2041199826559248,1.25,-1.2839077663781755,-0.4305074433292991,2.72,0.31,h,m
abudefduf natalensis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2304489213782739,1.25,-1.2839077663781755,-0.4305074433292991,2.76,0.32,h,m
abudefduf notatus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2304489213782739,1.25,-1.2839077663781755,-0.4305074433292991,2.73,0.31,h,m
abudefduf saxatilis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.359835482339888,1.25,-1.2839077663781755,-0.4305074433292991,2.76,0.32,h,m
abudefduf septemfasciatus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.3617278360175928,1.25,-1.2839077663781755,-0.4305074433292991,3.01,0.38,h,m
