species,adult_mob,wcol,log_l,log_f,age_mat,troph
aaptos aaptos,ses,ben,1.7739970000000003,5.75646,1.75,2
aaptos alphiensis,ses,rf,1.9948460000000001,5.75646,1.75,2
aaptos bergmanni,ses,ben,2.369058,5.75646,1.75,2
aaptos ciliata,ses,ben,1.572505,5.75646,1.75,2
aaptos conferta,ses,rf,2.0418480000000003,5.75646,1.75,2
aaptos duchassaingi,ses,ben,1.6195050000000002,5.75646,1.75,2
aaptos durissima,ses,rf,2.1205670000000003,5.75646,1.75,2
aaptos globosa,ses,rf,2.0130790000000003,5.75646,1.75,2
aaptos glutinans,ses,rf,2.306197,5.75646,1.75,2
aaptos hajdui,ses,rf,2.127021,5.75646,1.75,2
aaptos horrida,ses,rf,2.0641610000000004,5.75646,1.75,2
aaptos kanuux,ses,rf,1.9660790000000001,5.75646,1.75,2
aaptos laxosuberites,ses,ben,1.751681,5.75646,1.75,2
aaptos lobata,ses,ben,1.6547290000000001,5.75646,1.75,2
aaptos nigra,ses,rf,2.1047070000000003,5.75646,1.75,2
aaptos nuda,ses,rf,2.048302,5.75646,1.75,2
aaptos papillata,ses,rf,1.9319860000000002,5.75646,1.75,2
aaptos pernucleata,ses,ben,1.769913,5.75646,1.75,2
aaptos potiguarensis,ses,rf,2.2656520000000002,5.75646,1.75,2
aaptos robustus,ses,rf,2.000169,5.75646,1.75,2
aaptos rosacea,ses,ben,1.554272,5.75646,1.75,2
aaptos simplex,ses,ben,1.5160980000000002,5.75646,1.75,2
aaptos suberitoides,ses,ben,1.792226,5.75646,1.75,2
aaptos tenta,ses,rf,2.098253,5.75646,1.75,2
aaptos vannamei,ses,rf,1.786901,5.75646,1.75,2
abalistes filamentosus,mob,pel,3.51898,11.177178,4.9,3.85
abalistes stellaris,mob,ben,3.94642,11.047666,5.3,3.85
abalistes stellatus,mob,rf,4.09434,10.127139999999999,4.8,3.85
abatus agassizii,mob,ben,2.29348,13.81551,3,2.601
abatus beatriceae,mob,ben,2.075818,13.81551,3,2.6615
abatus cavernosus,mob,ben,1.758483,13.81551,3,2.4285
abatus cordatus,mob,ben,2.289948,13.81551,3,2.5905
abatus curvidens,mob,ben,2.340404,13.81551,3,2.614
abatus ingens,mob,ben,1.753662,13.81551,3,2.7335
abatus kieri,mob,ben,2.458612,13.81551,3,2.3925
abatus koehleri,mob,ben,1.839157,13.81551,3,2.6295
abatus nimrodi,mob,ben,2.375476,13.81551,3,2.698
abatus philippii,mob,ben,2.344033,13.81551,3,2.9695
abatus shackletoni,mob,ben,2.006001,13.81551,3,2.5605
abdopus abaculus,mob,ben,1.19392,9.785985,0.5,3.536280701754385
abdopus aculeatus,mob,rf,3.7612,13.81551,0.5,3.593947368421052
abdopus capricornicus,mob,ben,3.2880920000000002,9.785985,0.5,3.695210526315789
abdopus horridus,mob,ben,2.48491,5.75646,0.5,3.531087719298244
abdopus tenebricus,mob,ben,2.608403,9.785985,0.5,3.602070175438596
abdopus tonganus,mob,ben,2.834476,9.785985,0.5,3.632684210526315
abdopus undulatus,mob,ben,4.060092,13.81551,0.5,3.586547368421052
abertella aberti,mob,ben,3.040362,13.81551,3,2.768
abertella cazonesensis,mob,ben,3.3473479999999998,13.81551,3,2.768
abertella dengleri,mob,ben,3.4222680000000003,13.81551,3,3.164
abertella gualichensis,mob,ben,3.2694840000000003,13.81551,3,3.164
abertella habanensis,mob,ben,3.393212,13.81551,3,2.76
abertella kewi,mob,ben,3.275592,13.81551,3,2.768
abertella miskellyi,mob,ben,3.497962,13.81551,3,3.164
abertella palmeri,mob,ben,3.25192,13.81551,3,3.118
abertella pirabensis,mob,ben,3.045054,13.81551,3,2.976
ablabys binotatus,mob,bp,2.70805,10.93728,3.6666666666666665,3.478407952724337
ablabys gymnothorax,mob,bp,2.0189,10.93728,3.6666666666666665,3.433049028469783
ablabys macracanthus,mob,bp,2.99573,10.93728,3.6666666666666665,3.5966506407077494
ablabys pauciporus,mob,bp,1.65632,10.93728,3.6666666666666665,3.4261218642120186
ablabys taenianotus,mob,bp,2.70805,10.93728,3.6666666666666665,3.5031138885709976
ablennes hians,mob,rf,4.60517,10.361633999999999,1.378894,4.5
abludomelita obtusata,mob,ben,-0.10536,2.841538,3.63368,2
aboma etheostoma,sed,ben,1.22378,7.003984,4.022184,3.450099999046326
abramis brama,mob,bp,3.7013,12.822463333333333,3.83652,3.1500000953674316
abronica abronia,sed,ben,0.26236,11.508884,4.14,2.986
abudefduf abdominalis,mob,rf,2.84491,13.878296,1.7682600000000002,3.02
abudefduf bengalensis,mob,rf,2.83321,14.554524,1.41297,3.08
abudefduf concolor,mob,rf,2.94444,13.649126,4.02355,2.68
abudefduf conformis,mob,rf,2.57261,12.858128,1.1,2.8662499928474428
abudefduf declivifrons,mob,rf,2.89037,14.70405,4.31297,2.8662499928474428
abudefduf hoefleri,sed,rf,1.82455,13.804264,5.7,2.8662499928474428
abudefduf lorenzi,mob,rf,2.83321,14.193124,0.658728,2.68
abudefduf margariteus,sed,rf,2.82138,13.65953,1.7682600000000002,2.72
abudefduf natalensis,mob,rf,2.8622,13.467886,3.87884,2.76
abudefduf nigrimargo,mob,rf,2.21812,14.691426,3.1047100000000003,2.8662499928474428
abudefduf notatus,mob,rf,2.83321,12.934364,3.558728,2.73
