iucn_sid,sciname,worms_name,in_am,in_am_valid,in_vuln,mapped
222,acipenser brevirostrum,acipenser brevirostrum,TRUE,TRUE,TRUE,FALSE
224,acipenser naccarii,acipenser naccarii,TRUE,TRUE,TRUE,FALSE
225,acipenser nudiventris,acipenser nudiventris,TRUE,FALSE,TRUE,FALSE
229,acipenser stellatus,acipenser stellatus,TRUE,TRUE,TRUE,FALSE
230,acipenser sturio,acipenser sturio,TRUE,TRUE,TRUE,FALSE
232,acipenser gueldenstaedtii,acipenser gueldenstaedtii,TRUE,FALSE,TRUE,FALSE
233,acipenser medirostris,acipenser medirostris,TRUE,TRUE,TRUE,FALSE
234,acipenser transmontanus,acipenser transmontanus,TRUE,TRUE,TRUE,FALSE
235,acipenser persicus,acipenser persicus,FALSE,FALSE,TRUE,FALSE
236,acipenser sinensis,acipenser sinensis,TRUE,FALSE,TRUE,FALSE
241,acipenser mikadoi,acipenser mikadoi,TRUE,FALSE,TRUE,FALSE
242,acipenser oxyrinchus,acipenser oxyrinchus,TRUE,TRUE,TRUE,FALSE
243,acipenser oxyrinchus,acipenser oxyrinchus,TRUE,TRUE,TRUE,FALSE
245,acipenser oxyrinchus,acipenser oxyrinchus,TRUE,TRUE,TRUE,FALSE
678,agathothoma finalis,agathotoma finalis,FALSE,FALSE,TRUE,FALSE
907,alosa immaculata,alosa immaculata,TRUE,TRUE,TRUE,TRUE
908,alosa alabamae,alosa alabamae,FALSE,FALSE,TRUE,TRUE
1086,amblyrhynchus cristatus,amblyrhynchus cristatus,TRUE,TRUE,TRUE,TRUE
1308,anisotremus moricandi,anisotremus moricandi,TRUE,TRUE,TRUE,FALSE
1615,choranthias salmopunctatus,choranthias salmopunctatus,FALSE,FALSE,TRUE,FALSE
1793,aonyx capensis,aonyx capensis,FALSE,FALSE,TRUE,FALSE
1866,aplochiton marinus,aplochiton marinus,FALSE,FALSE,TRUE,FALSE
2055,arctocephalus australis,arctocephalus australis,TRUE,TRUE,TRUE,TRUE
2057,arctocephalus galapagoensis,arctocephalus galapagoensis,TRUE,TRUE,TRUE,TRUE
2058,arctocephalus gazella,arctocephalus gazella,TRUE,TRUE,TRUE,TRUE
2059,arctocephalus philippii,arctocephalus philippii,TRUE,TRUE,TRUE,TRUE
2060,arctocephalus pusillus,arctocephalus pusillus,TRUE,TRUE,TRUE,TRUE
2061,arctocephalus townsendi,arctocephalus philippii townsendi,FALSE,FALSE,FALSE,TRUE
2062,arctocephalus tropicalis,arctocephalus tropicalis,TRUE,TRUE,TRUE,TRUE
2064,arctocephalus australis,arctocephalus australis,TRUE,TRUE,TRUE,FALSE
2066,arctocephalus pusillus,arctocephalus pusillus,TRUE,TRUE,TRUE,FALSE
2067,arctocephalus pusillus,arctocephalus pusillus,TRUE,TRUE,TRUE,FALSE
2113,arius madagascariensis,arius madagascariensis,FALSE,FALSE,TRUE,FALSE
2179,assiminea infirma,angustassiminea infima,FALSE,FALSE,FALSE,FALSE
2181,assiminea palauensis,assiminea palauensis,FALSE,FALSE,TRUE,FALSE
2182,assiminea pecos,assiminea pecos,FALSE,FALSE,FALSE,FALSE
2218,astraea heliotropium,astraea heliotropium,FALSE,FALSE,TRUE,FALSE
2352,atherina boyeri,atherina boyeri,TRUE,TRUE,TRUE,FALSE
2467,balaena mysticetus,balaena mysticetus,TRUE,TRUE,TRUE,TRUE
2468,balaena mysticetus,balaena mysticetus,TRUE,TRUE,TRUE,TRUE
2469,balaena mysticetus,balaena mysticetus,TRUE,TRUE,TRUE,TRUE
2472,balaena mysticetus,balaena mysticetus,TRUE,TRUE,TRUE,TRUE
2474,balaenoptera acutorostrata,balaenoptera acutorostrata,TRUE,TRUE,TRUE,TRUE
2475,balaenoptera borealis,balaenoptera borealis,TRUE,TRUE,TRUE,TRUE
2476,balaenoptera edeni,balaenoptera edeni,TRUE,TRUE,TRUE,TRUE
2477,balaenoptera musculus,balaenoptera musculus,TRUE,TRUE,TRUE,TRUE
2478,balaenoptera physalus,balaenoptera physalus,TRUE,TRUE,TRUE,TRUE
2480,balaenoptera bonaerensis,balaenoptera bonaerensis,TRUE,TRUE,TRUE,TRUE
2539,balistes vetula,balistes vetula,TRUE,TRUE,TRUE,FALSE
2621,bathygobius burtoni,bathygobius burtoni,FALSE,FALSE,TRUE,FALSE
2636,bathyraja abyssicola,bathyraja abyssicola,TRUE,TRUE,TRUE,TRUE
2637,batillaria mutata,batillaria mutata,FALSE,FALSE,FALSE,FALSE
2644,batrachoides manglae,batrachoides manglae,FALSE,FALSE,TRUE,FALSE
2762,berardius arnuxii,berardius arnuxii,TRUE,TRUE,TRUE,TRUE
2763,berardius bairdii,berardius bairdii,TRUE,TRUE,TRUE,TRUE
2811,birgus latro,birgus latro,TRUE,TRUE,TRUE,FALSE
2895,bostrychus zonatus,bostrychus zonatus,FALSE,FALSE,TRUE,FALSE
2958,brachionichthys hirsutus,brachionichthys hirsutus,TRUE,TRUE,TRUE,FALSE
3381,butis butis,butis butis,TRUE,TRUE,TRUE,FALSE
3565,callionymus sanctaehelenae,callionymus bairdi,TRUE,TRUE,TRUE,FALSE
3590,callorhinus ursinus,callorhinus ursinus,TRUE,TRUE,TRUE,TRUE
3764,canthigaster rapaensis,canthigaster rapaensis,FALSE,FALSE,TRUE,TRUE
3778,caperea marginata,caperea marginata,TRUE,TRUE,TRUE,TRUE
3851,carcharhinus limbatus,carcharhinus limbatus,TRUE,TRUE,TRUE,TRUE
3852,carcharhinus obscurus,carcharhinus obscurus,TRUE,TRUE,TRUE,TRUE
3853,carcharhinus plumbeus,carcharhinus plumbeus,TRUE,TRUE,TRUE,TRUE
3854,carcharias taurus,carcharias taurus,TRUE,TRUE,TRUE,TRUE
3855,carcharodon carcharias,carcharodon carcharias,TRUE,TRUE,TRUE,TRUE
3856,carcinoscorpius rotundicauda,carcinoscorpius rotundicauda,TRUE,TRUE,FALSE,FALSE
