project,country,site,latitude,longitude,sample_date,biomass_kgha_avg
sindutghe Murex,Indonesia,house reef murex,1.457637,124.7621943,2021-09-23,50.9
Gwa Island,Myanmar,Gwa North East,17.575701673226035,94.51817035675047,2019-12-14,548.39
Gwa Island,Myanmar,Gwa North East 1,17.578739364090563,94.51741933822632,2019-12-14,134.69
Gwa Island,Myanmar,Gwa North West,17.575936917101938,94.51489806175232,2019-12-16,185.77
Gwa Island,Myanmar,Gwa South East,17.570393262690985,94.51992988586426,2019-12-15,142.01
Gwa Island,Myanmar,Gwa South West,17.572111609161805,94.51529502868652,2019-12-16,303.22
Minut 2016 - Test,Indonesia,Tanah Putih 1,1.73635,124.96785,2016-02-24,136.19
Taka Bonerate 2015,Indonesia,Ampalas Barat,-6.92243,121.28002,2015-04-22,235.64
Taka Bonerate 2015,Indonesia,Ampalas Timur,-6.922428002581,121.280015995725,2015-04-22,637.46
Taka Bonerate 2015,Indonesia,Belang-Belang,-6.39778,121.09569,2015-04-12,365.47
Taka Bonerate 2015,Indonesia,Bungin Kamase,-6.938359989,121.000066,2015-04-20,596.78
Taka Bonerate 2015,Indonesia,Bungin Laloh,-6.81948,121.28083,2015-04-23,575.96
Taka Bonerate 2015,Indonesia,Jinato Barat,-6.77289,120.96176,2015-04-17,264.51
Taka Bonerate 2015,Indonesia,Lantigiang Barat Daya,-6.70882,120.95501,2015-04-16,390.13
Taka Bonerate 2015,Indonesia,Lantigiang Utara,-6.69546,120.96014,2015-04-16,275.95
Taka Bonerate 2015,Indonesia,Latondu Kecil 1,-6.54816,120.92637,2015-04-09,486.1
Taka Bonerate 2015,Indonesia,Latondu Kecil 2,-6.523467014,120.930956,2015-04-09,952.98
Taka Bonerate 2015,Indonesia,Latondu Kecil 3,-6.49715,120.94196,2015-04-09,391.65
Taka Bonerate 2015,Indonesia,Latondu Timur,-6.499,121.0013,2015-04-08,205.68
Taka Bonerate 2015,Indonesia,Latondu Utara,-6.490058005,120.99794,2015-04-08,481.89
Taka Bonerate 2015,Indonesia,Pasitalu Barat,-7.05258,121.06151,2015-04-20,459.55
Taka Bonerate 2015,Indonesia,Pasitalu Tengah,-7.064357009,121.090362,2015-04-21,453.17
Taka Bonerate 2015,Indonesia,Pasitalu Timur,-7.07844,121.11573,2015-04-21,277.26
Taka Bonerate 2015,Indonesia,Rajuni Besar,-6.57093,121.01618,2015-04-14,315.38
Taka Bonerate 2015,Indonesia,Rajuni Kecil,-6.54722,120.9909,2015-04-14,163.71
Taka Bonerate 2015,Indonesia,Taka Balalong Timur,-6.848064009,121.157204,2015-04-25,404.49
Taka Bonerate 2015,Indonesia,Taka Balaloong Utara,-6.81288,121.12989,2015-04-26,670.79
Taka Bonerate 2015,Indonesia,Taka Balanda,-6.92343,121.30575,2015-04-22,274.62
Taka Bonerate 2015,Indonesia,Taka Bayang Pogo,-6.92478398792445,121.068763034418,2015-04-19,356.83
Taka Bonerate 2015,Indonesia,Taka Gantarang 1,-6.44483,121.2271,2015-04-13,360.46
Taka Bonerate 2015,Indonesia,Taka Gantarang 2,-6.453174027,121.285359,2015-04-13,945.18
Taka Bonerate 2015,Indonesia,Taka Kayu Bulan Barat,-6.770354966,121.041817,2015-04-18,255.21
Taka Bonerate 2015,Indonesia,Taka Kayu Bulan Selatan,-6.7748309860000004,121.063497,2015-04-18,325.12
Taka Bonerate 2015,Indonesia,Taka Kayu Bulan Utara,-6.75829,121.05997,2015-04-18,517.31
Taka Bonerate 2015,Indonesia,Taka Kumai Barat,-6.87341,121.1457,2015-04-25,381.3
Taka Bonerate 2015,Indonesia,Taka Kumai Selatan,-6.873409962,121.145699,2015-04-26,364.96
Taka Bonerate 2015,Indonesia,Taka Kumai Utara,-6.89657704,121.150273,2015-04-25,377.25
Taka Bonerate 2015,Indonesia,Taka Lamongan,-6.542506004,121.234578,2015-04-11,393.34
Taka Bonerate 2015,Indonesia,Taka Lasalimu,-6.5849,121.18877,2015-04-07,494.76
Taka Bonerate 2015,Indonesia,Taka Malori Selatan,-6.89226,121.0464,2015-04-19,657.26
Taka Bonerate 2015,Indonesia,Taka Malori Utara,-6.891774042,121.044765,2015-04-19,253.26
Taka Bonerate 2015,Indonesia,Taka Rajuni,-6.6057,121.03266,2015-04-14,459.42
Taka Bonerate 2015,Indonesia,Taka Sirobe,-6.64884,121.20457,2015-04-07,826.77
Taka Bonerate 2015,Indonesia,Taka Taburi,-6.843416998,121.286401,2015-04-23,314.16
Taka Bonerate 2015,Indonesia,Taka Takere,-6.68496,121.20734,2015-04-07,368.97
Taka Bonerate 2015,Indonesia,Tambuna Besar,-7.01067,121.20885,2015-04-21,771.1
Taka Bonerate 2015,Indonesia,Tarupa Besar,-6.50876,121.1272,2015-04-12,480.44
Taka Bonerate 2015,Indonesia,Tarupa Kecil,-6.451674001,121.138145,2015-04-12,1378.5
Taka Bonerate 2015,Indonesia,Tinabo Besar,-6.56134,121.10214,2015-04-06,787.8
Taka Bonerate 2015,Indonesia,Tinabo Kecil 1,-6.573907966,121.075189,2015-04-06,385.51
Taka Bonerate 2015,Indonesia,Tinabo Kecil 2,-6.564304987,121.081806,2015-04-06,535.09
Taka Bonerate 2015,Indonesia,Tinanja Timur,-6.55469,121.17685,2015-04-11,604.01
Taka Bonerate 2015,Indonesia,Tinanja Utara,-6.541016959,121.169863,2015-04-11,780.74
Gwa Sea,Myanmar,Be-in Island (East),17.760572,94.487881,2021-01-25,1289.29
Gwa Sea,Myanmar,Be-in Island (East),17.760572,94.487881,2021-07-25,1236.46
Gwa Sea,Myanmar,Be-in Island (North West),17.764286,94.469631,2021-01-26,5927.14
Gwa Sea,Myanmar,Be-in Island (North West),17.764286,94.469631,2022-01-26,1538.61
Gwa Sea,Myanmar,Be-in Island (South),17.751119,94.479314,2021-01-26,2963.06
Gwa Sea,Myanmar,Kunn Thee Pyet,17.550467,94.512672,2021-01-24,5199.94
Gwa Sea,Myanmar,Kunn Thee Pyet 2,17.545539,94.527939,2021-01-27,2685.73
Gwa Sea,Myanmar,Kyauk Chon River Mouth,17.483622,94.547561,2021-01-27,3113.33
Panjang MPA_2019,Indonesia,Kampung Jawa,-8.53256,116.85690999999996,2019-05-02,207.85
Panjang MPA_2019,Indonesia,Leko Kerbau,-8.42635,116.9253,2019-04-27,169.47
Panjang MPA_2019,Indonesia,Lepe Putung 1,-8.43566,116.95969,2019-04-27,161.37
Panjang MPA_2019,Indonesia,Saringgi Barat,-8.41931,116.98032,2019-04-29,165.29
Panjang MPA_2019,Indonesia,Saringgit Timur,-8.39577,117.04611,2019-05-01,76.54
Panjang MPA_2019,Indonesia,Tanjung Pasir 1,-8.4505,116.83913000000008,2019-04-27,322.85
Panjang MPA_2019,Indonesia,Tanjung Pasir 1,-8.4505,116.83913000000008,2019-04-28,154.97
Panjang MPA_2019,Indonesia,Tanjung Pasir 2,-8.43931,116.86091999999996,2019-04-28,129.65
Panjang MPA_2019,Indonesia,Teluk Boko,-8.43105,116.88103,2019-05-01,152.23
Panjang MPA_2019,Indonesia,Teluk Saringit Utara,-8.40667,117.01438000000007,2019-04-29,203.58
Panjang MPA_2019,Indonesia,Teluk Saringit Utara,-8.40667,117.01438000000007,2019-05-29,31.82
Panjang MPA_2019,Indonesia,Teluk Soga,-8.52202,116.91280000000006,2019-05-02,103.24
Panjang MPA_2019,Indonesia,Teluk Tobo,-8.4221,117.01958,2019-05-01,151.8
Nantha Kyun,Myanmar,Nantha Kyun KNT03,18.054245954735237,94.07989802946751,2021-01-18,702.73
Nantha Kyun,Myanmar,Nantha Kyun  KNT04,18.063371241821116,94.07769728661816,2021-01-18,784.78
Nantha Kyun,Myanmar,Nantha Kyun KNT05,18.06996843267254,94.0800261991812,2021-01-19,442.67
Nantha Kyun,Myanmar,Nantha Kyun KNT06,18.075329189598506,94.08441120450787,2021-01-19,3537.06
Nantha Kyun,Myanmar,Nantha Kyun KNT07,18.074754682075692,94.1044260744324,2021-01-20,2.14
Nantha Kyun,Myanmar,Nantha Kyun KNT08,18.067516968052143,94.10039520913308,2021-01-20,3770.84
Nantha Kyun,Myanmar,Nantha Kyun KNT09,18.05673370482394,94.09710786665352,2021-01-21,6583.24
Nantha Kyun,Myanmar,Nantha Kyun KNT1,18.0506103942991,94.08499789700517,2021-01-17,573.61
Nantha Kyun,Myanmar,Nantha Kyun KNT10,18.062633443345945,94.09980945385576,2021-01-21,4599.03
