project,country,site,latitude,longitude,sample_date,hard_coral_pit,soft_coral_pit
Madagascar Northwest Ankarea 2019,Madagascar,Ambarinidada_11,-12.915278,48.606917,2019-04-17,34,0
Madagascar Northwest Ankarea 2019,Madagascar,Amparimilay_10,-12.886194,48.562361,2019-04-18,42,4
Madagascar Northwest Ankarea 2019,Madagascar,Ankarea_03,-12.845278,48.574083,2019-04-19,62,4.5
Madagascar Northwest Ankarea 2019,Madagascar,Antsoa_07,-12.985736,48.577917,2019-04-14,32,19.5
Madagascar Northwest Ankarea 2019,Madagascar,Beangovo_04,-13.002778,48.497639,2019-04-14,28,26.5
Madagascar Northwest Ankarea 2019,Madagascar,NosyFisaka_02,-12.74733,48.59233300000005,2019-04-19,36.5,3.5
Madagascar Northwest Ankarea 2019,Madagascar,NosyKaine_09,-13.024583,48.537444,2019-04-15,63,1.5
Madagascar Northwest Ankarea 2019,Madagascar,NosyKarabo_06,-12.996556,48.562083,2019-04-17,46.5,6
Madagascar Northwest Ankarea 2019,Madagascar,NosyLava_01,-12.74733,48.670833000000016,2019-04-13,55.5,0
Madagascar Northwest Ankarea 2019,Madagascar,NosyVazoana_05,-12.883389,48.634833,2019-04-13,38.5,0.5
Madagascar Northwest Ankarea 2019,Madagascar,Ratapenjiky_12,-12.938222,48.583028,2019-04-18,53.5,6
Madagascar Northwest Ankarea 2019,Madagascar,Tsarabanjina_08,-13.034944,48.549417,2019-04-15,64,3
Gwa Island,Myanmar,Gwa North East,17.575701673226035,94.51817035675047,2019-12-14,26.25,0
Gwa Island,Myanmar,Gwa North East 1,17.578739364090563,94.51741933822632,2019-12-14,50.75,0.75
Gwa Island,Myanmar,Gwa North West,17.575936917101938,94.51489806175232,2019-12-16,33,0
Gwa Island,Myanmar,Gwa South East,17.570393262690985,94.51992988586426,2019-12-15,31.5,0
Gwa Island,Myanmar,Gwa South West,17.572111609161805,94.51529502868652,2019-12-16,27.25,0
2019_Ovalau Island_BAF_Macmon_surveys,Fiji,BU01N,-17.752,178.76999999999998,2019-05-28,48.83,1.33
2019_Ovalau Island_BAF_Macmon_surveys,Fiji,BU02,-17.746,178.76,2019-05-29,54.17,1
