.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,1,3.3322,-1.15129,3.5,3,pel,mob,pachyptila turtur
1,2,3.3322,-1.15129,3.5,3,pel,mig,pachyptila turtur
1,3,3.3322,-1.15129,3.88,3,pel,mob,pachyptila turtur
1,4,3.3322,-1.15129,3.88,3,pel,mig,pachyptila turtur
1,5,3.3322,-1.15129,3.5,7.5,pel,mob,pachyptila turtur
1,6,3.3322,-1.15129,3.5,7.5,pel,mig,pachyptila turtur
1,7,3.3322,-1.15129,3.88,7.5,pel,mob,pachyptila turtur
1,8,3.3322,-1.15129,3.88,7.5,pel,mig,pachyptila turtur
1,9,3.82864,-1.15129,4.25,3,pel,mob,thalassoica antarctica
1,10,3.82864,-1.15129,4.25,3,pel,mig,thalassoica antarctica
1,11,3.82864,-1.15129,4.25,7.5,pel,mob,thalassoica antarctica
1,12,3.82864,-1.15129,4.25,7.5,pel,mig,thalassoica antarctica
1,13,4.06044,-1.15129,4.02,3,pel,mig,procellaria aequinoctialis
1,14,4.06044,-1.15129,4.02,7.5,pel,mig,procellaria aequinoctialis
1,15,4.06044,-1.15129,4.02,15,pel,mig,procellaria aequinoctialis
1,16,3.82864,-1.15129,4.55,3,pel,mig,procellaria parkinsoni
1,17,3.82864,-1.15129,4.55,7.5,pel,mig,procellaria parkinsoni
1,18,3.82864,-1.15129,4.55,15,pel,mig,procellaria parkinsoni
1,19,3.93183,-1.15129,4.28,3,pel,mig,procellaria westlandica
1,20,3.93183,-1.15129,4.28,7.5,pel,mig,procellaria westlandica
1,21,3.93183,-1.15129,4.28,15,pel,mig,procellaria westlandica
1,22,3.55535,-1.15129,4.11,3,pel,mob,pagodroma nivea
1,23,3.55535,-1.15129,4.11,3,pel,mig,pagodroma nivea
1,24,3.55535,-1.15129,4.11,7.5,pel,mob,pagodroma nivea
1,25,3.55535,-1.15129,4.11,7.5,pel,mig,pagodroma nivea
1,26,4.52179,0.34657,4.3,3,bp,mob,phalacrocorax capillatus
1,27,4.52179,0.34657,4.3,3,bp,mig,phalacrocorax capillatus
1,28,4.52179,1.15129,4.3,3,bp,mob,phalacrocorax capillatus
1,29,4.52179,1.15129,4.3,3,bp,mig,phalacrocorax capillatus
1,30,4.7362,-1.15129,4.2,3,pel,mob,fregata magnificens
1,31,4.7362,-1.15129,4.2,3,pel,mig,fregata magnificens
1,32,4.7362,-1.15129,4.2,7.5,pel,mob,fregata magnificens
1,33,4.7362,-1.15129,4.2,7.5,pel,mig,fregata magnificens
1,34,4.60517,-1.15129,4.37,3,pel,mob,fregata minor
1,35,4.60517,-1.15129,4.37,3,pel,mig,fregata minor
1,36,4.60517,-1.15129,4.37,7.5,pel,mob,fregata minor
1,37,4.60517,-1.15129,4.37,7.5,pel,mig,fregata minor
1,38,4.60517,-1.15129,4.5,3,pel,mob,fregata andrewsi
1,39,4.60517,-1.15129,4.5,3,pel,mig,fregata andrewsi
1,40,4.60517,-1.15129,4.5,7.5,pel,mob,fregata andrewsi
1,41,4.60517,-1.15129,4.5,7.5,pel,mig,fregata andrewsi
1,42,4.56435,-1.15129,4.5,3,pel,mob,fregata aquila
1,43,4.56435,-1.15129,4.5,3,pel,mig,fregata aquila
1,44,4.56435,-1.15129,4.5,7.5,pel,mob,fregata aquila
1,45,4.56435,-1.15129,4.5,7.5,pel,mig,fregata aquila
1,46,4.39445,-1.15129,4.47,3,pel,mob,fregata ariel
1,47,4.39445,-1.15129,4.47,3,pel,mig,fregata ariel
1,48,4.39445,-1.15129,4.47,7.5,pel,mob,fregata ariel
1,49,4.39445,-1.15129,4.47,7.5,pel,mig,fregata ariel
1,50,3.46574,-1.15129,3.9,3,pel,mob,bulweria fallax
1,51,3.46574,-1.15129,3.9,3,pel,mig,bulweria fallax
1,52,3.46574,-1.15129,3.9,7.5,pel,mob,bulweria fallax
1,53,3.46574,-1.15129,3.9,7.5,pel,mig,bulweria fallax
1,54,2.99573,-1.15129,3.68,3,pel,mob,pelagodroma marina
1,55,2.99573,-1.15129,3.68,3,pel,mig,pelagodroma marina
1,56,3.09104,-1.15129,3.48,3,pel,mob,oceanodroma leucorhoa
