.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,1,7.46737,-1.15129,4.5,7.5,pel,mob,physeter macrocephalus
1,2,5.95064,-1.15129,4.44,3,pel,mob,kogia breviceps
1,3,5.58725,0.34657,4.5,15,pel,mob,kogia sima
1,4,6.88244,-1.15129,4.49,12,pel,mob,berardius arnuxii
1,5,7.09008,-1.15129,4.49,7.5,pel,mob,berardius bairdii
1,6,7.09008,-1.15129,4.49,15,pel,mob,berardius bairdii
1,7,6.58617,-1.15129,4.38,15,pel,mob,ziphius cavirostris
1,8,6.55108,-1.15129,4.5,25,pel,mig,tasmacetus shepherdi
1,9,6.88755,-1.15129,4.47,7.5,pel,mig,hyperoodon ampullatus
1,10,6.57925,-1.15129,4.5,10,pel,mig,hyperoodon planifrons
1,11,6.06379,-1.15129,4.47,10,pel,mob,mesoplodon hectori
1,12,6.21461,-1.15129,4.5,10,pel,mob,mesoplodon mirus
1,13,6.10925,-1.15129,4.5,25,pel,mig,mesoplodon europaeus
1,14,6.17379,-1.15129,4.47,7.5,pel,mob,mesoplodon ginkgodens
1,15,6.32794,-1.15129,4.47,12,pel,mob,mesoplodon grayi
1,16,5.39363,-1.15129,4.46,3,ben,mob,arctocephalus pusillus
1,17,5.29832,-1.15129,4.39,3,ben,mob,arctocephalus gazella
1,18,5.20949,-1.15129,4.48,3,ben,mob,arctocephalus australis
1,19,5.20949,-1.15129,4.5,3,ben,mob,arctocephalus australis
1,20,5.19296,-1.15129,4.48,3,pel,mob,arctocephalus tropicalis
1,21,5.0814,-1.15129,4.48,3,ben,mob,arctocephalus australis
1,22,5.0814,-1.15129,4.5,3,ben,mob,arctocephalus australis
1,23,5.07517,-1.15129,4.472857142857143,3,ben,mob,arctocephalus galapagoensis
1,24,5.34711,-1.15129,4.5,3,ben,mob,arctocephalus philippii
1,25,5.17897,-1.15129,4.5,3,ben,mob,arctocephalus philippii
1,26,5.87493,-1.15129,3.66,7.5,ben,mob,odobenus rosmarus
1,27,5.1358,-1.15129,3.99,3,ben,mob,phoca largha
1,28,5.1358,-1.15129,3.99,3,ben,mig,phoca largha
1,29,5.24702,-1.15129,4.48,3,ben,mob,phoca vitulina
1,30,5.24702,-1.15129,4.48,3,ben,mig,phoca vitulina
1,31,5.43808,-1.15129,4.49,3,ben,mob,halichoerus grypus
1,32,5.43808,-1.15129,4.49,3,ben,mig,halichoerus grypus
1,33,5.52146,-1.15129,3.65,3,ben,mob,erignathus barbatus
1,34,5.52146,-1.15129,3.65,3,ben,mig,erignathus barbatus
1,35,5.56068,-1.15129,4.12,3,ben,mob,cystophora cristata
1,36,5.56068,-1.15129,4.12,3,ben,mig,cystophora cristata
1,37,6.27288,-1.15129,4.47,10,pel,mig,mesoplodon carlhubbsi
1,38,6.15273,-1.15129,4.47,10,pel,mob,mesoplodon bowdoini
1,39,6.27288,-1.15129,4.47,7.5,pel,mig,mesoplodon stejnegeri
1,40,6.30992,-1.15129,4.5,7.5,pel,mob,mesoplodon bidens
1,41,6.38012,-1.15129,4.47,7.5,pel,mob,mesoplodon layardii
1,42,6.2027,-1.15129,4.38,7.5,pel,mob,mesoplodon densirostris
1,43,7.12287,-1.15129,3.285,25,pel,mob,eschrichtius robustus
