.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,1,1.8718,13.81551,2,3,ben,NA,petricolaria pholadiformis
1,2,2.31254,13.81551,2,3,ben,NA,callista chione
1,3,1.60944,18.40048,2,3,ben,NA,venerupis corrugata
1,4,1.23256,13.81551,2,3,ben,NA,chamelea gallina
1,5,1.02962,13.81551,2,3,ben,NA,clausinella fasciata
1,6,1.45862,13.81551,2,3,ben,NA,choristodon robustus
1,7,2.30259,13.81551,2,3,ben,NA,entodesma navicula
1,8,1.82455,18.40048,2,3,ben,NA,globivenus rigida
1,9,-0.10536,18.40048,2.36,1.4471,ben,NA,haliris fischeriana
1,10,-1.20397,13.81551,2.36,1.4471,ben,NA,turtonia minuta
1,11,0.09531,13.81551,2,3,ben,NA,transennella cubaniana
1,12,0.40547,13.81551,2.36,3,ben,NA,transennella stimpsoni
1,13,2.00148,13.81551,2,3,ben,NA,dosinia discus
1,14,1.80829,18.40048,2,3,ben,NA,dosinia concentrica
1,15,1.52931,18.40048,2,1.4471,ben,NA,dosinia exoleta
1,16,1.13783,13.81551,2,3,ben,NA,dosinia lupinus
1,17,2.40695,13.81551,2.36,3,ben,ses,mercenaria mercenaria
1,18,3.32755,13.81551,2,3,ben,ses,mercenaria campechiensis
1,19,0.50078,18.40048,2,1.4471,ben,NA,pitar simpsoni
1,20,1.56862,13.81551,2,3,ben,NA,pitar fulminatus
1,21,0.09531,13.81551,2,1.4471,ben,NA,pitar albidus
1,22,1.62924,18.40048,2,3,ben,NA,pitar arestus
1,23,-0.96758,13.81551,2,1.4471,ben,NA,gemma gemma
1,24,0.26236,18.40048,2.36,3,ben,NA,gouldia cerina
1,25,2.30259,13.81551,2,3,ben,NA,periglypta listeri
1,26,2.70805,13.81551,2,1.4471,ben,NA,macrocallista nimbosa
1,27,0.13976,13.81551,2.36,3,ben,NA,tivela trigonella
1,28,2.78501,18.40048,2.36,3,ben,NA,tivela stultorum
1,29,0.09531,13.81551,2.36,3,ben,NA,tivela trigonella
1,30,1.22378,18.40048,2.36,3,ben,NA,tivela mactroides
1,31,0.18232,18.40048,2,3,ben,NA,myonera lamellifera
1,32,0.09531,13.81551,2,1.4471,ben,NA,myonera limatula
1,33,0,13.81551,2,3,ben,NA,myonera paucistriata
1,34,0.18232,18.40048,2,3,ben,NA,plectodon granulatus
1,35,0.26236,18.40048,2,1.4471,ben,NA,euciroa elegantissima
1,36,1.79176,13.81551,2,3,ben,NA,venus verrucosa
1,37,1.70475,18.40048,2,3,ben,NA,petricola carditoides
1,38,1.79176,13.81551,2,3,ben,NA,petricolaria pholadiformis
1,39,1.09861,13.81551,2,3,ben,NA,petricola lapicida
