.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,1,0.33361,NA,2,NA,ben,NA,leptochiton asellus
1,2,-0.22314,NA,2,NA,ben,NA,leptochiton cancellatus
1,3,-0.91629,NA,2,NA,ben,NA,leptochiton leloupi
1,4,-1.20397,NA,2,NA,ben,NA,leptochiton tenuis
1,5,0.91629,NA,3.5,NA,ben,NA,lepidopleurus cajetanus
1,6,1.79176,NA,3.5,NA,ben,NA,hanleya hanleyi
1,7,0.95551,NA,3.5,NA,ben,NA,acanthochitona fascicularis
1,8,0.91629,NA,3.5,NA,ben,NA,lepidozona interstincta
1,9,1.4816,NA,3.5,NA,ben,NA,tripoplax regularis
1,10,1.62924,NA,2,NA,ben,NA,mopalia ferreirai
1,11,1.33763,NA,3.5,NA,ben,NA,acanthochitona spiculosa
1,12,0.93216,NA,3.5,NA,ben,NA,acanthochitona hemphilli
1,13,0.93216,NA,3.5,NA,ben,NA,cryptoconchus floridanus
1,14,0.45742,NA,2,NA,ben,NA,leptochiton rugatus
1,15,1.38629,NA,3.5,NA,ben,NA,leptochiton alveolus
1,16,0.91629,NA,3.5,NA,ben,NA,leptochiton nexus
1,17,1.16315,NA,3.5,NA,ben,NA,oldroydia percrassa
1,18,-0.19845,NA,2,NA,ben,NA,hanleyella oldroydi
1,19,-0.35667,NA,2,NA,ben,NA,hanleya hanleyi
1,20,0,NA,2,NA,ben,NA,hanleya tropicalis
1,21,0.91629,NA,3.5,NA,ben,NA,hanleya hanleyi
1,22,0.23902,NA,2,NA,ben,NA,stenosemus albus
1,23,0.58779,NA,2,NA,ben,NA,stenosemus exaratus
1,24,0.23902,NA,2,NA,ben,NA,lepidochitona liozonis
1,25,0.91629,NA,2,NA,ben,NA,dendrochiton flectens
1,26,1.06471,NA,2,NA,ben,NA,cyanoplax hartwegii
1,27,1.335,NA,2,NA,ben,NA,tonicella insignis
1,28,1.62531,NA,2,NA,ben,NA,tonicella lineata
1,29,0.93216,NA,2,NA,ben,NA,tonicella marmorea
1,30,0.23902,NA,2,NA,ben,NA,boreochiton ruber
1,31,1.62924,NA,3.5,NA,ben,NA,lepidozona mertensii
1,32,1.4816,NA,3.5,NA,ben,NA,lepidozona cooperi
1,33,1.84845,NA,3.5,NA,ben,NA,stenoplax fallax
1,34,1.33763,NA,3.5,NA,ben,NA,stenoplax floridana
1,35,2.03078,NA,2,NA,ben,NA,stenoplax heathiana
1,36,2.31846,NA,2,NA,ben,NA,stenoplax conspicua
1,37,1.62924,NA,2,NA,ben,NA,nuttallina californica
1,38,0.53063,NA,2,NA,ben,NA,schizoplax brandtii
1,39,0.93216,NA,3.5,NA,ben,NA,callistochiton crassicostatus
1,40,0.33647,NA,2,NA,ben,NA,callistochiton shuttleworthianus
1,41,0.91629,NA,2,NA,ben,NA,callistochiton decoratus
1,42,0.87547,NA,3.5,NA,ben,NA,chaetopleura gemma
1,43,0.64448,NA,2,NA,ben,NA,chaetopleura apiculata
1,44,0.64448,NA,2,NA,ben,NA,rhyssoplax janeirensis
1,45,1.79176,NA,2,NA,ben,NA,amicula vestita
1,46,2.56495,NA,2,NA,ben,NA,katharina tunicata
1,47,1.62924,NA,2,NA,ben,NA,mopalia ciliata
1,48,0.47,NA,2,NA,ben,NA,mopalia cirrata
1,49,2.02815,NA,2,NA,ben,NA,mopalia lignosa
1,50,2.18605,NA,2,NA,ben,NA,mopalia muscosa
1,51,1.62924,NA,2,NA,ben,NA,mopalia swanii
1,52,1.16315,NA,2,NA,ben,NA,mopalia acuta
1,53,1.74047,NA,2,NA,ben,NA,mopalia spectabilis
1,54,0.93216,NA,2,NA,ben,NA,placiphorella stimpsoni
1,55,1.75786,NA,2,NA,ben,NA,placiphorella velata
1,56,1.33763,NA,2,NA,ben,NA,placiphorella atlantica
1,57,1.25276,NA,2,NA,ben,NA,placiphorella borealis
1,58,1.62531,NA,3.5,NA,ben,NA,ceratozona squalida
1,59,2.03078,NA,3.5,NA,ben,NA,chiton squamosus
1,60,2.03078,NA,3.5,NA,ben,NA,chiton marmoratus
1,61,2.03078,NA,3.5,NA,ben,NA,chiton tuberculatus
1,62,2.03078,NA,3.5,NA,ben,NA,chiton viridis
1,63,0.93216,NA,3.5,NA,ben,NA,tonicia schrammi
1,64,2.30259,NA,2,NA,ben,NA,acanthopleura granulata
1,65,3.48124,NA,2,NA,ben,NA,cryptochiton stelleri
1,66,-0.22314,NA,2,NA,ben,NA,acanthochitona pygmaea
1,67,1.15531,NA,3.5,NA,ben,NA,ischnochiton boninensis
1,68,0.93216,NA,3.5,NA,ben,NA,ischnochiton comptus
1,69,0.93216,NA,2,NA,ben,NA,ischnochiton hakodadensis
1,70,-0.18633,NA,2,NA,ben,NA,stenoplax petaloides
1,71,1.62531,NA,3.5,NA,ben,NA,tripoplax albrechtii
1,72,1.335,NA,3.5,NA,ben,NA,lepidozona coreanica
1,73,0,NA,2,NA,ben,NA,lepidochitona piceola
1,74,-0.22314,NA,2,NA,ben,NA,lepidochitona simrothi
1,75,0.42527,NA,2,NA,ben,NA,leptochiton binghami
1,76,1.02962,NA,3.5,NA,ben,NA,acanthochitona rhodea
1,77,2.30259,NA,2,NA,ben,NA,acanthopleura gemmata
1,78,1.19392,NA,3.5,NA,ben,NA,onithochiton lyellii
1,79,2.19722,NA,2,NA,ben,NA,acanthopleura spinosa
1,80,0.58779,NA,2,NA,ben,NA,parachiton fornix
1,81,0.69315,NA,2,NA,ben,NA,leptochiton japonicus
1,82,1.50408,NA,3.5,NA,ben,NA,deshayesiella bidentata
1,83,0,NA,2,NA,ben,NA,leptochiton thalattius
1,84,-0.57982,NA,2,NA,ben,NA,leptochiton geronensis
