.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,1,1.79176,NA,3.49,NA,ben,NA,dentalium laqueatum
1,2,0.04879,NA,3.5,NA,ben,NA,paradentalium gouldii
1,3,1.64866,NA,3.5,NA,ben,NA,pertusiconcha callithrix
1,4,1.09861,NA,3.4850000000000003,NA,ben,NA,paradentalium americanum
1,5,1.44055,NA,3.49,NA,ben,NA,antalis entalis
1,6,-0.08338,NA,3.49,NA,ben,NA,heteroschismoides subterfissus
1,7,1.94591,NA,3.49,NA,ben,NA,calliodentalium callipeplum
1,8,1.16315,NA,3.49,NA,ben,NA,fustiaria stenoschiza
1,9,1.52606,NA,3.5,NA,ben,NA,graptacme semistriolata
1,10,1.22378,NA,3.49,NA,ben,NA,fustiaria liodon
1,11,-1.60944,NA,3.5,NA,ben,NA,gadila iota
1,12,-0.59784,NA,3.5,NA,ben,NA,cadulus platensis
1,13,0.69315,NA,3.5,NA,ben,NA,antalis pilsbryi
1,14,1.06471,NA,3.5,NA,ben,NA,antalis cerata
1,15,1.60944,NA,3.5,NA,ben,NA,antalis circumcincta
1,16,0.74194,NA,3.5,NA,ben,NA,antalis taphria
1,17,1.79176,NA,3.5,NA,ben,NA,graptacme eborea
1,18,0.83291,NA,3.4850000000000003,NA,ben,NA,graptacme calamus
1,19,2.19722,NA,3.4850000000000003,NA,ben,NA,graptacme perlonga
1,20,2.18605,NA,3.49,NA,ben,NA,coccodentalium carduus
1,21,0,NA,3.49,NA,ben,NA,episiphon sowerbyi
1,22,0,NA,3.49,NA,ben,NA,episiphon didymum
1,23,0.83291,NA,3.49,NA,ben,NA,siphonodentalium lobatum
1,24,0,NA,3.5,NA,ben,NA,polyschides tetraschistus
1,25,0,NA,3.5,NA,ben,NA,polyschides carolinensis
1,26,0.33647,NA,3.5,NA,ben,NA,gadila elongata
1,27,0.40547,NA,3.5,NA,ben,NA,polyschides grandis
1,28,-0.35667,NA,3.5,NA,ben,NA,polyschides tetrodon
1,29,0.09531,NA,3.4850000000000003,NA,ben,NA,gadila agassizii
1,30,0.26236,NA,3.5,NA,ben,NA,gadila pandionis
1,31,-0.42465,NA,3.4850000000000003,NA,ben,NA,cadulus parvus
1,32,-0.045,NA,3.5,NA,ben,NA,gadila dominguensis
1,33,-0.69315,NA,3.4850000000000003,NA,ben,NA,gadila amianta
1,34,-0.91629,NA,3.5,NA,ben,NA,gadila mayori
1,35,1.60944,NA,3.5,NA,ben,NA,fissidentalium amphialum
1,36,2.07944,NA,3.5,NA,ben,NA,dentalium aprinum
1,37,2.30259,NA,3.5,NA,ben,NA,dentalium elephantinum
1,38,1.60944,NA,3.4850000000000003,NA,ben,NA,antalis tibana
1,39,-0.1233,NA,3.4850000000000003,NA,ben,NA,gadila braziliensis
1,40,0.18232,NA,3.5,NA,ben,NA,compressidens pressus
1,41,2.0149,NA,3.5,NA,ben,NA,calliodentalium crocinum
1,42,1.38629,NA,3.4850000000000003,NA,ben,NA,paradentalium disparile
1,43,0.09531,NA,3.4850000000000003,NA,ben,NA,gadila dominguensis
1,44,1.58924,NA,3.49,NA,ben,NA,paradentalium infractum
1,45,-0.46204,NA,3.4850000000000003,NA,ben,NA,pulsellum falklandicum
1,46,2.00148,NA,3.49,NA,ben,NA,dentalium majorinum
1,47,1.39128,NA,3.5,NA,ben,NA,epirhabdoides ivanovi
1,48,2.07944,NA,3.5,NA,ben,NA,dentalium octangulatum
1,49,1.70475,NA,3.5,NA,ben,NA,fustiaria nipponica
1,50,0,NA,3.4850000000000003,NA,ben,NA,compressidens ophiodon
1,51,1.60944,NA,3.5,NA,ben,NA,rhabdus perceptus
1,52,0,NA,3.5,NA,ben,NA,entalina platamodes
1,53,-0.14734,NA,3.5,NA,ben,NA,polyschides portoricensis
1,54,-0.51083,NA,3.4850000000000003,NA,rf,NA,gadila simpsoni
1,55,0.09531,NA,3.5,NA,ben,NA,gadila pocula
1,56,2.44235,NA,3.5,NA,ben,NA,fissidentalium vicdani
1,57,2.19722,NA,3.5,NA,ben,NA,antalis weinkauffi
1,58,-1.56065,NA,3.5,NA,ben,NA,cadulus eliezeri
1,59,-1.20397,NA,3.49,NA,ben,NA,cadulus nerta
1,60,-0.51083,NA,3.5,NA,ben,NA,polyschides xavante
1,61,-0.43078,NA,3.5,NA,ben,NA,gadila bushii
1,62,0.91629,NA,3.5,NA,ben,NA,antalis antillarum
1,63,1.335,NA,3.5,NA,ben,NA,paradentalium disparile
1,64,1.28093,NA,3.5,NA,ben,NA,paradentalium infractum
1,65,0.91629,NA,3.5,NA,ben,NA,fustiaria liodon
1,66,0.33647,NA,3.5,NA,ben,NA,heteroschismoides meridionalis
1,67,1.44055,NA,3.5,NA,ben,NA,pulsellum teres
1,68,0.83291,NA,3.47,NA,ben,NA,pulsellum affine
1,69,0.26236,NA,3.5,NA,ben,NA,polyschides olivi
1,70,0.09531,NA,3.5,NA,ben,NA,polyschides andersoni
1,71,0.26236,NA,3.5,NA,ben,NA,polyschides arnaudi
1,72,0.26236,NA,3.5,NA,ben,NA,polyschides cuspidatus
1,73,0,NA,3.5,NA,ben,NA,polyschides fausta
1,74,-0.045,NA,3.5,NA,ben,NA,polyschides foweyensis
1,75,0,NA,3.5,NA,ben,NA,polyschides gibbosus
1,76,0,NA,3.5,NA,ben,NA,polyschides kaiyomaruae
1,77,-0.045,NA,3.5,NA,ben,NA,polyschides miamiensis
1,78,0,NA,3.5,NA,ben,NA,polyschides nedallisoni
1,79,0,NA,3.5,NA,ben,NA,polyschides nitidus
1,80,-0.045,NA,3.5,NA,ben,NA,polyschides pelamidae
1,81,0.26236,NA,3.5,NA,ben,NA,polyschides quadrifissatus
1,82,-1.20397,NA,3.5,NA,ben,NA,polyschides rushii
1,83,-0.045,NA,3.5,NA,ben,NA,polyschides sakuraii
1,84,0,NA,3.5,NA,ben,NA,polyschides spectabilis
1,85,0.26236,NA,3.5,NA,ben,NA,polyschides sutherlandi
1,86,-0.045,NA,3.5,NA,ben,NA,polyschides vietnamicus
1,87,1.44055,NA,3.4850000000000003,NA,ben,NA,pulsellum beecheyi
1,88,1.44055,NA,3.4850000000000003,NA,ben,NA,pulsellum eboracense
1,89,0.83291,NA,3.4850000000000003,NA,ben,NA,pulsellum fragile
1,90,1.60944,NA,3.4850000000000003,NA,ben,NA,pulsellum hige
1,91,1.94591,NA,3.4850000000000003,NA,ben,NA,pulsellum kurogenge
1,92,1.94591,NA,3.4850000000000003,NA,ben,NA,pulsellum lofotense
1,93,1.60944,NA,3.4850000000000003,NA,ben,NA,pulsellum occidentale
1,94,2.0149,NA,3.4850000000000003,NA,ben,NA,pulsellum pusillum
1,95,1.60944,NA,3.4850000000000003,NA,ben,NA,pulsellum salishorum
1,96,0.83291,NA,3.4850000000000003,NA,ben,NA,pulsellum thomassini
1,97,2.0149,NA,3.4850000000000003,NA,ben,NA,pulsellum verrilli
1,98,0.09531,NA,3.49,NA,ben,NA,siphonodentalium australasiae
1,99,-0.045,NA,3.49,NA,ben,NA,siphonodentalium booceras
1,100,0,NA,3.49,NA,ben,NA,siphonodentalium colubridens
1,101,-0.045,NA,3.49,NA,ben,NA,siphonodentalium dalli
1,102,-1.20397,NA,3.49,NA,ben,NA,siphonodentalium delicatulum
1,103,0.09531,NA,3.49,NA,ben,NA,siphonodentalium hexaschistum
1,104,-0.045,NA,3.49,NA,ben,NA,siphonodentalium isaotakii
1,105,-1.20397,NA,3.49,NA,ben,NA,siphonodentalium jaeckeli
1,106,0,NA,3.49,NA,ben,NA,siphonodentalium japonicum
1,107,-0.045,NA,3.49,NA,ben,NA,siphonodentalium laubieri
1,108,-0.045,NA,3.49,NA,ben,NA,siphonodentalium longilobatum
1,109,-1.20397,NA,3.49,NA,ben,NA,siphonodentalium magnum
1,110,0,NA,3.49,NA,ben,NA,siphonodentalium okudai
1,111,0.09531,NA,3.49,NA,ben,NA,siphonodentalium promontorii
1,112,0.09531,NA,3.49,NA,ben,NA,siphonodentalium summa
2,1,1.79176,NA,3.5,NA,ben,NA,dentalium laqueatum
2,2,0.04879,NA,3.49,NA,ben,NA,paradentalium gouldii
2,3,1.64866,NA,3.4850000000000003,NA,ben,NA,pertusiconcha callithrix
2,4,1.09861,NA,3.4850000000000003,NA,ben,NA,paradentalium americanum
2,5,1.44055,NA,3.49,NA,ben,NA,antalis entalis
2,6,-0.08338,NA,3.49,NA,ben,NA,heteroschismoides subterfissus
2,7,1.94591,NA,3.4850000000000003,NA,ben,NA,calliodentalium callipeplum
2,8,1.16315,NA,3.49,NA,ben,NA,fustiaria stenoschiza
2,9,1.52606,NA,3.49,NA,ben,NA,graptacme semistriolata
2,10,1.22378,NA,3.5,NA,ben,NA,fustiaria liodon
2,11,-1.60944,NA,3.5,NA,ben,NA,gadila iota
2,12,-0.59784,NA,3.49,NA,ben,NA,cadulus platensis
2,13,0.69315,NA,3.5,NA,ben,NA,antalis pilsbryi
2,14,1.06471,NA,3.5,NA,ben,NA,antalis cerata
2,15,1.60944,NA,3.5,NA,ben,NA,antalis circumcincta
2,16,0.74194,NA,3.5,NA,ben,NA,antalis taphria
2,17,1.79176,NA,3.4850000000000003,NA,ben,NA,graptacme eborea
2,18,0.83291,NA,3.5,NA,ben,NA,graptacme calamus
