src,iucn_sid,sciname,range_tot_km2,range_cst_km2
am,NA,aaptos aaptos,1125956.0002712533,1125956.0002712533
am,NA,aaptos bergmanni,862091.0002043471,862091.0002043471
am,NA,aaptos duchassaingi,881082.0001887158,881082.0001887158
am,NA,aaptos pernucleata,975795.0001683086,975795.0001683086
am,NA,aaptos suberitoides,2197126.000721194,2197126.000721194
am,NA,aatolana rapax,470482.0003176108,470482.0003176108
am,NA,aatolana schioedtei,1431121.0005285218,1431121.0005285218
am,NA,aatolana springthorpei,46688.000022247434,46688.000022247434
am,NA,abalistes filamentosus,7067773.001065478,4209991.001042351
am,NA,abalistes stellaris,5227661.001908779,5227661.001908779
am,NA,abalistes stellatus,4909652.001916803,4909652.001916803
am,NA,abdopus abaculus,1333971.0007041693,1333971.0007041693
am,NA,abdopus aculeatus,2438371.0011668503,2438371.0011668503
am,NA,abdopus horridus,906829.0004089475,906829.0004089475
am,NA,abietinaria abietina,1192527.0004749298,1192527.0004749298
am,NA,abietinaria filicula,822530.0002908334,822530.0002908334
am,NA,abietinaria immersa,75691.99998602271,75691.99998602271
am,NA,abietinaria pulchra,584546.0002418607,584546.0002418607
am,NA,abietinaria turgida,320691.0001385957,320691.0001385957
am,NA,abietinella operculata,615627.000060305,615627.000060305
am,NA,ablabys macracanthus,892841.0002045333,603761.0002033412
am,NA,ablabys taenianotus,8047425.001540594,5666851.00153368
am,NA,ablennes hians,5671654.002925195,5671654.002925195
am,NA,abra aequalis,488781.0000963509,488781.0000963509
am,NA,abra alba,692162.0001899078,692162.0001899078
am,NA,abra lioica,1701688.00032679,1701688.00032679
am,NA,abra sibogai,1041743.0004464462,1041743.0004464462
am,NA,abralia andamanica,8777162.001571618,5677959.001544677
am,NA,abralia astrosticta,5162884.0006818995,1979204.0006568655
am,NA,abralia heminuchalis,250841.000094451,49041.00009445101
am,NA,abralia redfieldi,6395419.000356644,3691435.0003533065
am,NA,abralia veranyi,6892820.000501722,3668236.0004983842
am,NA,abraliopsis atlantica,6622821.000355668,3571237.0003523305
am,NA,abraliopsis felis,247561.0001448542,184161.0001448542
am,NA,abraliopsis hoylei,17368522.002005205,5451363.001954183
am,NA,abraliopsis morisii,8319596.000429802,2786196.0004298016
am,NA,abudefduf abdominalis,27927.000013552606,27927.000013552606
