db,spec_code,species,length,valid_name,aphia_id
fb,2,oreochromis niloticus,23.1,NA,NA
fb,3,oreochromis mossambicus,24.550000190734863,NA,NA
fb,4,engraulis ringens,19.5,NA,NA
fb,5,orthopristis chrysoptera,22.95,NA,NA
fb,6,coryphaena hippurus,131,NA,NA
fb,7,coryphaena equiselis,104.2499984741211,NA,NA
fb,9,abalistes stellaris,51.75,NA,NA
fb,10,alectis indica,100,NA,NA
fb,12,cephalopholis cruentata,28,NA,NA
fb,14,epinephelus adscensionis,62.5,NA,NA
fb,15,epinephelus guttatus,52,NA,NA
fb,16,epinephelus itajara,189,NA,NA
fb,17,epinephelus morio,84.5,NA,NA
fb,18,epinephelus striatus,71,NA,NA
fb,19,balistes vetula,43.25,NA,NA
fb,20,argentina sphyraena,21.600000381469727,NA,NA
fb,21,benthosema glaciale,10.300000190734863,NA,NA
fb,22,callionymus reticulatus,17,NA,NA
fb,23,callionymus lyra,27.35,NA,NA
fb,24,clupea harengus,27.5,NA,NA
fb,25,gadiculus thori,15,NA,NA
fb,26,glyptocephalus cynoglossus,38,NA,NA
fb,27,lepidorhombus boscii,29.25,NA,NA
fb,28,lepidorhombus whiffiagonis,35.900001525878906,NA,NA
fb,29,merlangius merlangus,30.399999618530273,NA,NA
fb,30,merluccius merluccius,44,NA,NA
fb,31,micromesistius poutassou,31.4,NA,NA
fb,32,microchirus variegatus,19.2,NA,NA
fb,33,molva molva,107.75,NA,NA
fb,34,pollachius pollachius,83,NA,NA
fb,35,anguilla anguilla,68.6,NA,NA
fb,36,agonus cataphractus,17.35,NA,NA
fb,37,ammodytes marinus,17.399999618530273,NA,NA
fb,38,ammodytes tobianus,20,NA,NA
fb,39,aphia minuta,4.4,NA,NA
fb,40,argyropelecus affinis,4.4,NA,NA
fb,41,arnoglossus laterna,15.2,NA,NA
fb,42,arnoglossus imperialis,17.15,NA,NA
fb,43,arnoglossus thori,12.149999999999999,NA,NA
fb,44,chelidonichthys cuculus,28.100000381469727,NA,NA
fb,45,atherina presbyter,15.100000381469728,NA,NA
fb,46,melanolagus bericoides,20,NA,NA
fb,47,belone belone,51.15,NA,NA
fb,48,parablennius gattorugine,16.05,NA,NA
fb,49,blennius ocellaris,15,NA,NA
fb,51,brosme brosme,69.5,NA,NA
fb,52,buenia jeffreysii,5.1,NA,NA
fb,53,buglossidium luteum,13.5,NA,NA
fb,54,capros aper,12.2,NA,NA
