species,trait,value,source,val_num
abdopus abaculus,age_mat,<1yr,vuln,NA
abdopus aculeatus,age_mat,<1yr,vuln,NA
abdopus horridus,age_mat,<1yr,vuln,NA
abdopus tenebricus,age_mat,<1yr,vuln,NA
abdopus tonganus,age_mat,<1yr,vuln,NA
abdopus undulatus,age_mat,<1yr,vuln,NA
adelieledone adelieana,age_mat,1-5yrs,vuln,NA
adelieledone piatkowski,age_mat,1-5yrs,vuln,NA
afrololigo mercatoris,age_mat,<1yr,vuln,NA
alluroteuthis antarcticus,age_mat,<1yr,vuln,NA
ameloctopus litoralis,age_mat,<1yr,vuln,NA
amphioctopus aegina,age_mat,<1yr,vuln,NA
amphioctopus arenicola,age_mat,<1yr,vuln,NA
amphioctopus burryi,age_mat,<1yr,vuln,NA
amphioctopus exannulatus,age_mat,<1yr,vuln,NA
amphioctopus fangsiao,age_mat,<1yr,vuln,NA
amphioctopus kagoshimensis,age_mat,<1yr,vuln,NA
amphioctopus marginatus,age_mat,<1yr,vuln,NA
amphioctopus membranaceus,age_mat,<1yr,vuln,NA
amphioctopus mototi,age_mat,<1yr,vuln,NA
amphioctopus neglectus,age_mat,<1yr,vuln,NA
amphioctopus ovulum,age_mat,<1yr,vuln,NA
amphioctopus polyzenia,age_mat,<1yr,vuln,NA
amphioctopus rex,age_mat,<1yr,vuln,NA
amphioctopus robsoni,age_mat,<1yr,vuln,NA
amphioctopus siamensis,age_mat,<1yr,vuln,NA
amphioctopus varunae,age_mat,<1yr,vuln,NA
ancistrocheirus lesueurii,age_mat,1-5yrs,vuln,NA
ancistroteuthis lichtensteinii,age_mat,<1yr,vuln,NA
architeuthis dux,age_mat,1-5yrs,vuln,NA
australiteuthis aldrichi,age_mat,<1yr,vuln,NA
bathothauma lyromma,age_mat,<1yr,vuln,NA
bathypolypus arcticus,age_mat,1-5yrs,vuln,NA
bathypolypus bairdii,age_mat,1-5yrs,vuln,NA
bathypolypus ergasticus,age_mat,1-5yrs,vuln,NA
bathypolypus pugniger,age_mat,1-5yrs,vuln,NA
bathypolypus rubrostictus,age_mat,1-5yrs,vuln,NA
bathypolypus sponsalis,age_mat,1-5yrs,vuln,NA
bathypolypus valdiviae,age_mat,1-5yrs,vuln,NA
bathypurpurata profunda,age_mat,1-5yrs,vuln,NA
batoteuthis skolops,age_mat,<1yr,vuln,NA
bentheledone rotunda,age_mat,1-5yrs,vuln,NA
callistoctopus alpheus,age_mat,<1yr,vuln,NA
callistoctopus aspilosomatis,age_mat,<1yr,vuln,NA
callistoctopus dierythraeus,age_mat,<1yr,vuln,NA
callistoctopus graptus,age_mat,<1yr,vuln,NA
callistoctopus lechenaultii,age_mat,<1yr,vuln,NA
