id,name,rank,parent,parent_level
20300,eoacanthocephala,class,acanthocephala,phylum
20285,palaeacanthocephala,class,acanthocephala,phylum
14165,clitellata,class,annelida,phylum
883,polychaeta,class,annelida,phylum
819076,machaeridia,class,annelida,phylum
1300,arachnida,class,arthropoda,phylum
150507,merostomata,class,arthropoda,phylum
1302,pycnogonida,class,arthropoda,phylum
1069,branchiopoda,class,arthropoda,phylum
150314,cephalocarida,class,arthropoda,phylum
1067,remipedia,class,arthropoda,phylum
118086,collembola,class,arthropoda,phylum
1307,insecta,class,arthropoda,phylum
1304,chilopoda,class,arthropoda,phylum
384687,pauropoda,class,arthropoda,phylum
394515,symphyla,class,arthropoda,phylum
877220,trilobita,class,arthropoda,phylum
889925,hexanauplia,class,arthropoda,phylum
1071,malacostraca,class,arthropoda,phylum
845958,ichthyostraca,class,arthropoda,phylum
1078,ostracoda,class,arthropoda,phylum
590695,bicoecea,class,bigyra,phylum
449154,labyrinthulea,class,bigyra,phylum
590587,nucleohelea,class,bigyra,phylum
104019,craniata,class,brachiopoda,phylum
235154,lingulata,class,brachiopoda,phylum
104020,rhynchonellata,class,brachiopoda,phylum
147481,bryopsida,class,bryophyta,phylum
1795,gymnolaemata,class,bryozoa,phylum
1794,stenolaemata,class,bryozoa,phylum
562854,ascetosporea,class,cercozoa,phylum
591228,gromiidea,class,cercozoa,phylum
591229,phytomyxea,class,cercozoa,phylum
591230,proteomyxidea,class,cercozoa,phylum
590917,chlorarachnea,class,cercozoa,phylum
590925,granofilosea,class,cercozoa,phylum
591237,metromonadea,class,cercozoa,phylum
590936,sarcomonadea,class,cercozoa,phylum
591238,imbricatea,class,cercozoa,phylum
590699,thecofilosea,class,cercozoa,phylum
5949,sagittoidea,class,chaetognatha,phylum
146217,charophyceae,class,charophyta,phylum
886290,conjugatophyceae,class,charophyta,phylum
368673,klebsormidiophyceae,class,charophyta,phylum
369188,chlorophyta incertae sedis,class,chlorophyta,phylum
493835,mamiellophyceae,class,chlorophyta,phylum
368676,nephroselmidophyceae,class,chlorophyta,phylum
368678,pleurastrophyceae,class,chlorophyta,phylum
17329,prasinophyceae,class,chlorophyta,phylum
886274,pyramimonadophyceae,class,chlorophyta,phylum
886257,chlorodendrophyceae,class,chlorophyta,phylum
802,chlorophyceae,class,chlorophyta,phylum
368677,pedinophyceae,class,chlorophyta,phylum
160573,trebouxiophyceae,class,chlorophyta,phylum
146216,ulvophyceae,class,chlorophyta,phylum
104897,leptocardii,class,chordata,phylum
146421,appendicularia,class,chordata,phylum
1839,ascidiacea,class,chordata,phylum
22626,thaliacea,class,chordata,phylum
10190,cephalaspidomorphi,class,chordata,phylum
10189,myxini,class,chordata,phylum
843662,petromyzonti,class,chordata,phylum
10194,actinopterygii,class,chordata,phylum
843665,coelacanthi,class,chordata,phylum
10193,elasmobranchii,class,chordata,phylum
10196,holocephali,class,chordata,phylum
1836,aves,class,chordata,phylum
1837,mammalia,class,chordata,phylum
1838,reptilia,class,chordata,phylum
732974,oligotrichea,class,ciliophora,phylum
425519,heterotrichea,class,ciliophora,phylum
414963,karyorelictea,class,ciliophora,phylum
292892,litostomatea,class,ciliophora,phylum
1348,spirotrichea,class,ciliophora,phylum
414708,colpodea,class,ciliophora,phylum
425425,nassophorea,class,ciliophora,phylum
162991,oligohymenophorea,class,ciliophora,phylum
341306,phyllopharyngea,class,ciliophora,phylum
414717,plagiopylea,class,ciliophora,phylum
425487,prostomatea,class,ciliophora,phylum
1292,anthozoa,class,cnidaria,phylum
135219,cubozoa,class,cnidaria,phylum
1337,hydrozoa,class,cnidaria,phylum
146271,myxozoa,class,cnidaria,phylum
135220,scyphozoa,class,cnidaria,phylum
265044,staurozoa,class,cnidaria,phylum
17639,cryptophyceae,class,cryptophyta,phylum
598944,cryptophyta incertae sedis,class,cryptophyta,phylum
582422,goniomonadophyceae,class,cryptophyta,phylum
582426,telonemea,class,cryptophyta,phylum
1250,nuda,class,ctenophora,phylum
867234,scleroctenophora,class,ctenophora,phylum
1249,tentaculata,class,ctenophora,phylum
106404,eucycliophora,class,cycliophora,phylum
14219,rhombozoa,class,dicyemida,phylum
123080,asteroidea,class,echinodermata,phylum
123084,ophiuroidea,class,echinodermata,phylum
123081,crinoidea,class,echinodermata,phylum
123082,echinoidea,class,echinodermata,phylum
123083,holothuroidea,class,echinodermata,phylum
NA,NA,NA,entoprocta,phylum
1048156,fusulinata,class,foraminifera,phylum
744104,globothalamea,class,foraminifera,phylum
744106,monothalamea,class,foraminifera,phylum
1381420,nodosariata,class,foraminifera,phylum
744102,tubothalamea,class,foraminifera,phylum
NA,NA,NA,gastrotricha,phylum
NA,NA,NA,gnathostomulida,phylum
369191,haptophyta incertae sedis,class,haptophyta,phylum
249727,pavlovophyceae,class,haptophyta,phylum
115057,prymnesiophyceae,class,haptophyta,phylum
582428,centrohelea,class,heliozoa,phylum
593336,heliozoa incertae sedis,class,heliozoa,phylum
1820,enteropneusta,class,hemichordata,phylum
579849,graptolithoidea,class,hemichordata,phylum
1433251,allomalorhagida,class,kinorhyncha,phylum
101064,cyclorhagida,class,kinorhyncha,phylum
NA,NA,NA,loricifera,phylum
105,bivalvia,class,mollusca,phylum
151365,caudofoveata,class,mollusca,phylum
11707,cephalopoda,class,mollusca,phylum
101,gastropoda,class,mollusca,phylum
415,monoplacophora,class,mollusca,phylum
55,polyplacophora,class,mollusca,phylum
849233,rostroconchia,class,mollusca,phylum
104,scaphopoda,class,mollusca,phylum
2094,solenogastres,class,mollusca,phylum
591163,apicomonadea,class,myzozoa,phylum
146215,apicomplexa incertae sedis,class,myzozoa,phylum
582464,aconoidasida,class,myzozoa,phylum
394011,conoidasida,class,myzozoa,phylum
731100,sporozoa incertae sedis,class,myzozoa,phylum
19542,dinophyceae,class,myzozoa,phylum
562634,peridinea,class,myzozoa,phylum
562624,ellobiopsea,class,myzozoa,phylum
178968,perkinsea,class,myzozoa,phylum
988340,protalveolata incertae sedis,class,myzozoa,phylum
731848,chromadorea,class,nematoda,phylum
834422,enoplea,class,nematoda,phylum
122309,hoplonemertea,class,nemertea,phylum
122307,palaeonemertea,class,nemertea,phylum
1320351,pilidiophora,class,nemertea,phylum
1359028,chrysoparadoxophyceae,class,ochrophyta,phylum
148899,bacillariophyceae,class,ochrophyta,phylum
345466,bolidophyceae,class,ochrophyta,phylum
593500,khakista incertae sedis,class,ochrophyta,phylum
146230,chrysophyceae,class,ochrophyta,phylum
345487,eustigmatophyceae,class,ochrophyta,phylum
591206,picophagea,class,ochrophyta,phylum
590428,synchromophyceae,class,ochrophyta,phylum
590472,aurearenophyceae,class,ochrophyta,phylum
590462,chrysomerophyceae,class,ochrophyta,phylum
830,phaeophyceae,class,ochrophyta,phylum
368667,phaeothamniophyceae,class,ochrophyta,phylum
393292,schizocladiophyceae,class,ochrophyta,phylum
17793,xanthophyceae,class,ochrophyta,phylum
146232,dictyochophyceae,class,ochrophyta,phylum
345500,pelagophyceae,class,ochrophyta,phylum
160581,raphidophyceae,class,ochrophyta,phylum
590487,bigyromonadea,class,oomycota,phylum
593507,oomycota incertae sedis,class,oomycota,phylum
591217,peronosporea,class,oomycota,phylum
NA,NA,NA,orthonectida,phylum
NA,NA,NA,phoronida,phylum
NA,NA,NA,placozoa,phylum
1051,cestoda,class,platyhelminthes,phylum
798,monogenea,class,platyhelminthes,phylum
19948,trematoda,class,platyhelminthes,phylum
559,calcarea,class,porifera,phylum
164811,demospongiae,class,porifera,phylum
22612,hexactinellida,class,porifera,phylum
131587,homoscleromorpha,class,porifera,phylum
NA,NA,NA,priapulida,phylum
586732,acantharia,class,radiozoa,phylum
235740,polycystina,class,radiozoa,phylum
450770,radiozoa incertae sedis,class,radiozoa,phylum
235736,sticholonchea,class,radiozoa,phylum
369193,rhodophyta incertae sedis,class,rhodophyta,phylum
368668,bangiophyceae,class,rhodophyta,phylum
368670,florideophyceae,class,rhodophyta,phylum
368669,compsopogonophyceae,class,rhodophyta,phylum
493832,porphyridiophyceae,class,rhodophyta,phylum
368671,rhodellophyceae,class,rhodophyta,phylum
368672,stylonematophyceae,class,rhodophyta,phylum
368537,eurotatoria,class,rotifera,phylum
368538,pararotatoria,class,rotifera,phylum
1295,phascolosomatidea,class,sipuncula,phylum
1296,sipunculidea,class,sipuncula,phylum
136619,eutardigrada,class,tardigrada,phylum
136620,heterotardigrada,class,tardigrada,phylum
596330,polypodiopsida,class,tracheophyta,phylum
182757,magnoliopsida,class,tracheophyta,phylum
NA,NA,NA,xenacoelomorpha,phylum
