parent,id,parent_level,name,rank
acantharia incertae sedis,NA,order,NA,NA
acanthonida,866439,order,astrolonchidae,family
achnanthales,149190,order,achnanthaceae,family
achnanthales,163530,order,achnanthidiaceae,family
achnanthales,148988,order,cocconeidaceae,family
acipenseriformes,125424,order,acipenseridae,family
aconchulinida,872112,order,vampyrellidae,family
acrochaetiales,143661,order,acrochaetiaceae,family
acrosymphytales,143693,order,acrosymphytaceae,family
acrosymphytales,1372955,order,acrothesauraceae,family
actiniaria,741024,order,antheidae,family
actiniaria,853967,order,antheomorphidae,family
actiniaria,1339256,order,relicanthidae,family
actiniaria,853969,order,sarcophinanthidae,family
actiniaria,100650,order,actinernidae,family
actiniaria,100669,order,halcuriidae,family
actiniaria,100665,order,edwardsiidae,family
actiniaria,100653,order,actiniidae,family
actiniaria,411319,order,actinodendridae,family
actiniaria,100658,order,andresiidae,family
actiniaria,172970,order,capneidae,family
actiniaria,100663,order,condylanthidae,family
actiniaria,100671,order,haloclavidae,family
actiniaria,414826,order,homostichanthidae,family
actiniaria,853974,order,iosactinidae,family
actiniaria,100676,order,limnactiniidae,family
actiniaria,100677,order,liponematidae,family
actiniaria,266933,order,minyadidae,family
actiniaria,266936,order,oractiidae,family
actiniaria,100680,order,phymanthidae,family
actiniaria,853978,order,preactiniidae,family
actiniaria,853968,order,ptychodactinidae,family
actiniaria,266939,order,stichodactylidae,family
actiniaria,196167,order,thalassianthidae,family
actiniaria,100655,order,actinostolidae,family
actiniaria,266929,order,exocoelactinidae,family
actiniaria,1359396,order,halcampulactidae,family
actiniaria,266928,order,acontiophoridae,family
actiniaria,1288524,order,acricoactinidae,family
actiniaria,100654,order,actinoscyphiidae,family
actiniaria,100656,order,aiptasiidae,family
actiniaria,411304,order,aiptasiomorphidae,family
actiniaria,100657,order,aliciidae,family
actiniaria,991501,order,amphianthidae,family
actiniaria,100659,order,andvakiidae,family
actiniaria,853971,order,antipodactinidae,family
actiniaria,100661,order,bathyphelliidae,family
actiniaria,100662,order,boloceroididae,family
actiniaria,100664,order,diadumenidae,family
actiniaria,173064,order,galatheanthemidae,family
actiniaria,100666,order,gonactiniidae,family
actiniaria,100667,order,halcampidae,family
actiniaria,853966,order,haliactinidae,family
actiniaria,100672,order,hormathiidae,family
actiniaria,173186,order,isanthidae,family
actiniaria,853975,order,kadosactinidae,family
actiniaria,100678,order,metridiidae,family
actiniaria,266934,order,nemanthidae,family
actiniaria,266935,order,nevadneidae,family
actiniaria,100679,order,octineonidae,family
actiniaria,1039823,order,ostiactinidae,family
actiniaria,991502,order,phelliidae,family
actiniaria,100681,order,sagartiidae,family
actiniaria,266938,order,sagartiomorphidae,family
actiniaria,1048816,order,spongiactinidae,family
actiniaria,446817,order,polyopidae,family
actiniscales,109409,order,actiniscaceae,family
actinodontida,NA,order,NA,NA
actinophryida,590589,order,actinophyridae,family
actinulida,16847,order,halammohydridae,family
actinulida,22775,order,otohydridae,family
adapedonta,251,order,hiatellidae,family
adapedonta,23091,order,pharidae,family
adapedonta,233,order,solenidae,family
agamococcidiorida,562796,order,gemmocystidae,family
agamococcidiorida,562798,order,rhytidocystidae,family
agelasida,131628,order,agelasidae,family
agelasida,164847,order,astroscleridae,family
agelasida,598619,order,hymerhabdiidae,family
ahnfeltiales,146313,order,ahnfeltiaceae,family
albuliformes,151805,order,albulidae,family
alcyonacea,517542,order,acanthoaxiidae,family
alcyonacea,411562,order,haimeidae,family
alcyonacea,151540,order,paramuriceidae,family
alcyonacea,743776,order,parasphaerascleridae,family
alcyonacea,1049569,order,acrophytidae,family
alcyonacea,125269,order,alcyoniidae,family
alcyonacea,701654,order,aquaumbridae,family
alcyonacea,1049571,order,corymbophytidae,family
alcyonacea,1049624,order,leptophytidae,family
alcyonacea,146762,order,nephtheidae,family
alcyonacea,196169,order,nidaliidae,family
alcyonacea,125282,order,paralcyoniidae,family
alcyonacea,125271,order,xeniidae,family
alcyonacea,125273,order,chrysogorgiidae,family
alcyonacea,125274,order,ellisellidae,family
alcyonacea,266948,order,ifalukellidae,family
alcyonacea,125276,order,isididae,family
alcyonacea,125278,order,primnoidae,family
alcyonacea,125272,order,acanthogorgiidae,family
alcyonacea,266947,order,dendrobrachiidae,family
alcyonacea,125275,order,gorgoniidae,family
alcyonacea,196168,order,keroeididae,family
alcyonacea,125277,order,plexauridae,family
alcyonacea,266951,order,taiaroidae,family
alcyonacea,125279,order,anthothelidae,family
alcyonacea,266946,order,briareidae,family
alcyonacea,125280,order,coralliidae,family
alcyonacea,196230,order,melithaeidae,family
alcyonacea,125281,order,paragorgiidae,family
alcyonacea,266949,order,parisididae,family
alcyonacea,852769,order,spongiodermidae,family
alcyonacea,196232,order,subergorgiidae,family
alcyonacea,1045592,order,victorgorgiidae,family
alcyonacea,411563,order,acrossotidae,family
alcyonacea,716887,order,arulidae,family
alcyonacea,125270,order,clavulariidae,family
alcyonacea,411564,order,coelogorgiidae,family
alcyonacea,125283,order,cornulariidae,family
alcyonacea,266950,order,pseudogorgiidae,family
alcyonacea,196208,order,tubiporidae,family
alismatales,715984,order,alismataceae,family
alismatales,425928,order,araceae,family
alismatales,143768,order,cymodoceaceae,family
alismatales,143751,order,hydrocharitaceae,family
alismatales,414830,order,juncaginaceae,family
alismatales,143769,order,posidoniaceae,family
alismatales,196239,order,potamogetonaceae,family
alismatales,234029,order,ruppiaceae,family
alismatales,143770,order,zosteraceae,family
allogromiida,293023,order,allogromida incertae sedis,family
allogromiida,111893,order,allogromiidae,family
allogromiida,720959,order,hospitellidae,family
allogromiida,111894,order,lagynidae,family
allogromiida,720958,order,maylisoriidae,family
allogromiida,526476,order,phthanotrochidae,family
amphidiniales,1308689,order,amphidiniaceae,family
amphidiscosida,131684,order,hyalonematidae,family
amphidiscosida,171554,order,monorhaphididae,family
amphidiscosida,131685,order,pheronematidae,family
amphilepidida,1148550,order,amphilepidida incertae sedis,family
amphilepidida,123205,order,amphilepididae,family
amphilepidida,123206,order,amphiuridae,family
amphilepidida,123207,order,ophiactidae,family
amphilepidida,1148552,order,ophiopholidae,family
amphilepidida,1148551,order,ophiothamnidae,family
amphilepidida,123208,order,ophiotrichidae,family
amphilepidida,242206,order,hemieuryalidae,family
amphilepidida,242200,order,ophiolepididae,family
amphilepidida,1148549,order,amphilimnidae,family
amphilepidida,123199,order,ophionereididae,family
amphilepidida,1077091,order,ophiopsilidae,family
amphilinidea,104924,order,amphilinidae,family
amphilothales,744376,order,amphilothaceae,family
amphinomida,960,order,amphinomidae,family
amphinomida,961,order,euphrosinidae,family
amphipoda,101365,order,amphilochidae,family
amphipoda,410686,order,bolttsiidae,family
amphipoda,101377,order,cressidae,family
amphipoda,236744,order,cyproideidae,family
amphipoda,176801,order,didymocheliidae,family
amphipoda,390824,order,nihotungidae,family
amphipoda,101404,order,pleustidae,family
amphipoda,101407,order,sebidae,family
amphipoda,101409,order,stenothoidae,family
amphipoda,101362,order,acanthonotozomatidae,family
amphipoda,176978,order,acanthonotozomellidae,family
amphipoda,101363,order,amathillopsidae,family
amphipoda,236737,order,dikwidae,family
amphipoda,101379,order,epimeriidae,family
amphipoda,101387,order,iphimediidae,family
amphipoda,101390,order,lafystiidae,family
amphipoda,101391,order,laphystiopsidae,family
amphipoda,177027,order,ochlesidae,family
amphipoda,390997,order,sicafodiidae,family
amphipoda,176940,order,stilipedidae,family
amphipoda,236748,order,vicmusiidae,family
amphipoda,101393,order,leucothoidae,family
amphipoda,158030,order,bateidae,family
amphipoda,101380,order,eusiridae,family
amphipoda,512217,order,miramarassidae,family
amphipoda,557391,order,thurstonellidae,family
amphipoda,101394,order,liljeborgiidae,family
amphipoda,1055686,order,pseudamphilochidae,family
amphipoda,535554,order,maxillipiidae,family
amphipoda,176965,order,exoedicerotidae,family
amphipoda,101400,order,oedicerotidae,family
amphipoda,547960,order,paracalliopiidae,family
amphipoda,236749,order,cheidae,family
amphipoda,430453,order,condukiidae,family
amphipoda,101384,order,haustoriidae,family
amphipoda,491612,order,ipanemidae,family
amphipoda,933503,order,otagiidae,family
amphipoda,101403,order,phoxocephalidae,family
amphipoda,176868,order,phoxocephalopsidae,family
amphipoda,236742,order,platyischnopidae,family
amphipoda,101406,order,pontoporeiidae,family
amphipoda,550566,order,priscillinidae,family
amphipoda,554960,order,sinurothoidae,family
amphipoda,236738,order,urohaustoriidae,family
amphipoda,101412,order,urothoidae,family
amphipoda,236739,order,zobrachoidae,family
amphipoda,468022,order,alicellidae,family
amphipoda,1055707,order,parargissidae,family
amphipoda,550205,order,podoprionidae,family
amphipoda,101413,order,valettidae,family
amphipoda,468023,order,valettiopsidae,family
amphipoda,1055706,order,vemanidae,family
amphipoda,597741,order,acidostomatidae,family
amphipoda,1055701,order,ambasiidae,family
amphipoda,236740,order,aristiidae,family
amphipoda,1055702,order,conicostomatidae,family
amphipoda,1055703,order,derjugianidae,family
amphipoda,489650,order,endevouridae,family
amphipoda,491887,order,izinkalidae,family
amphipoda,491953,order,kergueleniidae,family
amphipoda,545443,order,lepidepecreellidae,family
amphipoda,1055704,order,pakynidae,family
amphipoda,463589,order,sophrosynidae,family
amphipoda,558702,order,thoriellidae,family
amphipoda,183598,order,trischizostomatidae,family
amphipoda,557844,order,wandinidae,family
amphipoda,1055700,order,adeliellidae,family
amphipoda,236743,order,amaryllididae,family
amphipoda,558700,order,cebocaridae,family
amphipoda,558701,order,cyclocaridae,family
amphipoda,177051,order,cyphocarididae,family
amphipoda,177050,order,eurytheneidae,family
amphipoda,447913,order,hirondelleidae,family
amphipoda,101395,order,lysianassidae,family
amphipoda,176953,order,opisidae,family
amphipoda,176791,order,scopelocheiridae,family
amphipoda,176955,order,tryphosidae,family
amphipoda,176808,order,uristidae,family
amphipoda,101408,order,stegocephalidae,family
