id,name,rank,parent,parent_level
527217,boissevainia,genus,[unassigned] gadilida,family
343665,compressidens,genus,[unassigned] gadilida,family
343666,megaentalina,genus,[unassigned] gadilida,family
391914,aberrapex,genus,aberrapecidae,family
512718,abertella,genus,abertellidae,family
890561,abronica,genus,abronicidae,family
438894,abrsia,genus,abrsiidae,family
135351,abyla,genus,abylidae,family
135354,ceratocymba,genus,abylidae,family
135352,abylopsis,genus,abylidae,family
135353,bassia,genus,abylidae,family
135355,enneagonum,genus,abylidae,family
446134,abyssoanthus,genus,abyssoanthidae,family
385540,ferreiraella,genus,abyssochitonidae,family
344738,acanthus,genus,acanthaceae,family
235033,avicennia,genus,acanthaceae,family
118309,ianthopsis,genus,acanthaspidiidae,family
174440,iolanthe,genus,acanthaspidiidae,family
248964,mexicope,genus,acanthaspidiidae,family
205212,acanthaster,genus,acanthasteridae,family
107018,acanthephyra,genus,acanthephyridae,family
107019,ephyrina,genus,acanthephyridae,family
107020,heterogenys,genus,acanthephyridae,family
107021,hymenodora,genus,acanthephyridae,family
107023,kemphyra,genus,acanthephyridae,family
107024,meningodora,genus,acanthephyridae,family
107025,notostomus,genus,acanthephyridae,family
517543,acanthoaxis,genus,acanthoaxiidae,family
1373095,acanthoceramoporella,genus,acanthoceramoporellidae,family
1373123,anolotichiina,genus,acanthoceramoporellidae,family
1373124,minutolunaria,genus,acanthoceramoporellidae,family
NA,NA,NA,acanthocerataceae,family
170382,acanthochaetetes,genus,acanthochaetetidae,family
170386,willardia,genus,acanthochaetetidae,family
22819,acanthocheilus,genus,acanthocheilidae,family
22951,mawsonascaris,genus,acanthocheilidae,family
22929,pseudanisakis,genus,acanthocheilidae,family
368427,acanthochiasma,genus,acanthochiasmidae,family
1375961,afossochiton,genus,acanthochitonidae,family
1375978,lirachiton,genus,acanthochitonidae,family
137613,acanthochitona,genus,acanthochitonidae,family
415040,americhiton,genus,acanthochitonidae,family
385578,bassethullia,genus,acanthochitonidae,family
204838,choneplax,genus,acanthochitonidae,family
152767,craspedochiton,genus,acanthochitonidae,family
385579,craspedoplax,genus,acanthochitonidae,family
152815,cryptoconchus,genus,acanthochitonidae,family
385580,leptoplax,genus,acanthochitonidae,family
206244,notoplax,genus,acanthochitonidae,family
1451426,pseudoacanthochitona,genus,acanthochitonidae,family
385581,pseudotonicia,genus,acanthochitonidae,family
240775,cryptochiton,genus,acanthochitonidae,family
1378407,acanthocladia,genus,acanthocladiidae,family
1378408,adlatipora,genus,acanthocladiidae,family
1378409,arborocladia,genus,acanthocladiidae,family
1378410,baculopora,genus,acanthocladiidae,family
1378411,diploporaria,genus,acanthocladiidae,family
1378412,eulyra,genus,acanthocladiidae,family
1378413,gorjunopora,genus,acanthocladiidae,family
1378414,ichthyorachis,genus,acanthocladiidae,family
1378415,kalvariella,genus,acanthocladiidae,family
1378416,mackinneyella,genus,acanthocladiidae,family
1378417,penniretepora,genus,acanthocladiidae,family
1378418,perkhurovella,genus,acanthocladiidae,family
1378419,ptiloporina,genus,acanthocladiidae,family
1378420,samaria,genus,acanthocladiidae,family
1378421,synocladia,genus,acanthocladiidae,family
1378422,synocladiopsis,genus,acanthocladiidae,family
1378423,terepennipora,genus,acanthocladiidae,family
1378424,thamniscus,genus,acanthocladiidae,family
NA,NA,NA,acanthocollidae,family
594677,acaenodera,genus,acanthocolpidae,family
368429,acanthocolpus,genus,acanthocolpidae,family
725430,gissutrema,genus,acanthocolpidae,family
108548,lepidauchen,genus,acanthocolpidae,family
415604,manteria,genus,acanthocolpidae,family
391372,monostephanostomum,genus,acanthocolpidae,family
108549,neophasis,genus,acanthocolpidae,family
594309,ningalooia,genus,acanthocolpidae,family
725431,ophiotreminoides,genus,acanthocolpidae,family
108550,pleorchis,genus,acanthocolpidae,family
725432,pseudacaenodera,genus,acanthocolpidae,family
393672,pseudolepidapedon,genus,acanthocolpidae,family
108552,spinoplagioporus,genus,acanthocolpidae,family
711109,stephanostomoides,genus,acanthocolpidae,family
108553,stephanostomum,genus,acanthocolpidae,family
108555,tormopsolus,genus,acanthocolpidae,family
594383,venusicola,genus,acanthocolpidae,family
