spp_gp,rank,name,parent,parent_level
abralia andamanica,phylum,mollusca,animalia,kingdom
abralia andamanica,class,cephalopoda,mollusca,phylum
abralia andamanica,order,oegopsida,cephalopoda,class
abralia andamanica,family,enoploteuthidae,oegopsida,order
abralia andamanica,genus,abralia,enoploteuthidae,family
abralia andamanica,species,abralia andamanica,abralia,genus
abralia astrosticta,phylum,mollusca,animalia,kingdom
abralia astrosticta,class,cephalopoda,mollusca,phylum
abralia astrosticta,order,oegopsida,cephalopoda,class
abralia astrosticta,family,enoploteuthidae,oegopsida,order
abralia astrosticta,genus,abralia,enoploteuthidae,family
abralia astrosticta,species,abralia astrosticta,abralia,genus
abralia heminuchalis,phylum,mollusca,animalia,kingdom
abralia heminuchalis,class,cephalopoda,mollusca,phylum
abralia heminuchalis,order,oegopsida,cephalopoda,class
abralia heminuchalis,family,enoploteuthidae,oegopsida,order
abralia heminuchalis,genus,abralia,enoploteuthidae,family
abralia heminuchalis,species,abralia heminuchalis,abralia,genus
abralia redfieldi,phylum,mollusca,animalia,kingdom
abralia redfieldi,class,cephalopoda,mollusca,phylum
abralia redfieldi,order,oegopsida,cephalopoda,class
abralia redfieldi,family,enoploteuthidae,oegopsida,order
abralia redfieldi,genus,abralia,enoploteuthidae,family
abralia redfieldi,species,abralia redfieldi,abralia,genus
abralia veranyi,phylum,mollusca,animalia,kingdom
abralia veranyi,class,cephalopoda,mollusca,phylum
abralia veranyi,order,oegopsida,cephalopoda,class
abralia veranyi,family,enoploteuthidae,oegopsida,order
abralia veranyi,genus,abralia,enoploteuthidae,family
abralia veranyi,species,abralia veranyi,abralia,genus
abraliopsis atlantica,phylum,mollusca,animalia,kingdom
abraliopsis atlantica,class,cephalopoda,mollusca,phylum
abraliopsis atlantica,order,oegopsida,cephalopoda,class
abraliopsis atlantica,family,enoploteuthidae,oegopsida,order
abraliopsis atlantica,genus,abraliopsis,enoploteuthidae,family
abraliopsis atlantica,species,abraliopsis atlantica,abraliopsis,genus
abraliopsis felis,phylum,mollusca,animalia,kingdom
abraliopsis felis,class,cephalopoda,mollusca,phylum
abraliopsis felis,order,oegopsida,cephalopoda,class
abraliopsis felis,family,enoploteuthidae,oegopsida,order
abraliopsis felis,genus,abraliopsis,enoploteuthidae,family
abraliopsis felis,species,abraliopsis felis,abraliopsis,genus
abraliopsis hoylei,phylum,mollusca,animalia,kingdom
abraliopsis hoylei,class,cephalopoda,mollusca,phylum
abraliopsis hoylei,order,oegopsida,cephalopoda,class
abraliopsis hoylei,family,enoploteuthidae,oegopsida,order
abraliopsis hoylei,genus,abraliopsis,enoploteuthidae,family
abraliopsis hoylei,species,abraliopsis hoylei,abraliopsis,genus
abraliopsis morisii,phylum,mollusca,animalia,kingdom
abraliopsis morisii,class,cephalopoda,mollusca,phylum
abraliopsis morisii,order,oegopsida,cephalopoda,class
abraliopsis morisii,family,enoploteuthidae,oegopsida,order
abraliopsis morisii,genus,abraliopsis,enoploteuthidae,family
abraliopsis morisii,species,abraliopsis morisii,abraliopsis,genus
abraliopsis pfefferi,phylum,mollusca,animalia,kingdom
abraliopsis pfefferi,class,cephalopoda,mollusca,phylum
abraliopsis pfefferi,order,oegopsida,cephalopoda,class
abraliopsis pfefferi,family,enoploteuthidae,oegopsida,order
abraliopsis pfefferi,genus,abraliopsis,enoploteuthidae,family
abraliopsis pfefferi,species,abraliopsis pfefferi,abraliopsis,genus
abrina sibogai,phylum,mollusca,animalia,kingdom
abrina sibogai,class,bivalvia,mollusca,phylum
abrina sibogai,order,cardiida,bivalvia,class
abrina sibogai,family,semelidae,cardiida,order
abrina sibogai,genus,abrina,semelidae,family
abrina sibogai,species,abrina sibogai,abrina,genus
abylopsis eschscholtzii,phylum,cnidaria,animalia,kingdom
abylopsis eschscholtzii,class,hydrozoa,cnidaria,phylum
abylopsis eschscholtzii,order,siphonophorae,hydrozoa,class
abylopsis eschscholtzii,family,abylidae,siphonophorae,order
abylopsis eschscholtzii,genus,abylopsis,abylidae,family
abylopsis eschscholtzii,species,abylopsis eschscholtzii,abylopsis,genus
abyssochrysos brasilianus,phylum,mollusca,animalia,kingdom
abyssochrysos brasilianus,class,gastropoda,mollusca,phylum
abyssochrysos brasilianus,order,[unassigned] caenogastropoda,gastropoda,class
abyssochrysos brasilianus,family,abyssochrysidae,[unassigned] caenogastropoda,order
abyssochrysos brasilianus,genus,abyssochrysos,abyssochrysidae,family
abyssochrysos brasilianus,species,abyssochrysos brasilianus,abyssochrysos,genus
abyssorchomene plebs,phylum,arthropoda,animalia,kingdom
abyssorchomene plebs,class,malacostraca,arthropoda,phylum
abyssorchomene plebs,order,amphipoda,malacostraca,class
