am_sciname,valid_name,aphia_id
abietinaria turgida,abietinaria turgida,157609
abralia andamanica,abralia (heterabralia) andamanica,878666
abralia astrosticta,abralia (astrabralia) astrosticta,878661
abralia heminuchalis,abralia (heterabralia) heminuchalis,878668
abralia redfieldi,abralia (pygmabralia) redfieldi,878674
abralia veranyi,abralia (asteroteuthis) veranyi,878660
abraliopsis atlantica,abraliopsis (pfefferiteuthis) atlantica,878697
abraliopsis felis,abraliopsis (boreabraliopsis) felis,878691
abraliopsis hoylei,abraliopsis (abraliopsis) hoylei,878682
abraliopsis morisii,abraliopsis (abraliopsis) morisii,878692
abraliopsis pfefferi,abraliopsis (abraliopsis) morisii,878692
abrina sibogai,abra sibogai,345684
abylopsis eschscholtzi,abylopsis eschscholtzii,196656
abyssochrysos brasilianus,abyssochrysos brasilianus,590705
abyssorchomene plebs,pseudorchomene plebs,597786
abyssorchomene rossi,pseudorchomene rossi,597787
abyssotherma pacifica,abyssotherma pacifica,556253
acalyptophis peronii,hydrophis peronii,1377407
acanella eburnea,acanella arbuscula,125371
acanthaspidia acanthonotus,iolanthe acanthonotus,294617
acanthaspidia bifurcata,iolanthe bifurcata,1307118
acanthaspidia drygalskii,iolanthe drygalskii,1308010
acanthastrea bowerbanki,homophyllia bowerbanki,886931
acanthastrea faviaformis,dipsastraea faviaformis,888171
acanthastrea hillae,homophyllia bowerbanki,886931
chlamys bruei,karnekampia sulcata,393810
chlamys coruscans,pascahinnites coruscans,207824
chlamys cristularis,mimachlamys sanguinea,393737
chlamys farreri,azumapecten farreri,393321
chlamys gloriosa,mimachlamys gloriosa,393739
chlamys irregularis,laevichlamys cuneata,393107
chlamys jousseaumi,veprichlamys jousseaumei,394825
chlamys lentiginosa,mimachlamys punctata,1255194
chlamys madreporara,coralichlamys madreporarum,391040
chlamys nobilis,mimachlamys crassicostata,393729
chlamys pseudislandica,chlamys behringiana,391825
chlamys septemradiatus,pseudamussium peslutrae,140717
chlamys squamata,scaeochlamys squamata,393331
chlorodesmis fastigiata,chlorodesmis fastigiata,211746
chlorodesmis hildebrandtii,chlorodesmis hildebrandtii,211743
chlorodiella longimana,ratha longimanus,881760
chondria dasyphylla,chondria dasyphylla,144799
chondria polyrhiza,chondria polyrhiza,144803
chlamys acroporicola,no match,NA
chlamys delicatula,no match,NA
chlamys lowei,no match,NA
chlamys mollita,no match,NA
chlamys porphyra,no match,NA
chlamys psara,no match,NA
chlamys tigerina,no match,NA
acropora variabilis,acropora valida,207072
acropora vermiculata,acropora sarmentosa,288244
acrosterigma reeveanum,vasticardium vertebratum,381378
acrosterigma subrugosum,vasticardium subrugosum,1307001
acrosterigma unicolor,acrosterigma simplex,345693
acteocina bidentata,cylichnella bidentata,420538
acteon antarcticus,acteon antarcticus,197018
acteon biplicatus,acteon biplicatus,1348841
acteon biplicatus,acteon gabbana,1348838
acteon biplicatus,toledonia biplicata,1416970
acteon candens,acteon candens,420509
acteon danaida,acteon danaida,420510
acteon delicatus,acteon delicatus,420511
acteon incisus,acteon incisus,420512
acteon melampoides,acteon melampoides,159968
acteon pelecais,acteon pelecais,532352
acteon perforatus,acteon perforatus,420513
acteon retusus,acteon retusus,531493
