phylum,class,order,family,genus,species
chordata,actinopterygii,salmoniformes,salmonidae,oncorhynchus,oncorhynchus masou
chordata,actinopterygii,siluriformes,ariidae,ariopsis,ariopsis felis
chordata,actinopterygii,syngnathiformes,syngnathidae,microphis,microphis brachyurus
chordata,actinopterygii,beloniformes,belonidae,strongylura,strongylura notata
chordata,actinopterygii,perciformes,apogonidae,paroncheilus,paroncheilus affinis
chordata,elasmobranchii,myliobatiformes,dasyatidae,taeniurops,taeniurops meyeni
chordata,actinopterygii,tetraodontiformes,monacanthidae,arotrolepis,arotrolepis filicauda
chordata,actinopterygii,scorpaeniformes,liparidae,edentoliparis,edentoliparis terraenovae
chordata,actinopterygii,beloniformes,hemiramphidae,hyporhamphus,hyporhamphus roberti
chordata,actinopterygii,perciformes,sillaginidae,sillaginopodys,sillaginopodys chondropus
chordata,actinopterygii,beloniformes,hemiramphidae,oxyporhamphus,oxyporhamphus micropterus
chordata,actinopterygii,perciformes,odacidae,heteroscarus,heteroscarus acroptilus
chordata,actinopterygii,perciformes,odacidae,olisthops,olisthops cyanomelas
chordata,actinopterygii,siluriformes,ariidae,ariopsis,ariopsis guatemalensis
chordata,actinopterygii,perciformes,apogonidae,quinca,quinca mirifica
chordata,elasmobranchii,rajiformes,rajidae,spiniraja,spiniraja whitleyi
chordata,elasmobranchii,rajiformes,anacanthobatidae,springeria,springeria folirostris
chordata,elasmobranchii,rajiformes,anacanthobatidae,springeria,springeria longirostris
chordata,actinopterygii,notacanthiformes,notacanthidae,leptocephalus,leptocephalus giganteus
chordata,actinopterygii,perciformes,labridae,novaculops,novaculops halsteadi
chordata,actinopterygii,gadiformes,merlucciidae,merluccius,merluccius gayi
chordata,actinopterygii,scorpaeniformes,scorpaenidae,thysanichthys,thysanichthys crossotus
chordata,actinopterygii,syngnathiformes,syngnathidae,hippocampus,hippocampus montebelloensis
chordata,actinopterygii,anguilliformes,ophichthidae,leptocephalus,leptocephalus ophichthoides
chordata,actinopterygii,perciformes,labridae,novaculops,novaculops koteamea
chordata,actinopterygii,perciformes,labridae,novaculops,novaculops pastellus
mollusca,gastropoda,neogastropoda,muricidae,marchia,no match
mollusca,gastropoda,neogastropoda,muricidae,habromorula,no match
annelida,polychaeta,aciculata,myzostomidae,myzostoma,myzostoma willemoesii
annelida,polychaeta,aciculata,myzostomidae,myzostoma,myzostoma attenuatum
annelida,polychaeta,aciculata,myzostomidae,myzostoma,myzostoma divisor
mollusca,gastropoda,heterostropha,architectonicidae,heliacus,heliacus fenestratus
mollusca,gastropoda,heterostropha,pyramidellidae,pyramidella,longchaeus maculosus
mollusca,gastropoda,heterostropha,pyramidellidae,otopleura,otopleura mitralis
arthropoda,malacostraca,stomatopoda,nannosquillidae,acanthosquilla,no match
arthropoda,maxillopoda,sessilia,chthamalidae,chamaesipho,chamaesipho columna
arthropoda,maxillopoda,sessilia,balanidae,balanus,fistulobalanus albicostatus
arthropoda,maxillopoda,sessilia,balanidae,megabalanus,megabalanus ajax
arthropoda,maxillopoda,sessilia,pyrgomatidae,cantellius,cantellius septimus
arthropoda,maxillopoda,sessilia,pyrgomatidae,savignium,savignium crenatum
arthropoda,maxillopoda,sessilia,pyrgomatidae,trevathana,trevathana dentata
arthropoda,maxillopoda,sessilia,pyrgomatidae,neotrevathana,neotrevathana elongata
arthropoda,maxillopoda,sessilia,balanidae,austromegabalanus,austromegabalanus psittacus
arthropoda,maxillopoda,sessilia,balanidae,austromegabalanus,austromegabalanus nigrescens
arthropoda,maxillopoda,sessilia,archaeobalanidae,armatobalanus,armatobalanus quadrivittatus
arthropoda,maxillopoda,sessilia,chthamalidae,notochthamalus,notochthamalus scabrosus
mollusca,bivalvia,pholadomyoida,pandoridae,pandora,pandora albida
mollusca,bivalvia,pholadomyoida,cuspidariidae,cuspidaria,cuspidaria concentrica
mollusca,bivalvia,pholadomyoida,cuspidariidae,cuspidaria,cuspidaria infelix
mollusca,bivalvia,pholadomyoida,cuspidariidae,cuspidaria,cuspidaria tenella
mollusca,bivalvia,veneroida,cyamiidae,cyamiocardium,cyamiocardium crassilabrum
mollusca,bivalvia,veneroida,gaimardiidae,gaimardia,gaimardia trapesina
mollusca,bivalvia,pholadomyoida,lyonsiidae,lyonsia,lyonsia arcaeformis
mollusca,bivalvia,pholadomyoida,thraciidae,thracia,thracia meridionalis
arthropoda,maxillopoda,pedunculata,scalpellidae,ornatoscalpellum,weltnerium gibberum
