orig_sciname,valid_name,aphia_id
abantennarius analis,antennatus analis,712499
abraliopsis morisi,abraliopsis (abraliopsis) morisii,878692
abudefduf luridus,similiparma lurida,889885
acanthastrea bowerbanki,homophyllia bowerbanki,886931
acanthastrea faviaformis,dipsastraea faviaformis,888171
acanthastrea hillae,homophyllia bowerbanki,886931
acanthastrea ishigakiensis,lobophyllia ishigakiensis,888146
acanthastrea lordhowensis,micromussa lordhowensis,886929
acanthastrea maxima,sclerophyllia maxima,834701
acanthastrea regularis,micromussa regularis,888165
acanthostracion guineensis,acanthostracion guineense,238343
acanthus ebracteatus,acanthus ebracteatus,344739
acanthus ilicifolius,acanthus ilicifolius,344740
acanthus volubilis,acanthus volubilis,344741
acentrogobius signatus,amoya signata,311258
acentronura australe,idiotropiscis australe,314681
acentronura dendritica,amphelikturus dendriticus,316266
acentronura larsonae,idiotropiscis larsonae,398438
achiroides melanorhijnchus,achiroides melanorhynchus,279489
acropora akajimensis,acropora donei,288198
acropora bifurcata,acropora hyacinthus,207044
acropora convexa,acropora millepora,207023
acropora copiosa,acropora muricata,207007
acentrogobius veliensis,no match,NA
acentronura lumnitzeri,no match,NA
phyllospadix japonicus,phyllospadix japonicus,374706
phyllospadix scouleri,phyllospadix scouleri,374707
phyllospadix serrulatus,phyllospadix serrulatus,374708
phyllospadix torreyi,phyllospadix torreyi,374709
platichthys bicoloratus,platichthys bicoloratus,305689
platygyra carnosus,platygyra carnosa,763555
plectorhinchus griseus,plectorhinchus schotaf,218551
plectranthias chungchowensis,plectranthias whiteheadi,279030
pleonosporium complanatum,pleonosporium complanatum,376447
plesiastrea devantieri,astrea devantieri,762422
pleuronichthys guttulatus,hypsopsetta guttulata,281128
pleuronichthys lighti,pleuronichthys cornutus,282291
pocillopora danae,pocillopora verrucosa,206954
pocillopora effusus,pocillopora effusa,763797
pocillopora eydouxi,pocillopora grandis,206952
pocillopora setichelli,pocillopora brevicornis,206951
poecilia butleri,poecilia butleri,1019678
polymesoda bengalensis,geloina bengalensis,987269
ponapella pihapiha,ponapella pihapiha,405079
porites baueri,porites lobata,207225
porites bernardi,porites gabonensis,288903
porites bernardi,NA,NA
porites duerdeni,porites duerdeni,411269
plectropomus marisrubri,no match,NA
pogonias courbina,no match,NA
poikilocarbo gaimardi,no match,NA
amphiroa galapagensis,amphiroa galapagensis,375526
anacropora matthai,anacropora matthaii,289240
anampses viridis,anampses caeruleopunctatus,218920
ancistrocheirus lesueuri,ancistrocheirus lesueurii,138747
ancistroteuthis lichtensteini,ancistroteuthis lichtensteinii,140647
angiola lineata,hinea lineata,759678
anguilla borneensis,anguilla borneensis,299349
anthias regalis,pseudanthias regalis,277476
antipodarctus aoteanus,crenarctus crenatus,382948
antithamnion veleroae,antithamnionella ternifolia,163275
aonyx cinereus,aonyx cinerea,404124
apagesoma delosommatus,apagesoma delosommatum,279638
apogon amboinensis,fibramia amboinensis,1043448
apogon compressus,ostorhinchus compressus,712653
apogon fleurieu,ostorhinchus fleurieu,319878
apogon margaritophorus,ostorhinchus margaritophorus,712671
apogon neotes,ostorhinchus neotes,712677
apogon notatus,ostorhinchus notatus,1023017
apogon rubrimacula,ostorhinchus rubrimacula,319884
apogon sealei,ostorhinchus sealei,712687
apogon semilineatus,ostorhinchus semilineatus,1022235
apogon wassinki,ostorhinchus wassinki,712693
archaeolithothamnion crosslandii,archaeolithothamnion crosslandii,404074
anous albivittus,no match,NA
anous ceruleus,no match,NA
porites ericacea,NA,NA
porites excavata,porites lobata,207225
porites excavata,NA,NA
porites latistella,porites latistellata,869070
porites sillimaniana,porites silimaniana,1507831
porites studeri,porites studeri,411273
porites tuberculosa,montipora tuberculosa,207156
porites tuberculosa,porites tuberculosus,760032
poritipora paliformis,goniopora paliformis,764226
poropanchax scheeli,poropanchax scheeli,1524441
posidonia angustifolia,posidonia angustifolia,374711
posidonia australis,posidonia australis,374712
posidonia coriacea,posidonia ostenfeldii,374713
posidonia denhartogii,posidonia denhartogii,374729
posidonia kirkmanii,posidonia kirkmanii,374730
posidonia oceanica,posidonia oceanica,145794
posidonia ostenfeldii,posidonia ostenfeldii,374713
posidonia sinuosa,posidonia sinuosa,374714
prionitis galapagensis,prionitis galapagensis,376411
prionitis hancockii,prionitis hancockii,376410
protosalanx chinensis,protosalanx chinensis,1419287
protosalanx chinensis,salanx chinensis,315539
provanna clathrata,provanna clathrata,874722
provanna cooki,provanna cooki,1383319
provanna fenestrata,provanna fenestrata,1363658
provanna lucida,provanna lucida,874721
provanna subglabra,provanna subglabra,874719
psammocora decussata,psammocora contigua,207267
psammocora explanulata,cycloseris explanulata,716292
psammocora haimeana,psammocora haimiana,718603
psammocora interstinctus,NA,NA
psammocora obtusangula,psammocora contigua,207267
psammocora ramosa,psammocora contigua,207267
psammocora ramosa,NA,NA
psammocora superficialis,psammocora profundacella,207271
psammocora vaughani,psammocora nierstraszi,207261
psammocora verrilli,psammocora nierstraszi,207261
psephurus gladius,psephurus gladius,1021135
pseudobagarius similis,pseudobagarius similis,1010542
pseudocaranx cheilio,pseudocaranx dentex,126812
pseudogobius melanosticta,pseudogobius melanostictus,282427
pseudogramma thaumasium,pseudogramma thaumasia,398485
pseudolabrus mortonii,pseudolabrus rubicundus,282440
pseudolaingia hancockii,paraglossum hancockii,840172
pseudomugil paludicola,pseudomugil paludicola,1383752
pseudophallus starksii,pseudophallus starksii,1026989
pseudophichthys macroporis,bathycongrus macroporis,1495518
pseudoscopelus albeolus,pseudoscopelus australis,398596
pseudoscopelus odontoglossum,pseudoscopelus odontoglossus,712798
pseudosiderastrea tayami,pseudosiderastrea tayamai,207272
pseudostichopus aemaulatus,pseudostichopus aemulatus,389029
pseudostichopus occulatatus,pseudostichopus occultatus,124587
psilotris amblyrhynchus,carrigobius amblyrhynchus,1043601
pseudaesopia callizona,no match,NA
psilotris batrachodes,cryptopsilotris batrachodes,1043472
psilotris celsus,psilotris celsa,712877
pterosiphonia paucicorticata,pterosiphonia paucicorticata,404156
pterothrissus belloci,nemoossis belloci,1043474
puffinus newelli,puffinus auricularis,343985
pugetia latiloba,pugetia latiloba,404158
pungitius tymensis,pungitius tymensis,1019714
quadrasiella clathrata,quadrasiella clathrata,405081
quadrasiella mucronata,quadrasiella mucronata,405083
quietula y-cauda,quietula y-cauda,282537
ranella olearia,ranella olearium,141115
ranella parthenopaeum,monoplex parthenopeus,476531
rehderiella parva,rehderiella parva,1325561
rhizoclonium robustum,rhizoclonium robustum,404159
rhizophora apiculata,rhizophora apiculata,235093
rhizophora mangle,rhizophora mangle,235094
rhizophora mangle,rhizophora racemosa,235096
rhizophora mucronata,rhizophora mucronata,235095
rhizophora racemosa,rhizophora racemosa,235096
pterodroma gouldi,no match,NA
puccinellia iberica,no match,NA
puffinus bailloni,no match,NA
puffinus bannermani,no match,NA
puffinus bryani,no match,NA
puffinus myrtae,no match,NA
puffinus subalaris,no match,NA
rhizophora samoensis,rhizophora samoensis,235097
rhizophora stylosa,rhizophora stylosa,235098
rhodymenia decumbens,rhodymenia decumbens,374130
roa modestus,roa modesta,475052
robsonella fontanianus,robsonella fontaniana,342384
roeboides dientonito,roeboides dientonito,1525139
ruppia cirrhosa,ruppia cirrhosa,416218
ruppia maritima,ruppia maritima,234031
ruppia megacarpa,ruppia megacarpa,495093
salinator solida,phallomedusa solida,549365
salmo coruhensis,salmo coruhensis,834890
sardinella dayi,sardinella jussieu,272272
sargassum albemarlense,sargassum albemarlense,375500
sargassum galapagense,sargassum galapagense,495137
sargassum setifolium,sargassum setifolium,404138
sargassum templetonii,sargassum templetonii,495138
rhonciscus crocro,no match,NA
rostroraja ackleyi,no match,NA
rostroraja bahamensis,no match,NA
rostroraja cervigoni,no match,NA
rostroraja equatorialis,no match,NA
rostroraja texana,no match,NA
rostroraja velezi,no match,NA
ruppia filifolia,no match,NA
sarcocornia mossambicensis,no match,NA
sargocentron suborbitalis,sargocentron suborbitale,1021098
saurida grandisquamis,saurida undosquamis,126371
saurida parri,saurida brasiliensis,158756
scaergus patagiatus,scaeurgus patagiatus,342054
scaergus unicirrhus,scaeurgus unicirrhus,140607
scaevatula amancicoi,scaevatula amancioi,434880
scaphula pinna,scaphula pinna,504462
scapophyllia cylindrica,merulina cylindrica,1465792
scarus pyrrostethus,scarus ghobban,219127
schismatogobius bruynisi,schismatogobius bruynisi,1017548
schismatogobius marmoratus,schismatogobius marmoratus,1421144
schizymenia ecuadoreana,schizymenia ecuadoreana,372966
scolymia australis,homophyllia australis,550314
scolymia vitiensis,lobophyllia vitiensis,888126
scolymia wellsi,scolymia wellsii,287854
scymnodon plunketi,centroscymnus plunketi,299090
scyphiphora hydrophylacea,scyphiphora hydrophyllacea,235104
sebastes paucispinus,sebastes paucispinis,274833
sebdenia rubra,sebdenia rubra,376417
sepia appellofi,sepia appelloefi,438905
sepia bartletti,NA,NA
sepia baxteri,NA,NA
sepia ramani,sepia pharaonis,181376
saundersilarus saundersi,no match,NA
sebastapistes pascuensis,no match,NA
sepiadarium kochi,sepiadarium kochii,342391
sepietta petersi,sepietta oweniana,141452
sepiola aurantiaca,adinaefiola aurantiaca,1437788
sepiola birostrata,lusepiola birostrata,1437797
sepiola knudseni,boletzkyola knudseni,1437791
sepiola ligulata,adinaefiola ligulata,1437787
sepiola parva,eumandya parva,1437794
sepiola pfefferi,adinaefiola pfefferi,1437789
sepiola rondeleti,sepiola rondeletii,141459
sepiola trirostrata,lusepiola trirostrata,1437798
septaria borbonica,septaria porcellana borbonica,1478147
seriatopora dendritica,seriatopora dentritica,288066
seriatopora guttatus,seriatopora guttata,763800
seriola aureovittata,seriola lalandi,218436
seriola dorsalis,seriola lalandi,218436
sermyla riqueti,sermyla riquetii,757054
serranus dewegeri,paralabrax dewegeri,282055
sicydium brevifile,sicydium brevifile,1019857
sicydium plumieri,sicydium plumieri,282779
sicydium punctatum,sicydium punctatum,282780
sicyopterus cynocephalus,sicyopterus cynocephalus,1022565
sicyopterus longifilis,sicyopterus longifilis,1017537
sicyopterus microcephalus,sicyopterus microcephalus,1016381
sicyopterus ouwensi,sicyopterus ouwensi,1017356
sicyopterus parvei,sicyopterus parvei,1460876
sicyopus discordipinnis,sicyopus discordipinnis,1010820
sicyopus multisquamatus,sicyopus multisquamatus,1017508
siderastrea glynni,siderastrea siderea,207516
silhouettea nuchipunctatus,silhouettea nuchipunctata,273475
sirembo amaculata,sirembo imberbis,282810
smilosicyopus leprurus,smilosicyopus leprurus,712901
solea triophthalma,pegusa triophthalma,274308
sonneratia alba,sonneratia alba,235107
sonneratia apetala,sonneratia apetala,235108
sonneratia caseolaris,sonneratia caseolaris,235109
sonneratia griffithii,sonneratia griffithii,235110
sonneratia griffithii,sonneratia alba,235107
sonneratia lanceolata,sonneratia lanceolata,235305
sonneratia ovata,sonneratia ovata,235111
spartina alterniflora,spartina alterniflora,234072
spatoglossum ecuadoreanum,spatoglossum ecuadoreanum,375486
spatoglossum schmittii,spatoglossum schmittii,375487
speculator cariosus,speculator cariosus,458591
spergularia marina,spergularia salina,395048
sporochnus rostratus,sporochnus rostratus,375492
spratelloides atrofasciatus,spratelloides gracilis,212263
squalus acutipinnis,squalus megalops,105925
starksia y-lineata,starksia y-lineata,276389
stegostoma tigrinum,stegostoma fasciatum,220032
soleichthys multifasciatus,no match,NA
soleichthys nigrostriolatus,no match,NA
stenogobius keletaona,stenogobius keletaona,1008839
stenogobius lachneri,stenogobius lachneri,1011267
stenogobius laterisquamatus,stenogobius laterisquamatus,1018353
stenogobius psilosinionus,stenogobius psilosinionus,1011216
stenogobius watsoni,stenogobius watsoni,1384322
stephanolepis auratus,stephanolepis aurata,220077
stichopus mollis,australostichopus mollis,529443
stichopus paradoxus,stichopus paradoxus,242059
stiphodon carisa,stiphodon carisa,1008535
stiphodon maculidorsalis,stiphodon maculidorsalis,835073
stiphodon ornatus,stiphodon ornatus,1012910
stiphodon rutilaureus,stiphodon rutilaureus,1010748
stiphodon semoni,stiphodon semoni,1019316
stiphodon zebrinus,stiphodon zebrinus,1010440
stolephorus bataviensis,stolephorus waitei,212282
stolephorus baweanensis,stolephorus insularis,212284
stolephorus bengalensis,stolephorus baganensis,275318
stonogobiops xanthorhinica,stonogobiops xanthorhinicus,279109
stylocoeniella muscosus,NA,NA
suriana maritima,suriana maritima,418703
symphodus melanocercus,centrolabrus melanocercus,1022907
symphurus civitatium,symphurus civitatum,305637
stenothyra perdives,no match,NA
stolephorus oceanicus,no match,NA
stomias pacificus,no match,NA
symphurus holothuriae,symphurus microrhynchus,219861
symphurus septemstriata,symphurus septemstriatus,274274
symphyllia agaricia,lobophyllia agaricia,888135
symphyllia erythraea,lobophyllia erythraea,888142
symphyllia hassi,lobophyllia hassi,888143
symphyllia radians,lobophyllia radians,888141
symphyllia recta,lobophyllia recta,888140
symphyllia valenciennesii,lobophyllia valenciennesii,888145
symphyllia wilsoni,australophyllia wilsoni,886935
synagrops microlepis,kaperangus microlepis,1486838
synagrops spinosus,parascombrops spinosus,1486846
synagrops trispinosus,caraibops trispinosus,1486847
synallactes angustus,bathyplotes angustus,848290
synallactes crebrapapilla,bathyplotes crebrapapilla,848291
