fe_code,n_spp,mob,trp,len,wcol
MOBmob_TRPter_LENlg_WCOLben,3677,mob,ter,lg,ben
MOBmob_TRPter_LENmed_WCOLben,2243,mob,ter,med,ben
MOBses_TRPpri_LENmed_WCOLrf,1975,ses,pri,med,rf
MOBses_TRPpri_LENsm_WCOLrf,1676,ses,pri,sm,rf
MOBmob_TRPter_LENlg_WCOLrf,1662,mob,ter,lg,rf
MOBmob_TRPsec_LENmed_WCOLben,1552,mob,sec,med,ben
MOBsed_TRPter_LENmed_WCOLben,1445,sed,ter,med,ben
MOBmob_TRPter_LENmed_WCOLrf,1323,mob,ter,med,rf
MOBsed_TRPter_LENsm_WCOLben,1297,sed,ter,sm,ben
MOBses_TRPpri_LENlg_WCOLrf,1272,ses,pri,lg,rf
MOBses_TRPpri_LENmed_WCOLben,1042,ses,pri,med,ben
MOBses_TRPpri_LENsm_WCOLben,984,ses,pri,sm,ben
MOBmob_TRPsec_LENsm_WCOLrf,923,mob,sec,sm,rf
MOBsed_TRPter_LENvsm_WCOLben,919,sed,ter,vsm,ben
MOBses_TRPter_LENsm_WCOLben,862,ses,ter,sm,ben
MOBmob_TRPsec_LENlg_WCOLben,850,mob,sec,lg,ben
MOBmob_TRPsec_LENsm_WCOLben,847,mob,sec,sm,ben
MOBses_TRPter_LENvsm_WCOLben,844,ses,ter,vsm,ben
MOBmob_TRPsec_LENvsm_WCOLben,804,mob,sec,vsm,ben
MOBmob_TRPter_LENsm_WCOLben,744,mob,ter,sm,ben
MOBmob_TRPter_LENmed_WCOLpel,742,mob,ter,med,pel
MOBmob_TRPter_LENvsm_WCOLben,687,mob,ter,vsm,ben
MOBmob_TRPter_LENlg_WCOLpel,665,mob,ter,lg,pel
MOBses_TRPpri_LENmed_WCOLbp,648,ses,pri,med,bp
MOBsed_TRPsec_LENsm_WCOLben,640,sed,sec,sm,ben
MOBmig_TRPter_LENlg_WCOLben,637,mig,ter,lg,ben
MOBsed_TRPter_LENmed_WCOLrf,620,sed,ter,med,rf
MOBsed_TRPter_LENlg_WCOLben,614,sed,ter,lg,ben
MOBsed_TRPter_LENsm_WCOLrf,593,sed,ter,sm,rf
MOBmob_TRPapex_LENlg_WCOLben,578,mob,apex,lg,ben
MOBmob_TRPter_LENlg_WCOLbp,577,mob,ter,lg,bp
MOBmob_TRPpri_LENvsm_WCOLben,544,mob,pri,vsm,ben
MOBsed_TRPsec_LENsm_WCOLrf,533,sed,sec,sm,rf
MOBmig_TRPter_LENmed_WCOLben,467,mig,ter,med,ben
MOBsed_TRPsec_LENmed_WCOLben,463,sed,sec,med,ben
MOBmob_TRPsec_LENmed_WCOLrf,446,mob,sec,med,rf
MOBsed_TRPpri_LENsm_WCOLben,417,sed,pri,sm,ben
MOBses_TRPter_LENmed_WCOLben,406,ses,ter,med,ben
MOBmob_TRPapex_LENvsm_WCOLben,362,mob,apex,vsm,ben
MOBmob_TRPter_LENsm_WCOLrf,347,mob,ter,sm,rf
MOBses_TRPpri_LENlg_WCOLben,325,ses,pri,lg,ben
MOBmob_TRPsec_LENlg_WCOLrf,309,mob,sec,lg,rf
MOBmig_TRPter_LENsm_WCOLben,308,mig,ter,sm,ben
MOBmob_TRPter_LENmed_WCOLbp,301,mob,ter,med,bp
MOBmob_TRPsec_LENsm_WCOLbp,288,mob,sec,sm,bp
MOBmig_TRPsec_LENvsm_WCOLben,276,mig,sec,vsm,ben
MOBmob_TRPapex_LENlg_WCOLpel,262,mob,apex,lg,pel
MOBmig_TRPapex_LENvsm_WCOLben,258,mig,apex,vsm,ben
MOBmig_TRPter_LENlg_WCOLpel,254,mig,ter,lg,pel
MOBmig_TRPapex_LENlg_WCOLbp,254,mig,apex,lg,bp
MOBmig_TRPsec_LENsm_WCOLben,254,mig,sec,sm,ben
MOBses_TRPpri_LENvsm_WCOLrf,246,ses,pri,vsm,rf
MOBses_TRPpri_LENvlg_WCOLrf,240,ses,pri,vlg,rf
MOBmig_TRPter_LENlg_WCOLbp,224,mig,ter,lg,bp
MOBsed_TRPsec_LENmed_WCOLrf,223,sed,sec,med,rf
MOBses_TRPsec_LENlg_WCOLrf,215,ses,sec,lg,rf
MOBmob_TRPapex_LENlg_WCOLrf,213,mob,apex,lg,rf
MOBsed_TRPsec_LENvsm_WCOLben,213,sed,sec,vsm,ben
MOBmob_TRPter_LENsm_WCOLpel,211,mob,ter,sm,pel
MOBmig_TRPapex_LENlg_WCOLben,208,mig,apex,lg,ben
MOBsed_TRPpri_LENmed_WCOLben,203,sed,pri,med,ben
MOBmob_TRPpri_LENsm_WCOLben,197,mob,pri,sm,ben
MOBsed_TRPter_LENlg_WCOLrf,187,sed,ter,lg,rf
MOBmob_TRPter_LENvsm_WCOLpel,179,mob,ter,vsm,pel
MOBmob_TRPpri_LENmed_WCOLben,178,mob,pri,med,ben
MOBmob_TRPsec_LENvsm_WCOLrf,178,mob,sec,vsm,rf
MOBmob_TRPter_LENvlg_WCOLben,172,mob,ter,vlg,ben
MOBmig_TRPter_LENlg_WCOLrf,167,mig,ter,lg,rf
MOBmig_TRPapex_LENlg_WCOLpel,167,mig,apex,lg,pel
MOBses_TRPsec_LENmed_WCOLbp,165,ses,sec,med,bp
MOBmob_TRPsec_LENmed_WCOLbp,159,mob,sec,med,bp
MOBmob_TRPpri_LENsm_WCOLrf,147,mob,pri,sm,rf
MOBmob_TRPapex_LENlg_WCOLbp,144,mob,apex,lg,bp
MOBmob_TRPpri_LENlg_WCOLrf,143,mob,pri,lg,rf
MOBsed_TRPter_LENlg_WCOLbp,141,sed,ter,lg,bp
MOBmob_TRPter_LENsm_WCOLbp,141,mob,ter,sm,bp
MOBmig_TRPsec_LENmed_WCOLben,137,mig,sec,med,ben
MOBsed_TRPter_LENvsm_WCOLpel,136,sed,ter,vsm,pel
MOBmob_TRPapex_LENmed_WCOLpel,135,mob,apex,med,pel
MOBsed_TRPter_LENsm_WCOLpel,128,sed,ter,sm,pel
MOBmig_TRPapex_LENlg_WCOLrf,128,mig,apex,lg,rf
MOBmob_TRPapex_LENvlg_WCOLben,127,mob,apex,vlg,ben
MOBmob_TRPapex_LENmed_WCOLben,125,mob,apex,med,ben
MOBmob_TRPsec_LENvsm_WCOLpel,115,mob,sec,vsm,pel
MOBmob_TRPpri_LENlg_WCOLben,114,mob,pri,lg,ben
MOBmob_TRPsec_LENmed_WCOLpel,109,mob,sec,med,pel
MOBmob_TRPapex_LENvlg_WCOLpel,109,mob,apex,vlg,pel
MOBsed_TRPter_LENmed_WCOLpel,103,sed,ter,med,pel
MOBsed_TRPter_LENsm_WCOLbp,103,sed,ter,sm,bp
MOBses_TRPpri_LENvsm_WCOLben,102,ses,pri,vsm,ben
MOBmob_TRPapex_LENsm_WCOLben,101,mob,apex,sm,ben
MOBmig_TRPter_LENmed_WCOLpel,100,mig,ter,med,pel
MOBmig_TRPsec_LENlg_WCOLben,99,mig,sec,lg,ben
MOBsed_TRPpri_LENvsm_WCOLben,98,sed,pri,vsm,ben
MOBmig_TRPpri_LENsm_WCOLben,91,mig,pri,sm,ben
MOBmob_TRPter_LENvsm_WCOLrf,89,mob,ter,vsm,rf
MOBmob_TRPsec_LENsm_WCOLpel,89,mob,sec,sm,pel
MOBmob_TRPsec_LENlg_WCOLpel,86,mob,sec,lg,pel
MOBsed_TRPter_LENmed_WCOLbp,82,sed,ter,med,bp
MOBsed_TRPpri_LENmed_WCOLrf,82,sed,pri,med,rf
MOBsed_TRPter_LENlg_WCOLpel,77,sed,ter,lg,pel
MOBmob_TRPsec_LENlg_WCOLbp,73,mob,sec,lg,bp
MOBmob_TRPapex_LENvsm_WCOLrf,73,mob,apex,vsm,rf
MOBsed_TRPapex_LENsm_WCOLben,72,sed,apex,sm,ben
MOBmig_TRPter_LENvsm_WCOLben,69,mig,ter,vsm,ben
MOBses_TRPsec_LENmed_WCOLben,69,ses,sec,med,ben
MOBsed_TRPter_LENvsm_WCOLbp,67,sed,ter,vsm,bp
MOBses_TRPpri_LENvlg_WCOLben,66,ses,pri,vlg,ben
MOBmig_TRPapex_LENvlg_WCOLpel,65,mig,apex,vlg,pel
MOBsed_TRPapex_LENlg_WCOLben,65,sed,apex,lg,ben
MOBses_TRPsec_LENmed_WCOLrf,62,ses,sec,med,rf
MOBsed_TRPapex_LENvsm_WCOLben,59,sed,apex,vsm,ben
MOBsed_TRPsec_LENlg_WCOLben,57,sed,sec,lg,ben
MOBmig_TRPpri_LENvsm_WCOLben,57,mig,pri,vsm,ben
MOBmig_TRPapex_LENvlg_WCOLben,55,mig,apex,vlg,ben
MOBsed_TRPapex_LENmed_WCOLben,54,sed,apex,med,ben
MOBmig_TRPter_LENvsm_WCOLpel,53,mig,ter,vsm,pel
MOBmob_TRPter_LENvlg_WCOLrf,52,mob,ter,vlg,rf
MOBmig_TRPter_LENmed_WCOLbp,51,mig,ter,med,bp
MOBsed_TRPter_LENvsm_WCOLrf,51,sed,ter,vsm,rf
MOBmob_TRPpri_LENmed_WCOLrf,51,mob,pri,med,rf
MOBsed_TRPapex_LENmed_WCOLpel,50,sed,apex,med,pel
MOBmob_TRPter_LENvlg_WCOLpel,49,mob,ter,vlg,pel
MOBmig_TRPapex_LENvlg_WCOLbp,49,mig,apex,vlg,bp
MOBmob_TRPpri_LENvsm_WCOLpel,47,mob,pri,vsm,pel
MOBmig_TRPapex_LENvlg_WCOLrf,46,mig,apex,vlg,rf
MOBmig_TRPsec_LENlg_WCOLpel,45,mig,sec,lg,pel
MOBmob_TRPsec_LENvsm_WCOLbp,45,mob,sec,vsm,bp
MOBmob_TRPapex_LENvlg_WCOLbp,44,mob,apex,vlg,bp
MOBmob_TRPter_LENvlg_WCOLbp,43,mob,ter,vlg,bp
MOBmig_TRPter_LENsm_WCOLpel,42,mig,ter,sm,pel
MOBmig_TRPter_LENmed_WCOLrf,40,mig,ter,med,rf
MOBmig_TRPsec_LENvsm_WCOLrf,38,mig,sec,vsm,rf
MOBmig_TRPter_LENvlg_WCOLben,37,mig,ter,vlg,ben
MOBmob_TRPpri_LENsm_WCOLbp,37,mob,pri,sm,bp
MOBmig_TRPpri_LENmed_WCOLben,36,mig,pri,med,ben
MOBmig_TRPsec_LENsm_WCOLrf,36,mig,sec,sm,rf
MOBmob_TRPapex_LENvlg_WCOLrf,35,mob,apex,vlg,rf
MOBsed_TRPpri_LENsm_WCOLrf,34,sed,pri,sm,rf
MOBses_TRPsec_LENsm_WCOLben,33,ses,sec,sm,ben
MOBsed_TRPapex_LENlg_WCOLrf,33,sed,apex,lg,rf
MOBmob_TRPpri_LENvsm_WCOLrf,32,mob,pri,vsm,rf
MOBmig_TRPter_LENsm_WCOLrf,31,mig,ter,sm,rf
MOBsed_TRPpri_LENlg_WCOLben,30,sed,pri,lg,ben
MOBmob_TRPapex_LENmed_WCOLrf,29,mob,apex,med,rf
MOBses_TRPsec_LENsm_WCOLrf,27,ses,sec,sm,rf
MOBsed_TRPapex_LENsm_WCOLpel,27,sed,apex,sm,pel
MOBsed_TRPapex_LENlg_WCOLpel,25,sed,apex,lg,pel
MOBses_TRPter_LENlg_WCOLben,24,ses,ter,lg,ben
MOBmob_TRPapex_LENmed_WCOLbp,24,mob,apex,med,bp
MOBsed_TRPsec_LENvsm_WCOLrf,23,sed,sec,vsm,rf
