species,fe_code,n_spp,fe_id
acanthephyra cucullata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
acanthocyclus albatrossis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
acantholithodes hispidus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
acidops fimbriatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeodes consobrinus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeodes hirsutissimus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeodes mutatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeodes quinquelobatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeodes semoni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeodes tomentosus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
actaeomorpha alvae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aegaeon boschii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aegaeon cataphractus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aegaeon lacazei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aegaeon orientalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aegaeon rathbuni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aethra edentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aethra scruposa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aethra scutata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aethra seychellensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
allodardanus bredini,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alloteuthis media,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alloteuthis subulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
altelatipes brevirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
altelatipes carinatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
altelatipes falkenhaugae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris alexander,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris brevitelsonis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris chelys,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris costaricensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris dissimilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris kexueae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris komaii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris longirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris lusca,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris marimonte,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris markensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris methanophila,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris muricola,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris niwa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris solitaire,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris stactophila,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
alvinocaris williamsi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amarinus pristes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ambidexter panamensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ambidexter swifti,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ambidexter symmetricus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax aculeatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax armatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax bellii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax besnardi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax braziliensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax caboverdianus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax clarionensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax hemphilli,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax pilosus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
amphithrax tuberculatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aniculus erythraeus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aniculus hopperae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
