species,fe_code,n_spp,fe_id
acanthephyra cucullata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
acanthocyclus albatrossis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
acantholithodes hispidus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
acidops fimbriatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeodes consobrinus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeodes hirsutissimus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeodes mutatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeodes quinquelobatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeodes semoni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeodes tomentosus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
actaeomorpha alvae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aegaeon boschii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aegaeon cataphractus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aegaeon lacazei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aegaeon orientalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aegaeon rathbuni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aethra edentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aethra scruposa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aethra scutata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aethra seychellensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
allodardanus bredini,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
