kingdom,phylum,class,order,family,spp_gp,species,subpops
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,lobsters,1,0
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,marinefish,8,0
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Clupeiformes,Pristigasteridae,marinefish,1,0
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,marinefish,1,0
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,marinefish,26,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,marinefish,7,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae,marinefish,7,0
Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,marinefish,27,0
Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,marinefish,25,0
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,marinefish,9,0
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,marinefish,4,0
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,marinefish,6,0
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,marinefish,25,0
Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,marinefish,8,0
Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,marinefish,15,0
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,marinefish,12,0
Animalia,Chordata,Aves,Anseriformes,Anatidae,bli_marine_v2020,7,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,bli_marine_v2020,9,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,bli_marine_v2020,17,0
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,bli_marine_v2020,21,0
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,bli_marine_v2020,10,0
Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,bli_marine_v2020,2,0
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,bli_marine_v2020,53,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,bli_marine_v2020,12,0
Animalia,Chordata,Aves,Suliformes,Fregatidae,bli_marine_v2020,2,0
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,bli_marine_v2020,13,0
Animalia,Chordata,Aves,Suliformes,Sulidae,bli_marine_v2020,2,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,marinefish,49,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Hemigaleidae,marinefish,7,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Leptochariidae,marinefish,1,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,marinefish,15,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Proscylliidae,marinefish,2,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,marinefish,11,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,marinefish,8,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,marinefish,25,0
Animalia,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,marinefish,1,0
Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,marinefish,5,0
Animalia,Chordata,Chondrichthyes,Chimaeriformes,Rhinochimaeridae,marinefish,2,0
Animalia,Chordata,Chondrichthyes,Hexanchiformes,Hexanchidae,marinefish,4,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Alopiidae,marinefish,3,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,marinefish,1,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,marinefish,4,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,marinefish,2,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Aetobatidae,marinefish,5,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,marinefish,61,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Gymnuridae,marinefish,9,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,marinefish,9,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,marinefish,14,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Potamotrygonidae,marinefish,2,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Rhinopteridae,marinefish,6,0
