spp_gp,kingdom,phylum,class,order,species,subpops
bli_marine_v2020,Animalia,Chordata,Aves,Anseriformes,7,NA
bli_marine_v2020,Animalia,Chordata,Aves,Charadriiformes,26,NA
bli_marine_v2020,Animalia,Chordata,Aves,Gaviiformes,1,NA
bli_marine_v2020,Animalia,Chordata,Aves,Pelecaniformes,1,NA
bli_marine_v2020,Animalia,Chordata,Aves,Podicipediformes,1,NA
bli_marine_v2020,Animalia,Chordata,Aves,Procellariiformes,86,NA
bli_marine_v2020,Animalia,Chordata,Aves,Sphenisciformes,12,NA
bli_marine_v2020,Animalia,Chordata,Aves,Suliformes,17,NA
conus,Animalia,Mollusca,Gastropoda,NA,67,NA
crocodiles_alligators,Animalia,Chordata,Reptilia,Crocodylia,1,NA
lobsters,Animalia,Arthropoda,Malacostraca,NA,1,NA
mammals_marine_and_terrestrial,Animalia,Chordata,Mammalia,Carnivora,13,1
mammals_marine_only,Animalia,Chordata,Mammalia,Cetartiodactyla,38,13
mammals_marine_only,Animalia,Chordata,Mammalia,Sirenia,2,1
mangroves,Plantae,Tracheophyta,Liliopsida,NA,1,NA
mangroves,Plantae,Tracheophyta,Magnoliopsida,NA,15,NA
marinefish,Animalia,Chordata,Actinopterygii,Clupeiformes,12,NA
marinefish,Animalia,Chordata,Actinopterygii,Perciformes,154,NA
marinefish,Animalia,Chordata,Actinopterygii,Syngnathiformes,15,NA
marinefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,12,NA
marinefish,Animalia,Chordata,Chondrichthyes,NA,507,8
marinefish,Animalia,Chordata,Myxini,NA,11,NA
reef_forming_corals,Animalia,Cnidaria,Anthozoa,NA,401,NA
reef_forming_corals,Animalia,Cnidaria,Hydrozoa,NA,6,NA
scaled_reptiles,Animalia,Chordata,Reptilia,Squamata,6,NA
seagrasses,Plantae,Tracheophyta,Liliopsida,NA,15,NA
turtles,Animalia,Chordata,Reptilia,Testudines,6,12
