am_sid,chi,a_km2
Fis-22720,NA,NA
Fis-22721,NA,NA
Fis-22722,NA,NA
Fis-29302,NA,NA
Fis-29344,0.29168692934445856,7706866.383061831
Fis-3399,0.36240991515938314,1688969.5133420678
Fis-22723,0.28524429288613773,6930537.058517229
Fis-22726,0.395984650588399,3798550.1671441337
Fis-22729,0.32659876533428445,19487099.816394605
Fis-22732,0.39801594720652816,2032417.7079659952
Fis-22711,0.3858806485349616,38727365.68310473
Fis-22712,0.28550167825693856,3919074.28467302
Fis-22731,0.28442925092220783,2091870.0437835318
Fis-29304,0.2629598943095715,2737567.207556087
Fis-22741,0.2785542704032596,1874334.0822644006
Fis-29372,0.1701060280383717,1890529.1767836956
Fis-22215,0.2006524251271511,257474952.0015313
Fis-29358,0.20222095109209268,277331780.756399
Fis-53544,0.17192877915909452,15863104.46925302
Fis-22703,0.502907837750547,2747403.9574137223
