cell_id,impact,iucn_sid,stressor
900247,0.03862943066981004,10030,biomass_removal
1068766,0.03157878071432513,10030,biomass_removal
1096847,0.01622625351272378,10030,biomass_removal
900247,0.01613480695469861,10030,oa
1068766,0.014340322196029417,10030,oa
1096847,0.014219208844310747,10030,oa
3119672,0.10825402830231105,10060,oa
3375979,0.08269212464782347,10060,oa
3119672,0.07525538483937502,10060,uv
3375979,0,10060,uv
3119672,0.09571798347425542,10060,water_temp
3375979,0.09099764866436899,10060,water_temp
900247,0.13434944129857684,10069,oa
1068766,0.11940733350497783,10069,oa
1096847,0.11839886087912699,10069,oa
2644637,0.051638366741465054,10069,oa
900247,0.13805677677654843,10069,uv
1068766,0,10069,uv
1096847,0,10069,uv
2644637,0.06388913587684933,10069,uv
900247,0.07011091758331867,10069,water_temp
1068766,0.017385038526092304,10069,water_temp
1096847,0.03063592697276941,10069,water_temp
2644637,0.10133302567079108,10069,water_temp
2421179,0.00167190230039794,10070,eutrophication_nutrient_pollution
1273512,0.12918332773250532,10070,oa
1729761,0.05143685727045931,10070,oa
2421179,0.08959121603603136,10070,oa
3119672,0.10825402830231105,10070,oa
3375979,0.08269212464782347,10070,oa
3425334,0,10070,oa
2421179,9.383210928239763e-5,10070,organic_pollution
1273512,0.005103033522542222,10070,uv
1729761,0.07504896504217276,10070,uv
3119672,0.07525538483937502,10070,uv
3375979,0,10070,uv
3425334,0,10070,uv
1273512,0.0852283433318602,10070,water_temp
1729761,0.05443815683888592,10070,water_temp
2421179,0.07607232868214686,10070,water_temp
3119672,0.09571798347425542,10070,water_temp
3375979,0.09099764866436899,10070,water_temp
3425334,0.020192561432244252,10070,water_temp
2421179,0.00167190230039794,10087,eutrophication_nutrient_pollution
1273512,0.12918332773250532,10087,oa
1729761,0.05143685727045931,10087,oa
2421179,0.08959121603603136,10087,oa
3119672,0.10825402830231105,10087,oa
3375979,0.08269212464782347,10087,oa
3425334,0,10087,oa
3460415,0,10087,oa
3516557,0,10087,oa
3664010,0,10087,oa
3671050,0,10087,oa
2421179,9.383210928239763e-5,10087,organic_pollution
1273512,0.005103033522542222,10087,uv
1729761,0.07504896504217276,10087,uv
3119672,0.07525538483937502,10087,uv
3375979,0,10087,uv
3425334,0,10087,uv
3460415,0,10087,uv
3516557,0,10087,uv
3664010,0,10087,uv
3671050,0,10087,uv
1273512,0.0852283433318602,10087,water_temp
1729761,0.05443815683888592,10087,water_temp
2421179,0.07607232868214686,10087,water_temp
3119672,0.09571798347425542,10087,water_temp
3375979,0.09099764866436899,10087,water_temp
3425334,0.020192561432244252,10087,water_temp
3460415,0.016521186297675457,10087,water_temp
3516557,0.021442062461173292,10087,water_temp
3664010,0.002298465675928001,10087,water_temp
3671050,2.930929301994073e-4,10087,water_temp
3375979,0.08382,101730467,oa
3375979,0,101730467,uv
3375979,0.09218,101730467,water_temp
2644637,0.07338,104050689,biomass_removal
