cell_id,chi,n_strs,iucn_sid,rank
900247,0.054764237624508647,2,10030,high
1068766,0.045919102910354545,2,10030,high
1096847,0.030445462357034526,2,10030,high
3119672,0.2792273966159415,3,10060,high
3375979,0.17368977331219246,3,10060,high
900247,0.34251713565844394,3,10069,high
1068766,0.13679237203107014,3,10069,high
1096847,0.1490347878518964,3,10069,high
2644637,0.21686052828910546,3,10069,high
1273512,0.21951470458690775,3,10070,high
1729761,0.18092397915151798,3,10070,high
2421179,0.16742927912785857,4,10070,high
3119672,0.2792273966159415,3,10070,high
3375979,0.17368977331219246,3,10070,high
3425334,0.020192561432244252,3,10070,low
1273512,0.21951470458690775,3,10087,high
1729761,0.18092397915151798,3,10087,high
2421179,0.16742927912785857,4,10087,high
3119672,0.2792273966159415,3,10087,high
3375979,0.17368977331219246,3,10087,high
3425334,0.020192561432244252,3,10087,low
3460415,0.016521186297675457,3,10087,low
3516557,0.021442062461173292,3,10087,low
3664010,0.002298465675928001,3,10087,low
3671050,2.930929301994073e-4,3,10087,low
3375979,0.176,3,101730467,high
2644637,0.12513,3,104050689,high
2813296,0.15385000000000001,5,104050689,high
2421179,0.24581,5,104061138,high
3119672,0.06829,3,104061138,high
3375979,0.07400999999999999,3,104061138,high
3425334,0.026459999999999997,3,104061138,low
3460415,0.02054,3,104061138,low
3516557,0.00988,3,104061138,low
3664010,0.0023,3,104061138,low
3671050,4.2999999999999994e-4,3,104061138,low
4703132,0.03585,4,104062546,low
900247,0.07597683016813954,1,10707,high
1068766,0.06210952679466448,1,10707,high
1096847,0.031913991120891,1,10707,high
4703132,9.575264013641077e-6,1,10708,low
2421179,0.16742,4,107259870,high
3119672,0.27923,3,107259870,high
3375979,0.17369,3,107259870,high
3425334,0.02019,3,107259870,low
3460415,0.01652,3,107259870,low
3516557,0.02144,3,107259870,low
3664010,0.0023,3,107259870,low
3671050,2.9e-4,3,107259870,low
3516557,0.02144,3,107261083,low
3664010,0.0023,3,107261083,low
3671050,2.9e-4,3,107261083,low
3375979,0.17369,3,107261198,high
3425334,0.02019,3,107261198,low
3460415,0.01652,3,107261198,low
900247,0.09020445332639548,2,11047,high
1068766,0.06749459236213669,2,11047,high
1096847,0.03807578943662778,2,11047,high
1273512,0.11930916775349087,2,11047,high
1729761,0.23332929624210866,2,11047,high
2421179,0.3861939683474921,4,11047,high
2644637,0.1544027964916428,2,11047,high
2813296,0.2483068789887249,4,11047,high
2875691,0.006035032960598417,2,11047,low
3033504,0.0015225069704864808,2,11047,low
3119672,0.03706786541854698,2,11047,high
3375979,0.05734733849200637,2,11047,high
3380525,0.001042385024285211,2,11047,low
