taxon,species,repres
corals,diploastrea heliopora,species
crustacea_arthropods,bythograea thermydron,family
crustacea_arthropods,mictyris platycheles,family
crustacea_arthropods,nymphon australe,family
crustacea_arthropods,palaemon elegans,genus
crustacea_arthropods,paralithodes camtschaticus,family
crustacea_arthropods,scylla serrata,family
crustacea_arthropods,trapezia flavopunctata,family
echinoderms,actinopyga echinites,order
echinoderms,amphiodia occidentalis,order
echinoderms,amphipholis squamata,order
echinoderms,anneissia japonica,order
echinoderms,antedon mediterranea,order
echinoderms,aporometra wilsoni,order
echinoderms,apostichopus californicus,order
echinoderms,apostichopus japonicus,order
echinoderms,aquilonastra burtoni,order
echinoderms,arachnoides placenta,order
echinoderms,asterias rubens,order
echinoderms,asterina gibbosa,order
echinoderms,asterina phylactica,order
echinoderms,asterina stellifera,order
echinoderms,australostichopus mollis,order
echinoderms,breviturma brevipes,order
echinoderms,breviturma dentata,order
echinoderms,breviturma doederleini,order
echinoderms,breviturma longispina,order
echinoderms,breviturma pica,order
echinoderms,breviturma pusilla,order
echinoderms,brisaster latifrons,order
echinoderms,centrostephanus rodgersii,order
echinoderms,cryptasterina hystera,order
echinoderms,cryptasterina pacifica,order
echinoderms,cryptasterina pentagona,order
echinoderms,cucumaria frondosa,order
echinoderms,cucumaria miniata,order
echinoderms,cucumaria piperata,order
echinoderms,cucumaria pseudocurata,order
echinoderms,dendraster excentricus,order
echinoderms,diadema antillarum,order
echinoderms,diadema savignyi,order
echinoderms,diadema setosum,order
echinoderms,echinocardium cordatum,order
echinoderms,eupentacta quinquesemita,order
echinoderms,evechinus chloroticus,order
echinoderms,florometra serratissima,order
echinoderms,gorgonocephalus eucnemis,order
echinoderms,heliocidaris crassispina,order
echinoderms,heliocidaris erythrogramma,order
echinoderms,heliocidaris tuberculata,order
echinoderms,holopneustes purpurascens,order
echinoderms,holothuria (halodeima) atra,order
echinoderms,holothuria (metriatyla) scabra,order
echinoderms,holothuria (panningothuria) forskali,order
echinoderms,leptopentacta elongata,order
echinoderms,leptosynapta clarki,order
echinoderms,loxechinus albus,order
echinoderms,meridiastra atyphoida,order
echinoderms,meridiastra calcar,order
echinoderms,meridiastra gunnii,order
echinoderms,meridiastra mortenseni,order
echinoderms,meridiastra occidens,order
echinoderms,meridiastra oriens,order
echinoderms,mesocentrotus franciscanus,order
echinoderms,molpadia intermedia,order
echinoderms,odontaster validus,order
echinoderms,ophiocoma aethiops,order
echinoderms,ophiocoma echinata,order
echinoderms,ophiocoma erinaceus,order
echinoderms,ophiocoma scolopendrina,order
echinoderms,ophiocomella alexandri,order
echinoderms,ophiocomella ophiactoides,order
echinoderms,ophiocomella pumila,order
echinoderms,ophiomastix annulosa,order
echinoderms,ophiomastix caryophyllata,order
echinoderms,ophiomastix elegans,order
echinoderms,ophiomastix endeani,order
echinoderms,ophiomastix janualis,order
echinoderms,ophiomastix macroplaca,order
echinoderms,ophiomastix marshallensis,order
echinoderms,ophiomastix mixta,order
echinoderms,ophiomastix occidentalis,order
echinoderms,ophiomastix pictum,order
echinoderms,ophiomastix venosa,order
echinoderms,ophiomastix wendtii,order
echinoderms,ophiopholis aculeata,order
echinoderms,ophiura sarsii,order
echinoderms,parvulastra exigua,order
echinoderms,parvulastra parvivipara,order
echinoderms,parvulastra vivipara,order
echinoderms,patiria chilensis,order
echinoderms,patiria miniata,order
echinoderms,patiria pectinifera,order
echinoderms,patiriella regularis,order
echinoderms,pentamera populifera,order
echinoderms,pisaster ochraceus,order
echinoderms,psammechinus miliaris,order
echinoderms,pseudocnus lubricus,order
echinoderms,psolidium bullatum,order
echinoderms,psolus chitonoides,order
echinoderms,pycnopodia helianthoides,order
echinoderms,strongylocentrotus droebachiensis,order
echinoderms,strongylocentrotus fragilis,order
echinoderms,strongylocentrotus pallidus,order
echinoderms,strongylocentrotus purpuratus,order
echinoderms,tripneustes gratilla,order
echinoderms,tripneustes kermadecensis,order
molluscs,acesta excavata,Genus
molluscs,adamussium colbecki,Species
molluscs,aeolidia papillosa,Species
molluscs,anadara trapezia,Species
molluscs,aplysia californica,Species
molluscs,aplysia vaccaria,Species
molluscs,argopecten irradians,Species
molluscs,austrocochlea porcata,Genus
molluscs,bankia setacea,Species
molluscs,cadlina luteomarginata,Species
molluscs,calliostoma ligatum,Species
molluscs,cellana tramoserica,Species
molluscs,cerastoderma edule,Species
molluscs,crassostrea virginica,Species
molluscs,haliotis coccoradiata,Species
molluscs,haliotis kamtschatkana,Species
molluscs,haliotis rubra,Species
molluscs,lottia scutum,Species
molluscs,lunella undulata,Species
molluscs,magallana gigas,Species
molluscs,magallana hongkongensis,Species
