taxon,species,repres
fish,acanthochromis polyacanthus,species
fish,acanthurus dussumieri,species
fish,acromycter perturbator,order
fish,alcichthys elongatus,order
fish,alectis ciliaris,family
fish,alepes vari,family
fish,amphichthys cryptocentrus,order
fish,amphiprion akindynos,species
fish,ancylopsetta cycloidea,order
fish,ancylopsetta kumperae,order
fish,anguilla australis,order
fish,antipodocottus galatheae,order
fish,apogon indicus,family
fish,apogonichthys ocellatus,family
fish,apterichtus kendalli,order
fish,ariosoma selenops,order
fish,arnoglossus brunneus,order
fish,arnoglossus imperialis,order
fish,arnoglossus rueppelii,order
fish,artediellichthys nigripinnis,order
fish,artedielloides auriculatus,order
fish,asarcenchelys longimanus,order
fish,austroglossus microlepis,order
fish,balistoides viridescens,species
fish,bassozetus robustus,order
fish,bathycongrus retrotinctus,order
fish,bathycongrus vicinalis,order
fish,bathypterois grallator,species
fish,bathyuroconger vicinus,order
fish,batrachoides surinamensis,order
fish,benthocometes robustus,order
fish,benthosema pterotum,family
fish,bhanotia nuda,order
fish,bothus mancus,order
fish,brachionichthys hirsutus,species
fish,brachirus harmandi,order
fish,brachirus sorsogonensis,order
fish,brachypleura novaezeelandiae,order
fish,brachysomophis longipinnis,order
fish,bryx veleronis,order
fish,buglossidium luteum,order
fish,calamopteryx jeb,order
fish,callechelys bitaeniata,order
fish,caranx crysos,family
fish,caranx sexfasciatus,family
fish,carapus bermudensis,order
fish,careproctus cactiformis,order
fish,careproctus herwigi,order
fish,careproctus mederi,order
fish,careproctus minimus,order
fish,careproctus pallidus,order
fish,centropogon latifrons,order
fish,cephalopholis cyanostigma,species
fish,cetoscarus bicolor,species
fish,chaetodon auriga,species
fish,chaetodon triangulum,species
fish,chaetodon trifascialis,species
fish,champsocephalus gunnari,species
fish,chanos chanos,species
fish,chascanopsetta crumenalis,order
fish,cheilodipterus singapurensis,family
fish,chelidonichthys kumu,order
fish,chlopsis kazuko,order
fish,cirripectes alleni,family
fish,cirripectes filamentosus,family
fish,citharichthys gymnorhinus,order
fish,citharichthys mariajorisae,order
fish,clinocottus globiceps,order
fish,clupea harengus,species
fish,cociella punctata,order
fish,cocotropus roseus,order
fish,coloconger japonicus,order
fish,conger verreauxi,order
fish,congiopodus torvus,order
fish,congriscus maldivensis,order
fish,coryphaena hippurus,species
fish,corythoichthys amplexus,order
fish,cosmocampus elucens,order
fish,crossosalarias macrospilus,family
fish,cynoglossus maccullochi,order
fish,dactyloptena gilberti,order
fish,daector dowi,order
fish,decapterus russelli,family
fish,derichthys serpentinus,order
fish,dermatopsoides talboti,order
fish,diancistrus novaeguineae,order
fish,diaphus diadematus,family
fish,diaphus holti,family
fish,diaphus rafinesquii,family
fish,dicologlossa cuneata,order
fish,dicrolene hubrechti,order
fish,dicrolene multifilis,order
fish,dicrolene nigra,order
fish,dissostichus eleginoides,species
fish,doryrhamphus janssi,order
fish,ebinania brephocephala,order
fish,ecsenius trilineatus,family
fish,encheliophis gracilis,order
fish,enchelycore schismatorhynchus,order
fish,engraulis ringens,species
fish,enophrys taurina,order
fish,entomacrodus macrospilus,family
fish,entomacrodus stellifer,family
fish,eopsetta jordani,order
fish,epinephelus itajara,species
fish,epinephelus lanceolatus,species
fish,eptatretus cirrhatus,family
fish,eptatretus mendozai,family
fish,erisphex pottii,order
fish,ethadophis akkistikos,order
fish,ethadophis merenda,order
fish,etropus rimosus,order
fish,eumicrotremus barbatus,order
fish,eviota sigillata,species
fish,exocoetus volitans,species
fish,facciolella karreri,order
fish,foa madagascariensis,family
fish,forsterygion varium,species
fish,gadus morhua,species
fish,galaxias brevipinnis,species
fish,gobiodon citrinus,species
fish,gobiodon histrio,species
fish,gorgasia maculata,order
fish,grammonus robustus,order
fish,gymnapogon melanogaster,family
fish,gymnothorax javanicus,order
fish,hephthocara simum,order
fish,heteroconger klausewitzi,order
fish,heteroconger taylori,order
fish,hippichthys spicifer,order
fish,hippocampus abdominalis,order
fish,hippocampus ingens,order
fish,hippocampus sindonis,order
fish,hippoglossina stomata,order
fish,hippoglossus stenolepis,order
fish,hoplostethus atlanticus,species
fish,hoplunnis schmidti,order
fish,hygophum proximum,family
fish,hypleurochilus bananensis,family
fish,hypsoblennius striatus,family
fish,icelinus filamentosus,order
fish,inimicus caledonicus,order
fish,katsuwonus pelamis,species
fish,kaupichthys brachychirus,order
fish,krefftichthys anderssoni,family
fish,laeops cypho,order
fish,laeops guentheri,order
fish,laeops kitaharae,order
fish,lampadena pontifex,family
fish,lampanyctus jordani,family
fish,lepidotrigla kishinouyi,order
fish,lepidotrigla omanensis,order
fish,lepidotrigla venusta,order
