orig_sciname,valid_name,aphia_id,taxonkey,taxon_name,common_name,descript,tax_level,worms_name,comments
clupeoids,clupeoides,268802,100035,Clupeoids,Herrings sardines anchovies,pelagic <30 cm,1,clupeidae,genus match fixed to family match
scombroids,scomberoides,204103,100036,Scombroids,Tunas bonitos billfishes,pelagic >=90 cm,1,scombridae,genus match fixed to family match
scombroids,scombrops,205444,100036,Scombroids,Tunas bonitos billfishes,pelagic >=90 cm,1,,incorrect match; drop
crustacea,crustacea,1066,290022,Crustacea,Crustaceans,lobsters crab,2,decapoda,replace crustacea with decapoda
teuthida,teuthida,11716,390002,Teuthida,Squids,cephalopods,3,myopsida;oegopsida,teuthida is nomen dubium and contains Myopsida + Oegopsida
inermiidae,haemulinae,714648,400479,Inermiidae,Bonnetmouths,pelagic <30 cm,4,haemulidae,swap haemulinae (subfamily) with haemulidae
brachyura,brachyura,106673,490097,Brachyura,Marine crabs,lobsters crab,4,decapoda,brachyura is infraorder so assign to order decapoda
aspitrigla cuculus,chelidonichthys cuculus,127259,600044,Aspitrigla cuculus,East Atlantic red gurnard,demersal 30 - 90 cm,6,chelidonichthys cuculus,
rhinobatos percellens,pseudobatos percellens,1043607,600140,Rhinobatos percellens,Chola guitarfish,rays >=90 cm,6,pseudobatos percellens,
marine animals,no match,NA,100000,Marine animals,Marine animals,demersal <30 cm,1,NA,so vague it is not worth keeping
miscellaneous diadromous,no match,NA,100025,Miscellaneous diadromous fishes,Diadromous fishes,demersal >=90 cm,1,actinopterygii,replace general marine fishes with actinopterygii - can we get more specific?
sharks rays,no match,NA,100038,Sharks rays chimaeras,Sharks rays skates etc,rays <90 cm,1,elasmobranchii,replace sharks-rays-skates with elasmobranchii
sharks rays,no match,NA,100338,Sharks rays chimaeras,Cartilaginous fishes,rays <90 cm,1,elasmobranchii,replace sharks-rays-skates with elasmobranchii
sharks rays,no match,NA,100538,Sharks rays chimaeras,Various sharks,rays <90 cm,1,elasmobranchii,replace sharks-rays-skates with elasmobranchii
marine fishes,no match,NA,100039,Marine fishes not identified,Marine fishes,demersal <30 cm,1,actinopterygii,replace general marine fishes with actinopterygii
marine fishes,no match,NA,100139,Marine fishes not identified,Finfishes,demersal <30 cm,1,actinopterygii,replace general marine fishes with actinopterygii
marine fishes,no match,NA,100339,Marine fishes not identified,Pelagic fishes,demersal <30 cm,1,actinopterygii,replace general marine fishes with actinopterygii
homaridae,no match,NA,100043,Homaridae/Palinuridae,Lobsters spiny-rock lobsters,lobsters crab,1,palinuridae,palinuridae already covered
king crabs,no match,NA,100044,King crabs squat-lobsters,Craylets squat lobsters,lobsters crab,1,decapoda,replace with decapoda
miscellaneous marine,no match,NA,100047,Miscellaneous marine crustaceans,Marine crustaceans,lobsters crab,1,decapoda,replace with decapoda
miscellaneous marine,no match,NA,100058,Miscellaneous marine molluscs,Marine molluscs,demersal mollusc,1,mollusca,fill with generic mollusca
clams cockles,no match,NA,100056,Clams cockles arkshells,Clams cockles arkshells,demersal mollusc,1,bivalvia,fill with bivalvia
starfish and,no match,NA,100176,Starfish and other echinoderms,Starfishes,demersal mollusc,1,asteroidea,swap with Asteroidea
