taxonkey,taxon_name,common_name,descript,tax_level,worms_name
100025,Miscellaneous diadromous fishes,Diadromous fishes,demersal >=90 cm,1,actinopterygii
100035,Clupeoids,Herrings sardines anchovies,pelagic <30 cm,1,clupeidae
100036,Scombroids,Tunas bonitos billfishes,pelagic >=90 cm,1,scombridae
100038,Sharks rays chimaeras,Sharks rays skates etc,rays <90 cm,1,elasmobranchii
100039,Marine fishes not identified,Marine fishes,demersal <30 cm,1,actinopterygii
100043,Homaridae/Palinuridae,Lobsters spiny-rock lobsters,lobsters crab,1,palinuridae
100044,King crabs squat-lobsters,Craylets squat lobsters,lobsters crab,1,decapoda
100047,Miscellaneous marine crustaceans,Marine crustaceans,lobsters crab,1,decapoda
100056,Clams cockles arkshells,Clams cockles arkshells,demersal mollusc,1,bivalvia
100058,Miscellaneous marine molluscs,Marine molluscs,demersal mollusc,1,mollusca
100139,Marine fishes not identified,Finfishes,demersal <30 cm,1,actinopterygii
100176,Starfish and other echinoderms,Starfishes,demersal mollusc,1,asteroidea
100276,Sea-urchins and other echinoderms,Sea urchins,demersal mollusc,1,echinoidea
100338,Sharks rays chimaeras,Cartilaginous fishes,rays <90 cm,1,elasmobranchii
100339,Marine fishes not identified,Pelagic fishes,demersal <30 cm,1,actinopterygii
100345,Shrimps prawns,Natantian decapods,shrimp,1,decapoda
100538,Sharks rays chimaeras,Various sharks,rays <90 cm,1,elasmobranchii
200003,Holocephali,Chimaeras ratfish rabbitfish,rays >=90 cm,2,holocephali
200004,Elasmobranchii,Sharks and rays,rays <90 cm,2,elasmobranchii
290002,Cephalopoda,Cephalopods,cephalopods,2,cephalopoda
290004,Bivalvia,Clams,demersal mollusc,2,bivalvia
290005,Ascidiacea,Sea squirts,demersal mollusc,2,ascidiacea
290006,Gastropoda,Gastropods,demersal mollusc,2,gastropoda
290010,Asteroidea,Sea stars,demersal mollusc,2,asteroidea
290011,Echinoidea,Sea urchins,demersal mollusc,2,echinoidea
290012,Holothuroidea,Sea cucumbers,demersal mollusc,2,holothuroidea
290022,Crustacea,Crustaceans,lobsters crab,2,decapoda
300003,Chimaeriformes,Chimaeras,rays >=90 cm,3,chimaeriformes
300007,Lamniformes,Mackerel sharks,shark >=90 cm,3,lamniformes
300008,Carcharhiniformes,Ground sharks,shark <90 cm,3,carcharhiniformes
300009,Squaliformes,Bramble sleeper dogfish sharks,shark <90 cm,3,squaliformes
300014,Rajiformes,Skates and rays,rays <90 cm,3,rajiformes
300026,Anguilliformes,Eels and morays,demersal 30 - 90 cm,3,anguilliformes
300028,Clupeiformes,Herrings,pelagic <30 cm,3,clupeiformes
300044,Gadiformes,Cods,benthopelagic 30 - 90 cm,3,gadiformes
300059,Scorpaeniformes,Scorpionfishes and flatheads,demersal <30 cm,3,scorpaeniformes
300060,Perciformes,Perch-likes,demersal <30 cm,3,perciformes
300061,Pleuronectiformes,Flatfishes,flatfish <90 cm,3,pleuronectiformes
390002,Teuthida,Squids,cephalopods,3,myopsida
390002,Teuthida,Squids,cephalopods,3,oegopsida
390006,Sepiida,Cuttlefishes,cephalopods,3,sepiida
390007,Octopoda,Octopuses,cephalopods,3,octopoda
390017,Stomatopoda,Mantis shrimps,shrimp,3,stomatopoda
400002,Myxinidae,Hagfishes,bathydemersal 30 - 90 cm,4,myxinidae
400009,Lamnidae,Mackerel sharks white sharks,shark >=90 cm,4,lamnidae
400010,Scyliorhinidae,Cat sharks,shark <90 cm,4,scyliorhinidae
400011,Carcharhinidae,Requiem sharks,shark >=90 cm,4,carcharhinidae
400012,Sphyrnidae,Hammerhead bonnethead scoophead shark,shark >=90 cm,4,sphyrnidae
400013,Squalidae,Dogfish sharks,shark >=90 cm,4,squalidae
400015,Squatinidae,Angel sharks,shark >=90 cm,4,squatinidae
400016,Pristidae,Sawfishes,shark >=90 cm,4,pristidae
400017,Rhinobatidae,Guitarfishes,rays >=90 cm,4,rhinobatidae
400019,Rajidae,Skates,rays <90 cm,4,rajidae
400020,Dasyatidae,Stingrays,rays >=90 cm,4,dasyatidae
400022,Myliobatidae,Eagle and manta rays,rays >=90 cm,4,myliobatidae
400043,Clupeidae,Herrings shads sardines menhadens,pelagic <30 cm,4,clupeidae
400056,Muraenidae,Moray eels,reef-associated 30 - 90 cm,4,muraenidae
400062,Congridae,Conger and garden eels,demersal 30 - 90 cm,4,congridae
400066,Ophichthidae,Snake eels,demersal 30 - 90 cm,4,ophichthidae
400076,Salmonidae,Salmonids,benthopelagic >=90 cm,4,salmonidae
400080,Osmeridae,Smelts,pelagic <30 cm,4,osmeridae
400084,Bathylagidae,Deep-sea smelts,bathypelagic <30 cm,4,bathylagidae
400145,Ariidae,Sea catfishes,demersal 30 - 90 cm,4,ariidae
400160,Synodontidae,Lizardfishes,demersal 30 - 90 cm,4,synodontidae
400163,Chlorophthalmidae,Greeneyes,demersal <30 cm,4,chlorophthalmidae
