taxonkey,am_sid,spp
100025,fis-22975,ablennes hians
100025,fis-22735,acanthocybium solandri
100025,fis-29585,acipenser brevirostrum
100025,fis-58741,acipenser gueldenstaedtii
100025,fis-29588,acipenser medirostris
100025,fis-33633,acipenser mikadoi
100025,fis-29589,acipenser naccarii
100025,fis-29590,acipenser nudiventris
100025,fis-58742,acipenser oxyrinchus
100025,fis-32981,acipenser sinensis
100025,fis-29592,acipenser stellatus
100025,fis-29593,acipenser sturio
100025,fis-29594,acipenser transmontanus
100025,fis-50293,agrostichthys parkeri
100025,fis-27016,albatrossia pectoralis
100025,fis-22977,alectis ciliaris
100025,fis-8344,alectis indica
100025,fis-29601,alepisaurus brevirostris
100025,fis-144103,alepocephalus asperifrons
100025,fis-144104,alepocephalus blanfordii
100025,fis-134093,alepocephalus melas
100025,fis-29265,allothunnus fallai
100025,fis-29624,anarhichas denticulatus
100025,fis-29625,anarhichas lupus
100025,fis-29626,anarhichas minor
100025,fis-29627,anarhichas orientalis
100025,fis-29628,anarrhichthys ocellatus
100025,fis-29273,anguilla australis
100025,fis-12876,anguilla bengalensis
100025,fis-8951,anguilla bicolor
100025,fis-34672,anguilla celebesensis
100025,fis-34886,anguilla dieffenbachii
100025,fis-7217,anguilla labiata
100025,fis-29637,anguilla marmorata
100025,fis-35153,anguilla megastoma
100025,fis-23366,anguilla mossambica
100025,fis-34780,anguilla nebulosa
100025,fis-32394,anguilla obscura
100025,fis-32395,anguilla reinhardtii
100025,fis-148363,anotopterus nikparini
100025,fis-29641,anotopterus pharao
100025,fis-148359,anotopterus vorax
100025,fis-29275,aphanopus carbo
100025,fis-32889,aphanopus intermedius
100025,fis-32890,aphanopus microphthalmus
100025,fis-32891,aphanopus mikhailini
100025,fis-23016,argyrosomus hololepidotus
100025,fis-28290,argyrosomus japonicus
100025,fis-23017,argyrosomus regius
100025,fis-23018,argyrozona argyrozona
100025,fis-54838,aseraggodes filiger
100025,fis-24442,assurger anzac
100025,fis-149523,avocettina bowersii
100025,fis-28893,bagre pinnimaculatus
100025,fis-47719,bassanago albescens
100025,fis-28931,bathycongrus varidens
100025,fis-24466,benthodesmus elongatus
100025,fis-32896,benthodesmus pacificus
100025,fis-27051,benthodesmus simonyi
100025,fis-27057,benthodesmus tenuis
100025,fis-25689,bolbometopon muricatum
100025,fis-28668,brachysomophis cirrocheilos
100025,fis-28669,brachysomophis crocodilinus
100025,fis-145360,brachysomophis henshawi
