taxonkey,am_sid,iucn_sid,spp,source
100025,fis-22975,NA,ablennes hians,aquamaps
100025,fis-22735,170331,acanthocybium solandri,aquamaps
100025,fis-29585,NA,acipenser brevirostrum,aquamaps
100025,fis-29588,NA,acipenser medirostris,aquamaps
100025,fis-29589,NA,acipenser naccarii,aquamaps
100025,fis-58742,NA,acipenser oxyrinchus,aquamaps
100025,fis-29592,NA,acipenser stellatus,aquamaps
100025,fis-29593,NA,acipenser sturio,aquamaps
100025,fis-29594,NA,acipenser transmontanus,aquamaps
100025,fis-50293,NA,agrostichthys parkeri,aquamaps
100025,fis-27016,NA,albatrossia pectoralis,aquamaps
100025,fis-22977,NA,alectis ciliaris,aquamaps
100025,fis-8344,NA,alectis indica,aquamaps
100025,fis-29601,NA,alepisaurus brevirostris,aquamaps
100025,fis-29265,170349,allothunnus fallai,aquamaps
100025,fis-29624,NA,anarhichas denticulatus,aquamaps
100025,fis-29625,NA,anarhichas lupus,aquamaps
100025,fis-29626,NA,anarhichas minor,aquamaps
100025,fis-29627,NA,anarhichas orientalis,aquamaps
100025,fis-29628,NA,anarrhichthys ocellatus,aquamaps
100025,fis-29273,NA,anguilla australis,aquamaps
100025,fis-12876,NA,anguilla bengalensis,aquamaps
100025,fis-8951,NA,anguilla bicolor,aquamaps
100025,fis-34672,NA,anguilla celebesensis,aquamaps
100025,fis-34886,NA,anguilla dieffenbachii,aquamaps
100025,fis-29637,NA,anguilla marmorata,aquamaps
100025,fis-35153,NA,anguilla megastoma,aquamaps
100025,fis-23366,NA,anguilla mossambica,aquamaps
100025,fis-32394,NA,anguilla obscura,aquamaps
100025,fis-32395,NA,anguilla reinhardtii,aquamaps
100025,fis-148363,NA,anotopterus nikparini,aquamaps
100025,fis-29641,NA,anotopterus pharao,aquamaps
100025,fis-29275,NA,aphanopus carbo,aquamaps
100025,fis-32889,NA,aphanopus intermedius,aquamaps
100025,fis-28290,NA,argyrosomus japonicus,aquamaps
100025,fis-23017,NA,argyrosomus regius,aquamaps
100025,fis-23018,170231,argyrozona argyrozona,aquamaps
100025,fis-24442,NA,assurger anzac,aquamaps
100025,fis-149523,NA,avocettina bowersii,aquamaps
100025,fis-28893,NA,bagre pinnimaculatus,aquamaps
100025,fis-47719,NA,bassanago albescens,aquamaps
100025,fis-28931,NA,bathycongrus varidens,aquamaps
100025,fis-24466,NA,benthodesmus elongatus,aquamaps
100025,fis-32896,NA,benthodesmus pacificus,aquamaps
100025,fis-27051,NA,benthodesmus simonyi,aquamaps
100025,fis-27057,NA,benthodesmus tenuis,aquamaps
100025,fis-25689,63571,bolbometopon muricatum,aquamaps
100025,fis-28668,NA,brachysomophis cirrocheilos,aquamaps
100025,fis-28669,NA,brachysomophis crocodilinus,aquamaps
100025,fis-145360,NA,brachysomophis henshawi,aquamaps
100025,fis-22852,NA,brama brama,aquamaps
100025,fis-23041,NA,brotula barbata,aquamaps
100025,fis-121542,NA,brotula clarkae,aquamaps
100025,fis-32293,NA,brotula multibarbata,aquamaps
