group,species,db,spec_code,fecundity_min,fecundity_max,fecundity_mean,fecundity_type
fish,anguilla australis,fb,297,5000000,10000000,NA,NA
fish,anguilla dieffenbachii,fb,11878,NA,NA,NA,NA
fish,anguilla reinhardtii,fb,7512,5000000,10000000,NA,NA
fish,anguilla rostrata,fb,296,5000000,10000000,NA,NA
fish,anguilla rostrata,fb,296,1840000,19920000,NA,NA
fish,arapaima gigas,fb,2076,47000,NA,NA,NA
fish,arripis trutta,fb,5048,NA,NA,NA,NA
fish,clupea pallasii,NA,NA,NA,NA,NA,NA
fish,entosphenus tridentatus,fb,2529,10000,106000,NA,NA
fish,entosphenus tridentatus,fb,2529,98300,238400,NA,total fecundity
fish,epinephelus polyphekadion,fb,6473,NA,NA,NA,NA
fish,lampetra tridentata,NA,NA,NA,NA,NA,NA
fish,maccullochella peelii,fb,10311,NA,60000,NA,NA
fish,maccullochella peelii,fb,10311,10000,90000,NA,NA
fish,maccullochella peelii,fb,10311,6800,86600,NA,NA
fish,oncorhynchus nerka,fb,243,368,1764,NA,NA
fish,oncorhynchus nerka,fb,243,300,4300,NA,NA
fish,salmo salar,fb,236,8000,26000,NA,NA
fish,salmo salar,fb,236,NA,NA,NA,NA
fish,salmo salar,fb,236,4375,6654,NA,NA
fish,salmo salar,fb,236,6506,8768,NA,NA
fish,salmo salar,fb,236,6603,11565,NA,NA
fish,salmo salar,fb,236,11608,5995,NA,NA
fish,salmo salar,fb,236,6419,9444,NA,NA
fish,salmo salar,fb,236,7170,8246,NA,NA
fish,salmo salar,fb,236,1662,14499,NA,NA
fish,salmo salar,fb,236,8100,13400,NA,NA
fish,salmo salar,fb,236,9900,17200,NA,NA
fish,thaleichthys pacificus,fb,256,17000,40000,NA,NA
fish,thaleichthys pacificus,fb,256,17000,60000,NA,NA
fish,etrumeus teres,NA,NA,NA,NA,NA,NA
fish,opisthonema libertate,fb,1484,NA,57125,NA,NA
fish,opisthonema medirastre,fb,1485,NA,NA,NA,NA
fish,hippoglossus stenolepis,fb,514,NA,NA,2250000,total fecundity
fish,oncorhynchus tshawytscha,fb,244,NA,8500,NA,NA
fish,oncorhynchus tshawytscha,fb,244,4242,13619,NA,NA
fish,oncorhynchus kisutch,fb,245,1440,5700,NA,NA
fish,oncorhynchus kisutch,fb,245,NA,3807,NA,NA
fish,oncorhynchus gorbuscha,fb,240,800,2000,NA,NA
fish,oncorhynchus gorbuscha,fb,240,1200,1800,NA,NA
fish,oncorhynchus gorbuscha,fb,240,50,1200,NA,NA
fish,oncorhynchus gorbuscha,fb,240,1600,NA,NA,NA
fish,oncorhynchus gorbuscha,fb,240,57,75,NA,NA
mollusk,anadara tuberculosa,slb,47322,NA,NA,NA,NA
mollusk,austrovenus stutchburyi,slb,83708,NA,NA,NA,NA
mollusk,clinocardium nuttallii,slb,48544,NA,NA,NA,NA
mollusk,crassostrea virginica,slb,48095,NA,NA,NA,NA
mollusk,echyridella menziesii,NA,NA,NA,NA,NA,NA
mollusk,fasciolaria princeps,NA,NA,NA,NA,NA,NA
mollusk,haliotis iris,slb,130810,NA,NA,NA,NA
mollusk,haliotis kamtschatkana,slb,2569,NA,NA,NA,NA
mollusk,perna canaliculus,slb,83833,NA,NA,NA,NA
mollusk,strombus galeatus,NA,NA,NA,NA,NA,NA
reptile,bitis arietans,NA,NA,NA,NA,NA,NA
reptile,chelonia mydas,slb,67018,38,1397,NA,NA
reptile,chelonia mydas,slb,67018,56,152,NA,NA
reptile,dendroaspis angusticeps,NA,NA,NA,NA,NA,NA
reptile,dermochelys coriacea,slb,67021,NA,NA,NA,NA
reptile,eretmochelys imbricata,slb,67019,71,202,NA,NA
reptile,eretmochelys imbricata,slb,67019,NA,NA,NA,NA
reptile,eretmochelys imbricata,slb,67019,86,206,NA,NA
reptile,eretmochelys imbricata,slb,67019,68,168,NA,NA
reptile,eretmochelys imbricata,slb,67019,139,179,NA,NA
reptile,eretmochelys imbricata,slb,67019,81,113,NA,NA
reptile,eretmochelys imbricata,slb,67019,125,197,NA,NA
reptile,eretmochelys imbricata,slb,67019,75,120,NA,NA
reptile,eretmochelys imbricata,slb,67019,89,192,NA,NA
reptile,eretmochelys imbricata,slb,67019,59,213,NA,NA
reptile,eretmochelys imbricata,slb,67019,93,223,NA,NA
reptile,geochelone pardalis,slb,67124,NA,NA,NA,NA
reptile,lepidochelys olivacea,slb,67020,NA,NA,NA,NA
reptile,naja haje,NA,NA,NA,NA,NA,NA
reptile,sphenodon punctatus,slb,67481,NA,NA,NA,NA
