taxon,species,category,trait,trait_spp_gp,trait_value
fish,anguilla australis,biomass_removal,biomass_removal_vulnerability_trait,anguilla australis,vulnerable
fish,anguilla australis,biophysical_traits,adult_body_mass_body_size,anguilla australis,>1000mm
fish,anguilla australis,biophysical_traits,biomineral,anguilla australis,aragonite
fish,anguilla australis,biophysical_traits,calcium_carbonate_structure_location,anguilla australis,internal
fish,anguilla australis,biophysical_traits,calcium_carbonate_structure_stages,anguilla australis,both
fish,anguilla australis,biophysical_traits,communication_requirement_sound,anguilla australis,no
fish,anguilla australis,biophysical_traits,extreme_pressure_wave_sensitive_structures,anguilla australis,low
fish,anguilla australis,biophysical_traits,flight,anguilla australis,no
fish,anguilla australis,biophysical_traits,respiration_structures,anguilla australis,gills
fish,anguilla australis,breeding_nesting_range_number_of_spawning_aggregations_fish,number_of_sites,anguilla australis,one;few;many
fish,anguilla australis,breeding_nesting_range_number_of_spawning_aggregations_fish,sub_population_dependence_on_particular_sites,anguilla australis,yes
fish,anguilla australis,foraging_range,number_of_sites_incl_terrestrial_wetlands,anguilla australis,many
fish,anguilla australis,foraging_range,sub_population_dependence_on_particular_sites,anguilla australis,unknown
fish,anguilla australis,movement,adult_mobility,anguilla australis,horizontal migrator
fish,anguilla australis,movement,planktonic_larval_duration_pld_exposure,anguilla australis,>1yr
fish,anguilla australis,physiological_tolerance_breadths,dissolved_oxygen,anguilla australis,high tolerance
fish,anguilla australis,physiological_tolerance_breadths,ph,anguilla australis,<7.4
fish,anguilla australis,physiological_tolerance_breadths,thermal_sensitivity_to_heat_spikes_heat_waves,anguilla australis,no
fish,anguilla australis,physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,anguilla australis,30c
fish,anguilla australis,physiological_tolerance_breadths,thermal_tolerance_range,anguilla australis,7.5-10c
fish,anguilla australis,r_reproductive_traits,age_to_1st_reproduction_generation_time,anguilla australis,10-20yrs
fish,anguilla australis,r_reproductive_traits,are_there_sub_populations,anguilla australis,yes
fish,anguilla australis,r_reproductive_traits,can_the_sex_ratio_be_altered_by_temperature,anguilla australis,unknown
fish,anguilla australis,r_reproductive_traits,fecundity,anguilla australis,>10000
fish,anguilla australis,r_reproductive_traits,feeding_larva_post_hatching_metamorphosis,anguilla australis,feeding non-calcifier
fish,anguilla australis,r_reproductive_traits,global_population_size,anguilla australis,>1m
fish,anguilla australis,r_reproductive_traits,lifetime_reproductive_opportunities,anguilla australis,1
fish,anguilla australis,r_reproductive_traits,max_age,anguilla australis,20-100yrs
fish,anguilla australis,r_reproductive_traits,parental_investment,anguilla australis,spawner
fish,anguilla australis,r_reproductive_traits,post_birth_hatching_parental_dependence,anguilla australis,na
fish,anguilla australis,r_reproductive_traits,reproductive_strategy,anguilla australis,sexual dioecious
fish,anguilla australis,spatial_scale_of_species,depth_min_max,anguilla australis,epipelagic;mesopelagic;bathypelagic;abyssopelagic
fish,anguilla australis,spatial_scale_of_species,eoo_range,anguilla australis,>20000
fish,anguilla australis,spatial_scale_of_species,zone,anguilla australis,neritic;oceanic
fish,anguilla australis,specialisation,across_stage_dependent_habitats_condition,anguilla australis,catadromous;sw;fw
fish,anguilla australis,specialisation,air_sea_interface,anguilla australis,yes
fish,anguilla australis,specialisation,dependent_interspecific_interactions,anguilla australis,no
fish,anguilla australis,specialisation,extreme_diet_specialization,anguilla australis,generalist
fish,anguilla australis,specialisation,habitat_forming,anguilla australis,no
fish,anguilla australis,specialisation,photosynthetic,anguilla australis,no
fish,anguilla australis,specialisation,within_stage_dependent_habitats_condition,anguilla australis,catadromous;sw;fw
fish,anguilla dieffenbachii,biomass_removal,biomass_removal_vulnerability_trait,acromycter perturbator;anguilla australis;apterichtus kendalli;ariosoma selenops;asarcenchelys longimanus;bathycongrus retrotinctus;bathycongrus vicinalis;bathyuroconger vicinus;brachysomophis longipinnis;callechelys bitaeniata;chlopsis kazuko;coloconger japonicus;conger verreauxi;congriscus maldivensis;derichthys serpentinus;enchelycore schismatorhynchus;ethadophis akkistikos;ethadophis merenda;facciolella karreri;gorgasia maculata;gymnothorax javanicus;heteroconger klausewitzi;heteroconger taylori;hoplunnis schmidti;kaupichthys brachychirus;monopenchelys acuta;moringua edwardsi;nessorhamphus danae;ophichthus altipennis;ophichthus melanoporus;rhinomuraena quaesita;saurenchelys fierasfer;saurenchelys meteori;serrivomer lanceolatoides;simenchelys parasitica;skythrenchelys zabra;synaphobranchus affinis;synaphobranchus kaupii;synaphobranchus oregoni;uropterygius fuscoguttatus;uropterygius wheeleri;venefica tentaculata;xenomystax trucidans;xestochilus nebulosus,vulnerable
