name,rank,trait,trait_value,trait_prob
argentina sphyraena,species,thermal_tolerance_range,7.5-10C,1
eustomias dendriticus,species,thermal_tolerance_range,5-7.5C,1
coryphaena equiselis,species,thermal_tolerance_range,5-7.5C,1
crystallogobius linearis,species,thermal_tolerance_range,7.5-10C,1
acanthocybium solandri,species,thermal_tolerance_range,5-7.5C,1
allothunnus fallai,species,thermal_tolerance_range,>15C,1
lutjanus monostigma,species,thermal_tolerance_range,2.5-5C,1
lutjanus notatus,species,thermal_tolerance_range,2.5-5C,1
paracaesio xanthura,species,thermal_tolerance_range,5-7.5C,1
chaetodon zanzibarensis,species,thermal_tolerance_range,0-2.5C,1
lutjanus gibbus,species,thermal_tolerance_range,2.5-5C,1
anguilla japonica,species,thermal_tolerance_range,10-15C,1
selar crumenophthalmus,species,thermal_tolerance_range,5-7.5C,1
archosargus probatocephalus,species,thermal_tolerance_range,5-7.5C,1
entomacrodus marmoratus,species,thermal_tolerance_range,0-2.5C,1
macropharyngodon bipartitus,species,thermal_tolerance_range,2.5-5C,1
zoarces viviparus,species,thermal_tolerance_range,2.5-5C,1
chaetodon guttatissimus,species,thermal_tolerance_range,2.5-5C,1
heniochus diphreutes,species,thermal_tolerance_range,5-7.5C,1
lepidopus caudatus,species,thermal_tolerance_range,7.5-10C,1
centroscyllium nigrum,species,thermal_tolerance_range,10-15C,1
cirrhigaleus barbifer,species,thermal_tolerance_range,10-15C,1
zameus squamulosus,species,thermal_tolerance_range,10-15C,1
squaliolus laticaudus,species,thermal_tolerance_range,7.5-10C,1
squatina aculeata,species,thermal_tolerance_range,7.5-10C,1
odontaspis noronhai,species,thermal_tolerance_range,2.5-5C,1
apristurus longicephalus,species,thermal_tolerance_range,>15C,1
scyliorhinus canicula,species,thermal_tolerance_range,7.5-10C,1
carcharhinus albimarginatus,species,thermal_tolerance_range,2.5-5C,1
carcharhinus obscurus,species,thermal_tolerance_range,7.5-10C,1
sphyrna tiburo,species,thermal_tolerance_range,5-7.5C,1
ariopsis felis,species,thermal_tolerance_range,2.5-5C,1
lagocephalus laevigatus,species,thermal_tolerance_range,7.5-10C,1
prionotus punctatus,species,thermal_tolerance_range,10-15C,1
macrodontogobius wilburi,species,thermal_tolerance_range,2.5-5C,1
hypanus guttatus,species,thermal_tolerance_range,0-2.5C,1
acanthurus lineatus,species,thermal_tolerance_range,2.5-5C,1
acanthurus tennentii,species,thermal_tolerance_range,2.5-5C,1
petroscirtes xestus,species,thermal_tolerance_range,2.5-5C,1
odonus niger,species,thermal_tolerance_range,2.5-5C,1
beryx decadactylus,species,thermal_tolerance_range,>15C,1
bothus pantherinus,species,thermal_tolerance_range,2.5-5C,1
osmerus eperlanus,species,thermal_tolerance_range,2.5-5C,1
pegusa lascaris,species,thermal_tolerance_range,>15C,1
trachurus trachurus,species,thermal_tolerance_range,7.5-10C,1
aspidontus dussumieri,species,thermal_tolerance_range,5-7.5C,1
parenchelyurus hepburni,species,thermal_tolerance_range,2.5-5C,1
etrumeus sadina,species,thermal_tolerance_range,10-15C,1
blenniella periophthalmus,species,thermal_tolerance_range,2.5-5C,1
istiblennius edentulus,species,thermal_tolerance_range,2.5-5C,1
brevoortia smithi,species,thermal_tolerance_range,2.5-5C,1
ophisurus serpens,species,thermal_tolerance_range,10-15C,1
upeneus taeniopterus,species,thermal_tolerance_range,2.5-5C,1
lethrinus obsoletus,species,thermal_tolerance_range,2.5-5C,1
lethrinus rubrioperculatus,species,thermal_tolerance_range,2.5-5C,1
synanceia verrucosa,species,thermal_tolerance_range,2.5-5C,1
lethrinus xanthochilus,species,thermal_tolerance_range,2.5-5C,1
lethrinus atkinsoni,species,thermal_tolerance_range,2.5-5C,1
lethrinus olivaceus,species,thermal_tolerance_range,2.5-5C,1
carangoides ferdau,species,thermal_tolerance_range,5-7.5C,1
apogon coccineus,species,thermal_tolerance_range,2.5-5C,1
scomberoides lysan,species,thermal_tolerance_range,2.5-5C,1
trachinotus baillonii,species,thermal_tolerance_range,2.5-5C,1
labroides pectoralis,species,thermal_tolerance_range,2.5-5C,1
raja clavata,species,thermal_tolerance_range,10-15C,1
echeneis naucrates,species,thermal_tolerance_range,5-7.5C,1
thalassoma amblycephalum,species,thermal_tolerance_range,2.5-5C,1
stethojulis strigiventer,species,thermal_tolerance_range,2.5-5C,1
narcine brasiliensis,species,thermal_tolerance_range,5-7.5C,1
tetronarce nobiliana,species,thermal_tolerance_range,>15C,1
pseudocoris yamashiroi,species,thermal_tolerance_range,2.5-5C,1
coregonus autumnalis,species,thermal_tolerance_range,2.5-5C,1
cheilopogon hubbsi,species,thermal_tolerance_range,10-15C,1
euleptorhamphus viridis,species,thermal_tolerance_range,7.5-10C,1
fundulus confluentus,species,thermal_tolerance_range,5-7.5C,1
syngnathus louisianae,species,thermal_tolerance_range,2.5-5C,1
centropristis philadelphica,species,thermal_tolerance_range,2.5-5C,1
apogon guadalupensis,species,thermal_tolerance_range,10-15C,1
brama japonica,species,thermal_tolerance_range,10-15C,1
brama orcini,species,thermal_tolerance_range,2.5-5C,1
pseudocheilinus hexataenia,species,thermal_tolerance_range,2.5-5C,1
iniistius pavo,species,thermal_tolerance_range,5-7.5C,1
cheilinus undulatus,species,thermal_tolerance_range,2.5-5C,1
oxycheilinus digramma,species,thermal_tolerance_range,2.5-5C,1
cheilinus chlorourus,species,thermal_tolerance_range,2.5-5C,1
pseudodax moluccanus,species,thermal_tolerance_range,2.5-5C,1
microgobius gulosus,species,thermal_tolerance_range,2.5-5C,1
prionotus scitulus,species,thermal_tolerance_range,2.5-5C,1
prionotus tribulus,species,thermal_tolerance_range,2.5-5C,1
myoxocephalus quadricornis,species,thermal_tolerance_range,7.5-10C,1
ancylopsetta ommata,species,thermal_tolerance_range,2.5-5C,1
etropus crossotus,species,thermal_tolerance_range,5-7.5C,1
chaetodon punctatofasciatus,species,thermal_tolerance_range,2.5-5C,1
symphurus nebulosus,species,thermal_tolerance_range,>15C,1
chaetodon lineolatus,species,thermal_tolerance_range,2.5-5C,1
barbourisia rufa,species,thermal_tolerance_range,>15C,1
istigobius rigilius,species,thermal_tolerance_range,2.5-5C,1
stegastes gascoynei,species,thermal_tolerance_range,5-7.5C,1
stegastes limbatus,species,thermal_tolerance_range,0-2.5C,1
pseudamia gelatinosa,species,thermal_tolerance_range,2.5-5C,1
ptereleotris grammica,species,thermal_tolerance_range,2.5-5C,1
cirripectes vanderbilti,species,thermal_tolerance_range,0-2.5C,1
halimuraena shakai,species,thermal_tolerance_range,2.5-5C,1
siganus spinus,species,thermal_tolerance_range,2.5-5C,1
hexatrygon bickelli,species,thermal_tolerance_range,>15C,1
eurypharynx pelecanoides,species,thermal_tolerance_range,2.5-5C,1
argyrops filamentosus,species,thermal_tolerance_range,2.5-5C,1
raja brachyura,species,thermal_tolerance_range,7.5-10C,1
nemipterus nematophorus,species,thermal_tolerance_range,0-2.5C,1
siganus luridus,species,thermal_tolerance_range,2.5-5C,1
labroides dimidiatus,species,thermal_tolerance_range,2.5-5C,1
amphiprion melanopus,species,thermal_tolerance_range,2.5-5C,1
centropyge bicolor,species,thermal_tolerance_range,2.5-5C,1
fistularia commersonii,species,thermal_tolerance_range,5-7.5C,1
ostorhinchus nigrofasciatus,species,thermal_tolerance_range,2.5-5C,1
labrichthys unilineatus,species,thermal_tolerance_range,2.5-5C,1
labropsis micronesica,species,thermal_tolerance_range,0-2.5C,1
labropsis australis,species,thermal_tolerance_range,2.5-5C,1
anampses meleagrides,species,thermal_tolerance_range,2.5-5C,1
anampses geographicus,species,thermal_tolerance_range,5-7.5C,1
sargocentron violaceum,species,thermal_tolerance_range,2.5-5C,1
pterois antennata,species,thermal_tolerance_range,2.5-5C,1
scorpaenodes parvipinnis,species,thermal_tolerance_range,2.5-5C,1
anampses elegans,species,thermal_tolerance_range,7.5-10C,1
scorpaenopsis diabolus,species,thermal_tolerance_range,2.5-5C,1
epinephelus merra,species,thermal_tolerance_range,2.5-5C,1
gephyroberyx darwinii,species,thermal_tolerance_range,7.5-10C,1
scarus dimidiatus,species,thermal_tolerance_range,2.5-5C,1
scarus spinus,species,thermal_tolerance_range,2.5-5C,1
chromis atripes,species,thermal_tolerance_range,2.5-5C,1
macropharyngodon negrosensis,species,thermal_tolerance_range,2.5-5C,1
malacocephalus laevis,species,thermal_tolerance_range,10-15C,1
dascyllus aruanus,species,thermal_tolerance_range,2.5-5C,1
dascyllus trimaculatus,species,thermal_tolerance_range,2.5-5C,1
engyprosopon macrolepis,species,thermal_tolerance_range,2.5-5C,1
epinephelus cyanopodus,species,thermal_tolerance_range,5-7.5C,1
echidna nebulosa,species,thermal_tolerance_range,2.5-5C,1
echidna polyzona,species,thermal_tolerance_range,2.5-5C,1
gymnothorax flavimarginatus,species,thermal_tolerance_range,2.5-5C,1
gymnothorax zonipectis,species,thermal_tolerance_range,0-2.5C,1
uropterygius marmoratus,species,thermal_tolerance_range,2.5-5C,1
myripristis murdjan,species,thermal_tolerance_range,2.5-5C,1
chromis atripectoralis,species,thermal_tolerance_range,2.5-5C,1
antennarius striatus,species,thermal_tolerance_range,5-7.5C,1
epinephelus chlorostigma,species,thermal_tolerance_range,2.5-5C,1
bolbometopon muricatum,species,thermal_tolerance_range,2.5-5C,1
scarus niger,species,thermal_tolerance_range,2.5-5C,1
siganus sutor,species,thermal_tolerance_range,5-7.5C,1
chaetodon tinkeri,species,thermal_tolerance_range,0-2.5C,1
chaetodon vagabundus,species,thermal_tolerance_range,2.5-5C,1
oxycheilinus arenatus,species,thermal_tolerance_range,0-2.5C,1
iniistius aneitensis,species,thermal_tolerance_range,2.5-5C,1
planiliza melinopterus,species,thermal_tolerance_range,2.5-5C,1
paracentropyge multifasciata,species,thermal_tolerance_range,2.5-5C,1
chromis alpha,species,thermal_tolerance_range,0-2.5C,1
chromis amboinensis,species,thermal_tolerance_range,2.5-5C,1
chromis lepidolepis,species,thermal_tolerance_range,2.5-5C,1
chromis viridis,species,thermal_tolerance_range,2.5-5C,1
lepidozygus tapeinosoma,species,thermal_tolerance_range,2.5-5C,1
chrysiptera biocellata,species,thermal_tolerance_range,2.5-5C,1
chrysiptera traceyi,species,thermal_tolerance_range,0-2.5C,1
plectroglyphidodon leucozonus,species,thermal_tolerance_range,2.5-5C,1
