am_sid,species,trait,trait_value
Fis-29289,argentina sphyraena,thermal_tolerance_range,7.5-10C
Fis-34804,eustomias dendriticus,thermal_tolerance_range,5-7.5C
Fis-29358,coryphaena equiselis,thermal_tolerance_range,5-7.5C
Fis-22751,crystallogobius linearis,thermal_tolerance_range,7.5-10C
Fis-22735,acanthocybium solandri,thermal_tolerance_range,5-7.5C
Fis-29265,allothunnus fallai,thermal_tolerance_range,>15C
Fis-22790,lutjanus monostigma,thermal_tolerance_range,2.5-5C
Fis-22791,lutjanus notatus,thermal_tolerance_range,2.5-5C
Fis-47262,paracaesio xanthura,thermal_tolerance_range,5-7.5C
Fis-59414,chaetodon zanzibarensis,thermal_tolerance_range,0-2.5C
Fis-22894,lutjanus gibbus,thermal_tolerance_range,2.5-5C
Fis-29274,anguilla japonica,thermal_tolerance_range,10-15C
Fis-22954,selar crumenophthalmus,thermal_tolerance_range,5-7.5C
Fis-23013,archosargus probatocephalus,thermal_tolerance_range,5-7.5C
Fis-26711,entomacrodus marmoratus,thermal_tolerance_range,0-2.5C
Fis-57940,macropharyngodon bipartitus,thermal_tolerance_range,2.5-5C
Fis-23316,zoarces viviparus,thermal_tolerance_range,2.5-5C
Fis-32530,chaetodon guttatissimus,thermal_tolerance_range,2.5-5C
Fis-32521,heniochus diphreutes,thermal_tolerance_range,5-7.5C
Fis-23173,lepidopus caudatus,thermal_tolerance_range,7.5-10C
Fis-29326,centroscyllium nigrum,thermal_tolerance_range,10-15C
Fis-29340,cirrhigaleus barbifer,thermal_tolerance_range,10-15C
Fis-61628,zameus squamulosus,thermal_tolerance_range,10-15C
Fis-29531,squaliolus laticaudus,thermal_tolerance_range,7.5-10C
Fis-29538,squatina aculeata,thermal_tolerance_range,7.5-10C
Fis-23199,odontaspis noronhai,thermal_tolerance_range,2.5-5C
Fis-29282,apristurus longicephalus,thermal_tolerance_range,>15C
Fis-23251,scyliorhinus canicula,thermal_tolerance_range,7.5-10C
