species,aphia_id
abietinaria turgida,-9999
abralia andamanica,341825
abralia astrosticta,341828
abralia heminuchalis,341831
abralia redfieldi,341837
abralia veranyi,139688
abraliopsis atlantica,341846
abraliopsis felis,341849
abraliopsis hoylei,341851
abraliopsis morisii,237819
abraliopsis pfefferi,139689
abrina sibogai,298130
abylopsis eschscholtzi,-9999
abyssochrysos brasilianus,590705
abyssorchomene plebs,237124
abyssorchomene rossi,236922
abyssotherma pacifica,556253
acalyptophis peronii,344011
acanella eburnea,286299
acanthaspidia acanthonotus,174394
acanthaspidia bifurcata,255621
acanthaspidia drygalskii,174413
acanthastrea bowerbanki,288876
acanthastrea faviaformis,288877
acanthastrea hillae,207381
acanthastrea ishigakiensis,288879
acanthastrea lordhowensis,288880
acanthastrea maxima,288881
acanthastrea regularis,288883
acanthaxius hirsutimanus,421841
acanthaxius spinosissimus,477492
acanthochitona balesae,386471
acanthochitona spiculosa,532317
acanthochitona zebra,386528
acanthodasys aculeatus,114618
acanthogorgia ramosissima,-9999
acanthomenia arcuata,180823
acanthophora spicifera,211768
acanthoptilum agassizi,-9999
acanthosquilla acanthocarpus,-9999
acanthostracion guineensis,-9999
acar domingensis,420709
acar revelata,-9999
acartia danae,104252
acartia erythraea,348496
acartia longiremis,104257
acartia negligens,104259
acartia spinata,348523
acartia tonsa,104262
acasta conica,534888
chlamys acroporicola,-9999
chlamys bruei,146806
chlamys coruscans,599273
chlamys cristularis,207830
chlamys delicatula,-9999
chlamys farreri,1468835
chlamys gloriosa,207822
chlamys irregularis,871421
chlamys jousseaumi,-9999
chlamys lentiginosa,207826
chlamys lowei,-9999
chlamys madreporara,-9999
chlamys mollita,-9999
chlamys nobilis,1360798
chlamys porphyra,-9999
chlamys psara,-9999
chlamys pseudislandica,391828
chlamys septemradiatus,146813
chlamys squamata,207843
chlamys tigerina,-9999
chlorodesmis fastigiata,211746
chlorodesmis hildebrandtii,211743
chlorodiella longimana,422128
chondria dasyphylla,144799
chondria polyrhiza,144803
chondriovelum angustilobatum,-9999
chondrocladia clavata,530761
chondrocladia crinita,530770
chondrus crispus,145625
chone collaris,130887
choristodon robustus,420970
chorizocormus reticulatus,252553
chorocaris chacei,107540
chorocaris vandoverae,378097
chriolepis minutillus,-9999
chromodoris albopunctata,559920
chromodoris annulata,209592
chromodoris clenchi,420587
chromodoris coi,559721
chromodoris collingwoodi,559728
chromodoris dalli,558505
chromodoris daphne,558308
chromodoris epicuria,533907
chromodoris galexorum,549418
chromodoris geometrica,559717
chromodoris grahami,532607
chromodoris kempfi,558675
chromodoris neona,532608
chromodoris sinensis,559731
chromodoris tasmaniensis,533913
acropora variabilis,207028
acropora vermiculata,430658
acrosterigma luteomarginata,-9999
acrosterigma reeveanum,715061
acrosterigma subrugosum,-9999
acrosterigma unicolor,345695
acteocina bidentata,160066
acteon antarcticus,197018
acteon biplicatus,-999
acteon candens,420509
acteon danaida,420510
acteon delicatus,420511
acteon incisus,420512
acteon melampoides,159968
acteon pelecais,532352
acteon perforatus,420513
acteon retusus,531493
actinauge verrilli,158216
actinopyga agassizi,1304399
actinostola spetsbergensis,158218
actinotrichia fragilis,211595
acuminodeutopus naglei,421566
acutiserolis cidaris,1023720
adamnestia arachis,531508
adenocystis utricularis,325420
adipicola arcuatilis,505931
admete microscopica,420187
adrana scaphoides,506285
aega alazon,1350487
aega antarctica,886396
aega antillensis,421639
aega birubi,1350488
aega coroo,1350576
aega deshaysiana,-9999
aega excisa,1350501
aega gracilipes,421640
aega leptonica,421641
aega novizealandiae,256427
aega plebeia,955484
aega symmetrica,1288828
aega umpara,1350496
aega vigilans,-9999
aequipecten acanthodes,-9999
aequorea aequorea,117268
aestuariolus noctiluca,574563
aethotaxis mitopteryx mitopteryx,234661
affinetrina planciana,112495
afrocardium carditaeforme,-9999
afrocardium infantile,715087
agalma okeni,1531294
chromodoris thompsoni,533917
chromodoris tinctoria,533914
chrysallida cancellata,160198
chrysallida eximia,140910
chrysallida multituberculata,532611
chrysopetalum elegans,336452
chrysopetalum hernancortazae,-9999
chthamalus angustitergum,421127
chthamalus barnesi,733186
chthamalus fragilis,157793
chthamalus malayensis,535124
chthamalus stellatus,106231
circomphalus strigillinus,420934
cirrophorus americanus,327112
cirrophorus branchiatus,130576
cirrophorus lyra,152341
cirrophorus perdidoensis,421031
cirrophorus perkinsi,421032
cirsotrema dalli,419795
cirsotrema pilsbryi,419796
cirsotrema varicosum,215036
cladocora arbuscula,286778
cladocora caespitosa,135146
cladocora debilis,135147
cladophora herpestica,376989
cladophora laetevirens,145051
cladophoropsis membranacea,145875
cladophoropsis vaucheriaeformis,-9999
clanculus atropurpureus,547246
clanculus persica,-9999
clarkcomanthus exilis,829172
clathria abietina,408861
clathria aceratoobtusa,404784
clathria armata,133001
clathria australiensis,190622
clathria basilana,190493
clathria cervicornis,410893
clathria chelifera,-999
clathria claudei,190564
clathria claviformis,190623
clathria coppingeri,190586
clathria coralliophila,-9999
clathria corneolia,190588
clathria cratitia,410151
clathria distincta,410156
clathria eccentrica,404587
clathria echinata,394655
clathria eurypa,410159
clathria fasciculata,190596
clathria filifera,410880
clathria flabellifera,190598
clathria foraminifera,-9999
clathria gorgonioides,394644
clathria hirsuta,190605
clathria kylista,190517
clathria lendenfeldi,190611
clathria lindgreni,190625
clathria longitoxa,404370
clathria major,190612
clathria microchela,133035
clathria mixta,190627
clathria mutabilis,404368
clathria nuda,412620
clathria procera,234383
clathria prolifera,-999
clathria ramosa,-999
clathria reinwardti,190616
clathria rhopalophora,408842
clathria ridleyi,412633
clathria rugosa,190629
clathria schoenus,394726
clathria spinifera,-999
clathria spinosa,394657
clathria spongodes,190542
clathria tetrastyla,408855
clathria thielei,-9999
clathria topsenti,404367
clathria toxifera,404366
clathria tuberosa,1478204
clathria venosa,394727
clathria virgultosa,167468
clathria vulpina,412640
clathrodrillia albicoma,420298
clausinella fasciata,141909
clausinella gayi,532633
clausocalanus arcuicornis,104502
clavulina angularis,489123
clavus lacertosus,597134
clavus laeta,-9999
cleidochasma porcellanum,111307
