db,spec_code,species,tm,age_mat_min,age_mat_min2
fb,22903,abbottina rivularis,1,NA,NA
fb,268,abramis brama,5,3,7
fb,268,abramis brama,5.5,4,7
fb,268,abramis brama,NA,3,5
fb,268,abramis brama,NA,3,4
fb,268,abramis brama,NA,2,3
fb,268,abramis brama,NA,3,4
fb,47208,abyssocottus korotneffi,NA,5,NA
fb,89,acanthocybium solandri,NA,1,NA
fb,89,acanthocybium solandri,2,NA,NA
fb,89,acanthocybium solandri,NA,1,NA
fb,89,acanthocybium solandri,NA,1,NA
fb,8109,acanthopagrus australis,NA,4,NA
fb,8109,acanthopagrus australis,NA,3,NA
fb,8109,acanthopagrus australis,NA,4,NA
fb,4543,acanthopagrus bifasciatus,4.599999904632568,NA,NA
fb,4543,acanthopagrus bifasciatus,2,NA,NA
fb,14601,acanthopagrus butcheri,NA,2,3
fb,14601,acanthopagrus butcheri,NA,5,NA
fb,14601,acanthopagrus butcheri,NA,3,NA
fb,14601,acanthopagrus butcheri,NA,3,NA
fb,14601,acanthopagrus butcheri,3,1,3
fb,6356,acanthopagrus latus,NA,3.5,4
fb,65896,acanthopagrus pacificus,1.149999976158142,NA,NA
fb,8836,acanthopsetta nadeshnyi,7,NA,NA
fb,1258,acanthurus lineatus,4,NA,NA
fb,4739,acanthurus nigrofuscus,2,NA,NA
fb,4739,acanthurus nigrofuscus,2,NA,NA
fb,1260,acanthurus triostegus,NA,1,2
fb,23585,acentrogobius pflaumii,1,NA,NA
fb,11926,acheilognathus asmussii,3,NA,NA
fb,14420,achoerodus gouldii,17,5,NA
fb,50808,achoerodus viridis,8,NA,NA
fb,23608,achondrostoma arcasii,1.2000000476837158,NA,NA
fb,23608,achondrostoma arcasii,2,NA,NA
fb,23608,achondrostoma arcasii,NA,2,NA
fb,4683,acipenser baerii,17,16,20
fb,4683,acipenser baerii,11,9,15
fb,4683,acipenser baerii,NA,15,NA
fb,4683,acipenser baerii,NA,20,NA
fb,4683,acipenser baerii,NA,9,11
fb,4683,acipenser baerii,NA,17,23
fb,4683,acipenser baerii,NA,11,24
fb,4683,acipenser baerii,NA,20,28
fb,4683,acipenser baerii,NA,9,10
fb,4683,acipenser baerii,NA,11,13
fb,4683,acipenser baerii,NA,9,12
fb,4683,acipenser baerii,NA,9,10
fb,4683,acipenser baerii,16,NA,NA
fb,4683,acipenser baerii,8,NA,NA
fb,4683,acipenser baerii,12,NA,NA
fb,4683,acipenser baerii,10,NA,NA
fb,4683,acipenser baerii,NA,17,18
fb,4683,acipenser baerii,NA,11,13
fb,4683,acipenser baerii,12,NA,NA
fb,4683,acipenser baerii,NA,19,24
fb,4683,acipenser baerii,NA,17,20
fb,4683,acipenser baerii,NA,20,22
fb,4683,acipenser baerii,15,NA,NA
fb,4683,acipenser baerii,NA,26,34
fb,4683,acipenser baerii,NA,17,29
fb,4683,acipenser baerii,NA,16,20
fb,4683,acipenser baerii,NA,15,18
fb,4683,acipenser baerii,NA,15,18
fb,4683,acipenser baerii,18,NA,NA
fb,4683,acipenser baerii,NA,12,14
fb,4683,acipenser baerii,NA,12,14
fb,4683,acipenser baerii,16,NA,NA
fb,4683,acipenser baerii,16,NA,NA
fb,4683,acipenser baerii,NA,7,9
fb,4683,acipenser baerii,4,NA,NA
fb,4683,acipenser baerii,10,NA,NA
fb,4683,acipenser baerii,10,NA,NA
fb,2590,acipenser brevirostrum,NA,14,17
fb,2590,acipenser brevirostrum,NA,3,5
fb,2590,acipenser brevirostrum,NA,6,7
fb,8737,acipenser dabryanus,NA,8,10
fb,2591,acipenser fulvescens,26,NA,NA
fb,2591,acipenser fulvescens,NA,16,NA
fb,2591,acipenser fulvescens,NA,20,NA
fb,4712,acipenser gueldenstaedtii,NA,9,10
fb,4712,acipenser gueldenstaedtii,NA,8,15
fb,4712,acipenser gueldenstaedtii,NA,12,16
fb,4712,acipenser gueldenstaedtii,NA,11,13
fb,2504,acipenser naccarii,NA,6,8
fb,2504,acipenser naccarii,NA,8,12
fb,2505,acipenser nudiventris,NA,6,NA
fb,2505,acipenser nudiventris,NA,12,NA
fb,2505,acipenser nudiventris,NA,6,15
fb,2505,acipenser nudiventris,NA,12,22
fb,2593,acipenser oxyrinchus,NA,7,9
fb,2593,acipenser oxyrinchus,NA,8,12
fb,2593,acipenser oxyrinchus,NA,11,20
fb,2593,acipenser oxyrinchus,NA,20,30
fb,2593,acipenser oxyrinchus,NA,22,34
fb,2593,acipenser oxyrinchus,NA,27,28
fb,2593,acipenser oxyrinchus,NA,7,19
fb,2593,acipenser oxyrinchus,NA,27,28
fb,2593,acipenser oxyrinchus,NA,7,12
fb,9763,acipenser persicus,NA,8,15
fb,9763,acipenser persicus,NA,12,18
fb,4604,acipenser ruthenus,7,5,9
fb,4604,acipenser ruthenus,NA,4,5
fb,4604,acipenser ruthenus,NA,5,7
fb,4604,acipenser ruthenus,NA,3,5
fb,4604,acipenser ruthenus,NA,4,5
fb,4604,acipenser ruthenus,NA,3,4
fb,4604,acipenser ruthenus,NA,6,9
fb,4604,acipenser ruthenus,NA,3,5
fb,4604,acipenser ruthenus,NA,5,8
fb,6085,acipenser schrenckii,NA,9,10
fb,6085,acipenser schrenckii,NA,11,14
fb,6085,acipenser schrenckii,NA,8,10
fb,6085,acipenser schrenckii,11,10,14
fb,6085,acipenser schrenckii,NA,7,12
fb,6085,acipenser schrenckii,NA,9,10
fb,6085,acipenser schrenckii,NA,7,8
fb,6085,acipenser schrenckii,NA,9,10
fb,8762,acipenser sinensis,NA,8,18
fb,8762,acipenser sinensis,NA,14,26
fb,2065,acipenser stellatus,NA,7,14
fb,2065,acipenser stellatus,NA,8,10
fb,2065,acipenser stellatus,NA,5,7
fb,2065,acipenser stellatus,NA,6,12
fb,2065,acipenser stellatus,NA,8,14
fb,2066,acipenser sturio,NA,8,14
fb,2066,acipenser sturio,NA,14,NA
fb,2066,acipenser sturio,NA,7,9
fb,2066,acipenser sturio,NA,11,NA
fb,2066,acipenser sturio,NA,8,20
fb,2066,acipenser sturio,NA,7,15
fb,2066,acipenser sturio,11,8,14
fb,2066,acipenser sturio,NA,13,16
fb,2066,acipenser sturio,NA,8,12
fb,2066,acipenser sturio,NA,8,14
fb,2066,acipenser sturio,NA,7,11
fb,2066,acipenser sturio,NA,9,13
fb,2066,acipenser sturio,NA,11,18
fb,2594,acipenser transmontanus,NA,11,34
fb,2594,acipenser transmontanus,NA,11,22
fb,2741,acrocheilus alutaceus,NA,3,NA
fb,2741,acrocheilus alutaceus,NA,3,4
fb,3073,acyrtops beryllinus,NA,1,NA
fb,1250,aetobatus narinari,NA,4,6
fb,36,agonus cataphractus,NA,3,4
fb,36,agonus cataphractus,NA,1,2
fb,8435,albatrossia pectoralis,NA,6,12
fb,8435,albatrossia pectoralis,NA,7,15
fb,8435,albatrossia pectoralis,NA,6,10
fb,8435,albatrossia pectoralis,NA,5,9
fb,8435,albatrossia pectoralis,NA,6,11
fb,228,albula vulpes,NA,2.6700000762939453,NA
fb,228,albula vulpes,NA,2.6700000762939453,NA
fb,228,albula vulpes,3.5999999046325684,NA,NA
fb,228,albula vulpes,4.199999809265137,NA,NA
fb,228,albula vulpes,1,NA,NA
fb,228,albula vulpes,3.5999999046325684,3,5
fb,228,albula vulpes,4.199999809265137,2,7
fb,4875,alburnoides bipunctatus,NA,2,NA
fb,22954,alburnoides taeniatus,NA,2,NA
fb,25774,alburnus albidus,NA,1,2
fb,4730,alburnus alburnus,NA,2,3
fb,4730,alburnus alburnus,NA,2,3
fb,4730,alburnus alburnus,NA,2,3
fb,4730,alburnus alburnus,2,2,NA
fb,4730,alburnus alburnus,NA,1,NA
fb,62353,alburnus arborella,NA,1,2
fb,5473,alburnus chalcoides,NA,2,4
fb,5473,alburnus chalcoides,NA,4,5
fb,5473,alburnus chalcoides,NA,5,NA
fb,64199,alburnus leobergi,NA,2,4
fb,62440,alburnus mento,NA,4,5
fb,65056,alburnus mentoides,NA,3,NA
fb,64201,alburnus sarmaticus,NA,2,4
fb,65057,alburnus scoranza,NA,1,NA
fb,12938,aldrichetta forsteri,NA,2,3
fb,2405,alestes baremoze,2,NA,NA
fb,2405,alestes baremoze,2.5,NA,NA
fb,2405,alestes baremoze,3,NA,NA
fb,5229,alestes dentex,2,NA,NA
fb,46449,alfaro cultratus,0.5,NA,NA
fb,12962,allocyttus niger,27,NA,NA
fb,5891,alopias pelagicus,NA,12,NA
fb,5891,alopias pelagicus,NA,12,NA
fb,5891,alopias pelagicus,NA,8,9.199999809265137
fb,5891,alopias pelagicus,NA,7,8
fb,5891,alopias pelagicus,8.600000381469727,NA,NA
fb,5891,alopias pelagicus,13.199999809265137,NA,NA
fb,5891,alopias pelagicus,10.399999618530272,NA,NA
fb,2534,alopias superciliosus,NA,8.399999618530273,14.600000381469728
fb,2534,alopias superciliosus,NA,7,13
fb,2534,alopias superciliosus,13.5,NA,NA
fb,2535,alopias vulpinus,NA,7,NA
fb,2535,alopias vulpinus,NA,5,NA
fb,2535,alopias vulpinus,5.300000190734863,NA,NA
fb,2535,alopias vulpinus,4.800000190734863,NA,NA
fb,2535,alopias vulpinus,5.800000190734863,NA,NA
fb,2535,alopias vulpinus,12,NA,NA
fb,2535,alopias vulpinus,13,NA,NA
fb,2535,alopias vulpinus,8,NA,NA
fb,1574,alosa aestivalis,NA,3,4
fb,1574,alosa aestivalis,4,NA,NA
fb,28201,alosa agone,NA,2,3
fb,28201,alosa agone,NA,3,4
fb,101,alosa alosa,3.5,NA,NA
fb,101,alosa alosa,NA,2,5
fb,101,alosa alosa,NA,3,6
fb,101,alosa alosa,NA,3,9
fb,101,alosa alosa,NA,3,5
fb,101,alosa alosa,NA,4,6
fb,1577,alosa caspia,NA,2,3
fb,1577,alosa caspia,NA,4,5
fb,5355,alosa fallax,3,NA,NA
fb,5355,alosa fallax,2,NA,NA
fb,5355,alosa fallax,NA,2,3
fb,5355,alosa fallax,NA,4,7
fb,5355,alosa fallax,NA,3,4
fb,5355,alosa fallax,NA,2,3
fb,5355,alosa fallax,NA,3,6
fb,5355,alosa fallax,NA,2,3
fb,5355,alosa fallax,NA,3,4
fb,5355,alosa fallax,NA,3,4
fb,5355,alosa fallax,NA,4,5
fb,5355,alosa fallax,NA,3,5
fb,5355,alosa fallax,NA,4,6
fb,105,alosa immaculata,NA,1,3
fb,105,alosa immaculata,NA,3,NA
fb,1580,alosa kessleri,NA,3,5
fb,25775,alosa macedonica,NA,1,2
fb,1581,alosa maeotica,NA,2,NA
fb,1583,alosa pseudoharengus,NA,1,NA
fb,1583,alosa pseudoharengus,NA,2,NA
fb,1583,alosa pseudoharengus,NA,2,3
fb,1583,alosa pseudoharengus,NA,3,4
fb,1583,alosa pseudoharengus,NA,4,5
fb,1583,alosa pseudoharengus,3,NA,NA
fb,1583,alosa pseudoharengus,2,NA,NA
fb,1583,alosa pseudoharengus,NA,2,5
fb,1584,alosa sapidissima,NA,5,NA
fb,1584,alosa sapidissima,NA,4,NA
fb,1584,alosa sapidissima,4.300000190734863,2,NA
fb,1584,alosa sapidissima,4.599999904632568,2,NA
fb,48090,alosa tanaica,NA,1,2
fb,63396,alosa volgensis,NA,2,3
fb,6099,amatolacypris trevelyani,NA,1,3
fb,6099,amatolacypris trevelyani,NA,1,3
fb,15124,ambassis agrammus,NA,1,NA
fb,15128,ambassis macleayi,NA,1,NA
fb,3361,ambloplites rupestris,NA,2,3
fb,3361,ambloplites rupestris,NA,3,5
fb,3361,ambloplites rupestris,NA,3,NA
fb,1501,amblygaster sirm,1,NA,NA
fb,1501,amblygaster sirm,0.8500000238418579,NA,NA
fb,1501,amblygaster sirm,0.959999978542328,NA,NA
fb,1501,amblygaster sirm,NA,0.4099999964237213,NA
fb,1501,amblygaster sirm,NA,0.8100000023841858,NA
fb,2565,amblyraja radiata,4,NA,NA
fb,2565,amblyraja radiata,4,NA,NA
fb,2565,amblyraja radiata,10.899999618530272,NA,NA
fb,2565,amblyraja radiata,11,NA,NA
fb,2565,amblyraja radiata,5,NA,NA
fb,2565,amblyraja radiata,28,NA,NA
fb,291,ameiurus melas,NA,3,NA
fb,3021,ameiurus natalis,NA,NA,2
fb,3022,ameiurus nebulosus,NA,3,NA
fb,3022,ameiurus nebulosus,NA,2,3
fb,3022,ameiurus nebulosus,NA,2,3
fb,3022,ameiurus nebulosus,NA,3,NA
fb,2600,amia calva,NA,3,5
fb,2600,amia calva,NA,3,5
fb,2600,amia calva,4,NA,NA
fb,2600,amia calva,NA,4,5
fb,3822,ammodytes hexapterus,NA,2,3
fb,3822,ammodytes hexapterus,NA,2,3
fb,3822,ammodytes hexapterus,NA,2,3
fb,3822,ammodytes hexapterus,NA,2,3
fb,37,ammodytes marinus,3,NA,NA
fb,37,ammodytes marinus,NA,2,3
fb,37,ammodytes marinus,NA,2,3
fb,37,ammodytes marinus,NA,2,3
fb,37,ammodytes marinus,NA,2,3
fb,37,ammodytes marinus,NA,1,2
fb,37,ammodytes marinus,2,2,3
fb,37,ammodytes marinus,3.200000047683716,NA,NA
fb,37,ammodytes marinus,3.200000047683716,NA,NA
fb,37,ammodytes marinus,1.5099999904632568,NA,NA
fb,38,ammodytes tobianus,NA,2,NA
fb,38,ammodytes tobianus,1,NA,NA
fb,38,ammodytes tobianus,2,2,3
fb,38,ammodytes tobianus,2,NA,NA
fb,4654,amphiprion melanopus,NA,1.6699999570846558,NA
fb,2024,amphiprion perideraion,NA,1.75,1.830000042915344
fb,2024,amphiprion perideraion,NA,1.75,1.830000042915344
fb,3622,amphistichus argenteus,2,NA,NA
fb,3624,amphistichus rhodoterus,3,NA,NA
fb,49772,anablepsoides lungi,0.4000000059604645,NA,NA
fb,9538,anaecypris hispanica,NA,1,NA
fb,2501,anarhichas lupus,NA,6,7
fb,3811,anarhichas minor,7.5,NA,NA
fb,3811,anarhichas minor,8.5,NA,NA
fb,3813,anarrhichthys ocellatus,NA,7,NA
fb,1133,anchoa hepsetus,NA,NA,1
fb,545,anchoa mitchilli,NA,0.20999999344348907,0.25
fb,35,anguilla anguilla,11,9,13
fb,35,anguilla anguilla,NA,15,18
fb,35,anguilla anguilla,NA,5,NA
fb,35,anguilla anguilla,NA,8,9
fb,35,anguilla anguilla,NA,6,12
fb,35,anguilla anguilla,NA,10,20
fb,297,anguilla australis,NA,10,30
fb,297,anguilla australis,NA,8,12
fb,11878,anguilla dieffenbachii,NA,22,NA
fb,11878,anguilla dieffenbachii,NA,12,18
fb,11878,anguilla dieffenbachii,NA,33,NA
fb,11878,anguilla dieffenbachii,NA,20,30
fb,11878,anguilla dieffenbachii,NA,26,NA
fb,11878,anguilla dieffenbachii,NA,15,21
fb,11878,anguilla dieffenbachii,NA,48,NA
fb,11878,anguilla dieffenbachii,NA,30,45
fb,11878,anguilla dieffenbachii,NA,48,NA
fb,11878,anguilla dieffenbachii,NA,22,38
fb,11878,anguilla dieffenbachii,NA,22,NA
fb,11878,anguilla dieffenbachii,NA,10,20
fb,11878,anguilla dieffenbachii,NA,16,27
fb,11878,anguilla dieffenbachii,NA,32,NA
fb,7512,anguilla reinhardtii,NA,10,30
fb,7512,anguilla reinhardtii,NA,8,12
fb,296,anguilla rostrata,NA,3,6
fb,296,anguilla rostrata,NA,3,10
fb,296,anguilla rostrata,NA,4,18
fb,296,anguilla rostrata,NA,5,15
fb,296,anguilla rostrata,NA,12,23
fb,3568,anisotremus davidsonii,2,NA,NA
fb,3776,anoplarchus purpurescens,NA,2,3
fb,3776,anoplarchus purpurescens,2.5,NA,NA
fb,512,anoplopoma fimbria,NA,5,6
fb,512,anoplopoma fimbria,5.099999904632568,NA,NA
fb,512,anoplopoma fimbria,4.800000190734863,NA,NA
fb,512,anoplopoma fimbria,6,NA,NA
fb,61504,aphanius baeticus,NA,0.25,0.33000001311302185
fb,4834,aphanius fasciatus,NA,0.6000000238418579,1
fb,4876,aphanius iberus,NA,0.5,NA
fb,646,aphanopus carbo,NA,3,NA
fb,646,aphanopus carbo,NA,3,NA
fb,39,aphia minuta,1,NA,NA
fb,39,aphia minuta,NA,0.41999998688697815,0.5
fb,39,aphia minuta,NA,0.41999998688697815,0.5
fb,26699,apistogramma juruensis,NA,0.25,0.33000001311302185
fb,4756,aplocheilus panchax,NA,0.33000001311302185,0.41999998688697815
fb,1693,apogon imberbis,1,NA,NA
fb,1693,apogon imberbis,1,NA,NA
fb,84,aprion virescens,NA,4,5
fb,84,aprion virescens,NA,4,5
fb,15943,apteronotus leptorhynchus,1,1,NA
fb,2076,arapaima gigas,NA,5,NA
fb,2076,arapaima gigas,NA,4,5
fb,2076,arapaima gigas,6,NA,NA
fb,1219,archosargus rhomboidalis,0.41999998688697815,NA,NA
fb,463,arctoscopus japonicus,NA,2,3
fb,2700,argentina silus,NA,6,7
fb,2700,argentina silus,NA,8,9
fb,2700,argentina silus,NA,5,6
fb,2700,argentina silus,7,NA,NA
fb,2700,argentina silus,8.699999809265137,NA,NA
fb,2700,argentina silus,6,NA,NA
fb,2700,argentina silus,6,NA,NA
fb,2700,argentina silus,7,NA,NA
fb,2700,argentina silus,4,NA,NA
fb,2700,argentina silus,8.199999809265137,NA,NA
fb,6968,argyropelecus hemigymnus,1,NA,NA
fb,4541,argyrops filamentosus,2,NA,NA
fb,4541,argyrops filamentosus,2,NA,NA
fb,442,argyrops spinifer,2.4000000953674316,NA,NA
fb,442,argyrops spinifer,2.4000000953674316,NA,NA
fb,442,argyrops spinifer,5.599999904632568,NA,NA
fb,442,argyrops spinifer,5,NA,NA
fb,442,argyrops spinifer,2,2,4
fb,17270,argyrosomus inodorus,1.5,NA,NA
fb,17270,argyrosomus inodorus,1.600000023841858,NA,NA
fb,17270,argyrosomus inodorus,1.2999999523162842,NA,NA
fb,17270,argyrosomus inodorus,2.4000000953674316,NA,NA
fb,17270,argyrosomus inodorus,1,NA,NA
fb,17270,argyrosomus inodorus,1.5,NA,NA
fb,11979,argyrosomus japonicus,NA,6,NA
fb,443,argyrozona argyrozona,NA,6,NA
fb,443,argyrozona argyrozona,5,NA,NA
fb,41,arnoglossus laterna,NA,3,NA
fb,43,arnoglossus thori,NA,2,NA
fb,392,arripis georgiana,NA,2,4
fb,5048,arripis trutta,NA,4,NA
fb,5048,arripis trutta,4,NA,NA
fb,5048,arripis trutta,4,NA,NA
fb,14606,arripis truttacea,NA,4,6
fb,14606,arripis truttacea,NA,3,4
fb,4157,aspidophoroides monopterygius,4.699999809265137,4.400000095367432,5.099999904632568
fb,517,atheresthes stomias,NA,5,6
fb,517,atheresthes stomias,NA,6,7
fb,1696,atherina boyeri,1,NA,NA
fb,1696,atherina boyeri,NA,1,NA
fb,61247,atherinomorus vaigiensis,NA,2,2
fb,3235,atherinops affinis,2,NA,NA
fb,3236,atherinopsis californiensis,2.5,NA,NA
fb,420,atractoscion aequidens,5,NA,6
fb,3578,atractoscion nobilis,4,NA,NA
fb,6088,aulopyge huegelii,NA,1,NA
fb,6088,aulopyge huegelii,NA,2,NA
fb,3270,aulorhynchus flavidus,1,NA,NA
fb,4679,australoheros facetus,NA,1,2
fb,49540,austrolebias viarius,0.15000000596046448,0.15000000596046448,0.3499999940395355
fb,93,auxis rochei,NA,2,NA
fb,94,auxis thazard,2.5,NA,NA
fb,16309,babka gymnotrachelus,NA,2,NA
fb,16309,babka gymnotrachelus,NA,2,NA
fb,16309,babka gymnotrachelus,NA,1,NA
fb,5462,bagrus bajad,NA,4,NA
fb,5462,bagrus bajad,NA,5,NA
fb,6519,bagrus docmak,NA,3,NA
fb,6519,bagrus docmak,NA,3,NA
fb,6519,bagrus docmak,NA,2,3
fb,6519,bagrus docmak,NA,2,3
fb,4721,bagrus meridionalis,4,NA,NA
fb,4721,bagrus meridionalis,4,NA,NA
fb,1165,bairdiella chrysoura,0.6000000238418579,NA,NA
fb,1165,bairdiella chrysoura,NA,NA,1
fb,7327,balistes capriscus,1,NA,NA
fb,6374,ballerus ballerus,NA,4,5
fb,6374,ballerus ballerus,NA,3,4
fb,6374,ballerus ballerus,NA,4,5
fb,6374,ballerus ballerus,NA,3,4
fb,6374,ballerus ballerus,3.740000009536743,3,NA
fb,23045,ballerus sapa,NA,4,NA
fb,23045,ballerus sapa,NA,3,4
fb,6377,barbatula barbatula,NA,2,3
fb,6377,barbatula barbatula,NA,2,3
fb,6377,barbatula barbatula,NA,2,NA
fb,6377,barbatula barbatula,NA,1,NA
fb,6377,barbatula barbatula,NA,2,3
fb,4472,barbus barbus,NA,4,5
fb,4472,barbus barbus,NA,3,4
fb,4472,barbus barbus,NA,2,5
fb,4472,barbus barbus,NA,3,7
fb,25792,barbus caninus,NA,1,NA
fb,25792,barbus caninus,NA,2,NA
fb,61870,barbus carpathicus,NA,2,3
fb,61870,barbus carpathicus,NA,2,3
fb,47765,barbus ciscaucasicus,NA,2,3
fb,47765,barbus ciscaucasicus,NA,4,NA
fb,25847,barbus cyclolepis,NA,2,NA
fb,25847,barbus cyclolepis,NA,2,3
fb,25847,barbus cyclolepis,NA,3,4
fb,68280,barbus cyri,NA,3,4
fb,68280,barbus cyri,NA,5,6
fb,9591,barbus haasi,NA,1,3
fb,9591,barbus haasi,NA,2,4
fb,48353,barbus kubanicus,NA,3,NA
fb,48353,barbus kubanicus,NA,4,NA
fb,25852,barbus peloponnesius,NA,2,3
fb,25852,barbus peloponnesius,NA,2,NA
fb,25852,barbus peloponnesius,NA,4,5
fb,25852,barbus peloponnesius,NA,2,3
fb,25852,barbus peloponnesius,NA,3,4
fb,25854,barbus plebejus,NA,2,4
fb,25854,barbus plebejus,NA,2,3
fb,25854,barbus plebejus,NA,3,4
fb,65111,barbus strumicae,NA,2,NA
fb,25952,barbus tauricus,NA,2,NA
fb,25952,barbus tauricus,NA,3,NA
fb,46148,barbus tyberinus,NA,2,NA
fb,46148,barbus tyberinus,NA,4,NA
fb,46148,barbus tyberinus,NA,1,NA
fb,65112,barbus waleckii,NA,2,NA
fb,65112,barbus waleckii,NA,4,5
fb,23545,bathymaster derjugini,NA,7,8
fb,2555,bathyraja aleutica,NA,8,9
fb,2555,bathyraja aleutica,NA,9,10
fb,54021,bathyraja maculata,8,NA,NA
fb,54021,bathyraja maculata,NA,8,9
fb,22561,bathyraja matsubarai,NA,6,7
fb,22561,bathyraja matsubarai,NA,6,8
fb,2564,bathyraja parmifera,NA,7,9
fb,2564,bathyraja parmifera,NA,8,10
fb,2564,bathyraja parmifera,9,NA,NA
fb,2564,bathyraja parmifera,10,NA,NA
fb,22558,bathyraja violacea,NA,4,6
fb,22558,bathyraja violacea,NA,5,6
fb,46554,bellapiscis lesleyae,NA,NA,1
fb,47,belone belone,NA,2,NA
fb,47,belone belone,2,NA,NA
fb,3909,benthodesmus elongatus,NA,5,6
fb,3909,benthodesmus elongatus,NA,5,6
fb,47936,benthophilus grimmi,1,NA,NA
fb,47931,benthophilus macrocephalus,1,NA,NA
fb,16265,benthophilus stellatus,1,NA,NA
fb,21,benthosema glaciale,NA,1,2
fb,21,benthosema glaciale,NA,2,3
