spec_code,species,db,length_max,in_spp_table,table
1119,abudefduf saxatilis,fb,15,TRUE,maturity
6630,abudefduf vaigiensis,fb,12,TRUE,maturity
54806,acanthemblemaria paula,fb,1.3600000143051147,TRUE,maturity
16486,acanthemblemaria spinosa,fb,1.840000033378601,TRUE,maturity
351,acanthistius brasilianus,fb,29,TRUE,maturity
89,acanthocybium solandri,fb,93,TRUE,maturity
89,acanthocybium solandri,fb,102,TRUE,maturity
89,acanthocybium solandri,fb,101,TRUE,maturity
89,acanthocybium solandri,fb,95,TRUE,maturity
4543,acanthopagrus bifasciatus,fb,26.399999618530273,TRUE,maturity
4543,acanthopagrus bifasciatus,fb,21.899999618530273,TRUE,maturity
6356,acanthopagrus latus,fb,23.700000762939453,TRUE,maturity
6356,acanthopagrus latus,fb,24.399999618530273,TRUE,maturity
6531,acanthopagrus schlegelii,fb,29.100000381469727,TRUE,maturity
8836,acanthopsetta nadeshnyi,fb,16,TRUE,maturity
92,acanthostracion quadricornis,fb,19.799999237060547,TRUE,maturity
92,acanthostracion quadricornis,fb,22.200000762939453,TRUE,maturity
1257,acanthurus leucosternon,fb,13.800000190734863,TRUE,maturity
1258,acanthurus lineatus,fb,18,TRUE,maturity
4747,acanthurus nigricauda,fb,18.399999618530273,TRUE,maturity
942,acanthurus tractus,fb,15.5,TRUE,maturity
1260,acanthurus triostegus,fb,7.5,TRUE,maturity
1260,acanthurus triostegus,fb,10,TRUE,maturity
12260,acaronia nassa,fb,8,TRUE,maturity
23585,acentrogobius pflaumii,fb,8.899999618530273,TRUE,maturity
51077,acestrorhynchus lacustris,fb,13,TRUE,maturity
51077,acestrorhynchus lacustris,fb,10.699999809265137,TRUE,maturity
14420,achoerodus gouldii,fb,65.30000305175781,TRUE,maturity
23608,achondrostoma arcasii,fb,3.700000047683716,TRUE,maturity
23608,achondrostoma arcasii,fb,5.099999904632568,TRUE,maturity
4683,acipenser baerii,fb,60,TRUE,maturity
4683,acipenser baerii,fb,70,TRUE,maturity
4683,acipenser baerii,fb,100,TRUE,maturity
4683,acipenser baerii,fb,80,TRUE,maturity
4683,acipenser baerii,fb,97,TRUE,maturity
4683,acipenser baerii,fb,79,TRUE,maturity
4683,acipenser baerii,fb,109,TRUE,maturity
4683,acipenser baerii,fb,103,TRUE,maturity
8737,acipenser dabryanus,fb,106,TRUE,maturity
2591,acipenser fulvescens,fb,112,TRUE,maturity
2591,acipenser fulvescens,fb,80,TRUE,maturity
2591,acipenser fulvescens,fb,90,TRUE,maturity
