spec_code,species,db,length_max,in_spp_table,table
62612,abalistes filamentosus,fb,35,TRUE,popchar
58334,abalistes stellatus,fb,60,TRUE,popchar
58334,abalistes stellatus,fb,50,TRUE,popchar
55145,abbottina liaoningensis,fb,6.599999904632568,TRUE,popchar
55143,abbottina obtusirostris,fb,7.800000190734863,TRUE,popchar
22903,abbottina rivularis,fb,9.5,TRUE,popchar
22903,abbottina rivularis,fb,6.800000190734863,TRUE,popchar
22903,abbottina rivularis,fb,11,TRUE,popchar
69366,ablabys gymnothorax,fb,4.789999961853027,TRUE,popchar
69366,ablabys gymnothorax,fb,8.279999732971191,TRUE,popchar
69366,ablabys gymnothorax,fb,6.78000020980835,TRUE,popchar
25701,ablabys macracanthus,fb,9,TRUE,popchar
25701,ablabys macracanthus,fb,20,TRUE,popchar
10232,ablabys taenianotus,fb,15,TRUE,popchar
10232,ablabys taenianotus,fb,12,TRUE,popchar
972,ablennes hians,fb,83,TRUE,popchar
972,ablennes hians,fb,115,TRUE,popchar
972,ablennes hians,fb,100,TRUE,popchar
972,ablennes hians,fb,90,TRUE,popchar
46918,aboma etheostoma,fb,3.4000000953674316,TRUE,popchar
268,abramis brama,fb,47,TRUE,popchar
268,abramis brama,fb,31.399999618530273,TRUE,popchar
268,abramis brama,fb,31,TRUE,popchar
268,abramis brama,fb,32,TRUE,popchar
268,abramis brama,fb,82,TRUE,popchar
268,abramis brama,fb,40.5,TRUE,popchar
268,abramis brama,fb,42.20000076293945,TRUE,popchar
268,abramis brama,fb,70,TRUE,popchar
268,abramis brama,fb,46.099998474121094,TRUE,popchar
6517,abudefduf bengalensis,fb,17,TRUE,popchar
5685,abudefduf lorenzi,fb,17,TRUE,popchar
5686,abudefduf notatus,fb,17,TRUE,popchar
1119,abudefduf saxatilis,fb,6.619999885559082,TRUE,popchar
5687,abudefduf septemfasciatus,fb,20,TRUE,popchar
5687,abudefduf septemfasciatus,fb,23,TRUE,popchar
5688,abudefduf sexfasciatus,fb,19,TRUE,popchar
5688,abudefduf sexfasciatus,fb,16,TRUE,popchar
5688,abudefduf sexfasciatus,fb,17,TRUE,popchar
5689,abudefduf sordidus,fb,24,TRUE,popchar
5689,abudefduf sordidus,fb,23,TRUE,popchar
6630,abudefduf vaigiensis,fb,18,TRUE,popchar
6630,abudefduf vaigiensis,fb,20,TRUE,popchar
6630,abudefduf vaigiensis,fb,18.899999618530273,TRUE,popchar
47208,abyssocottus korotneffi,fb,13.199999809265137,TRUE,popchar
56310,acanthanectes hystrix,fb,3.5,TRUE,popchar
56311,acanthanectes rufus,fb,3.549999952316284,TRUE,popchar
3708,acanthemblemaria aspera,fb,3,TRUE,popchar
46703,acanthemblemaria balanorum,fb,5.190000057220459,TRUE,popchar
3709,acanthemblemaria chaplini,fb,4.099999904632568,TRUE,popchar
