spec_code,species,db,length_max,in_spp_table,table
9,abalistes stellaris,fb,36.79999923706055,TRUE,popll
6652,abudefduf abdominalis,fb,16.200000762939453,TRUE,popll
6652,abudefduf abdominalis,fb,18.200000762939453,TRUE,popll
6517,abudefduf bengalensis,fb,16.5,TRUE,popll
11811,abudefduf hoefleri,fb,6.199999809265137,TRUE,popll
5685,abudefduf lorenzi,fb,12.699999809265137,TRUE,popll
11823,abudefduf margariteus,fb,17.600000381469727,TRUE,popll
11825,abudefduf natalensis,fb,18,TRUE,popll
5686,abudefduf notatus,fb,14.399999618530272,TRUE,popll
1119,abudefduf saxatilis,fb,9.800000190734863,TRUE,popll
5687,abudefduf septemfasciatus,fb,17.799999237060547,TRUE,popll
5688,abudefduf sexfasciatus,fb,14.5,TRUE,popll
5688,abudefduf sexfasciatus,fb,17.5,TRUE,popll
5689,abudefduf sordidus,fb,15.199999809265137,TRUE,popll
5689,abudefduf sordidus,fb,20.100000381469727,TRUE,popll
8018,abudefduf sparoides,fb,12.100000381469728,TRUE,popll
6630,abudefduf vaigiensis,fb,11.5,TRUE,popll
6630,abudefduf vaigiensis,fb,17.5,TRUE,popll
9626,abudefduf whitleyi,fb,12,TRUE,popll
9626,abudefduf whitleyi,fb,21,TRUE,popll
12690,acanthistius cinctus,fb,32.70000076293945,TRUE,popll
6655,acanthochromis polyacanthus,fb,10,TRUE,popll
6655,acanthochromis polyacanthus,fb,14.699999809265137,TRUE,popll
6655,acanthochromis polyacanthus,fb,7,TRUE,popll
89,acanthocybium solandri,fb,130,TRUE,popll
5526,acanthopagrus berda,fb,41,TRUE,popll
4543,acanthopagrus bifasciatus,fb,5.199999809265137,TRUE,popll
4543,acanthopagrus bifasciatus,fb,30,TRUE,popll
6356,acanthopagrus latus,fb,43.5,TRUE,popll
17444,acanthoplesiops hiatti,fb,1.600000023841858,TRUE,popll
8004,acanthoplesiops indicus,fb,2.0999999046325684,TRUE,popll
4306,acanthurus achilles,fb,22.899999618530273,TRUE,popll
4306,acanthurus achilles,fb,25,TRUE,popll
4748,acanthurus auranticavus,fb,29.200000762939453,TRUE,popll
4307,acanthurus bariene,fb,44.20000076293945,TRUE,popll
4750,acanthurus blochii,fb,21.600000381469727,TRUE,popll
944,acanthurus coeruleus,fb,21,TRUE,popll
1256,acanthurus dussumieri,fb,24.5,TRUE,popll
1256,acanthurus dussumieri,fb,28.399999618530273,TRUE,popll
4745,acanthurus fowleri,fb,35.599998474121094,TRUE,popll
4749,acanthurus grammoptilus,fb,13.699999809265137,TRUE,popll
4736,acanthurus guttatus,fb,20.299999237060547,TRUE,popll
4736,acanthurus guttatus,fb,21.600000381469727,TRUE,popll
4741,acanthurus leucocheilus,fb,39.900001525878906,TRUE,popll
4737,acanthurus leucopareius,fb,26.200000762939453,TRUE,popll
4737,acanthurus leucopareius,fb,20,TRUE,popll
1257,acanthurus leucosternon,fb,14.800000190734863,TRUE,popll
1258,acanthurus lineatus,fb,27.700000762939453,TRUE,popll
1258,acanthurus lineatus,fb,27.200000762939453,TRUE,popll
4746,acanthurus maculiceps,fb,30.700000762939453,TRUE,popll
1255,acanthurus mata,fb,19,TRUE,popll
1255,acanthurus mata,fb,25.5,TRUE,popll
6011,acanthurus nigricans,fb,30.5,TRUE,popll
6011,acanthurus nigricans,fb,20.799999237060547,TRUE,popll
4747,acanthurus nigricauda,fb,33.79999923706055,TRUE,popll
4747,acanthurus nigricauda,fb,26,TRUE,popll
4739,acanthurus nigrofuscus,fb,16,TRUE,popll
4739,acanthurus nigrofuscus,fb,16.200000762939453,TRUE,popll
4738,acanthurus nigroris,fb,19.299999237060547,TRUE,popll
4733,acanthurus nubilus,fb,25.399999618530273,TRUE,popll
4744,acanthurus olivaceus,fb,29.200000762939453,TRUE,popll
4744,acanthurus olivaceus,fb,30.5,TRUE,popll
4732,acanthurus polyzona,fb,11,TRUE,popll
4742,acanthurus pyroferus,fb,24.899999618530273,TRUE,popll
4742,acanthurus pyroferus,fb,20.5,TRUE,popll
4740,acanthurus sohal,fb,36.400001525878906,TRUE,popll
1259,acanthurus tennentii,fb,17.799999237060547,TRUE,popll
4734,acanthurus thompsoni,fb,20.100000381469727,TRUE,popll
4734,acanthurus thompsoni,fb,20.299999237060547,TRUE,popll
942,acanthurus tractus,fb,20,TRUE,popll
1260,acanthurus triostegus,fb,21.299999237060547,TRUE,popll
12782,acanthurus tristis,fb,23.899999618530273,TRUE,popll
1261,acanthurus xanthopterus,fb,61.5,TRUE,popll
1261,acanthurus xanthopterus,fb,54.599998474121094,TRUE,popll
4894,acentrogobius caninus,fb,9.399999618530272,TRUE,popll
4894,acentrogobius caninus,fb,14.600000381469728,TRUE,popll
46432,acentrogobius dayi,fb,12,TRUE,popll
23585,acentrogobius pflaumii,fb,10.899999618530272,TRUE,popll
7849,acreichthys tomentosus,fb,14,TRUE,popll
7849,acreichthys tomentosus,fb,9.600000381469728,TRUE,popll
6503,aeoliscus strigatus,fb,11.399999618530272,TRUE,popll
12278,aequidens tetramerus,fb,11.350000381469728,TRUE,popll
6441,aethaloperca rogaa,fb,36.5,TRUE,popll
6441,aethaloperca rogaa,fb,11.100000381469728,TRUE,popll
10120,aetomylaeus nichofii,fb,92,TRUE,popll
53698,ageneiosus militaris,fb,31.5,TRUE,popll
53698,ageneiosus militaris,fb,28,TRUE,popll
36,agonus cataphractus,fb,12,TRUE,popll
24749,ailiichthys punctata,fb,10.079999923706056,TRUE,popll
58326,albula argentea,fb,44,TRUE,popll
11512,albula glossodonta,fb,62.70000076293945,TRUE,popll
228,albula vulpes,fb,70.19999694824219,TRUE,popll
228,albula vulpes,fb,65,TRUE,popll
65154,alburnoides idignensis,fb,7.619999885559082,TRUE,popll
65151,alburnoides petrubanarescui,fb,7.53000020980835,TRUE,popll
65224,alburnus adanensis,fb,10.399999618530272,TRUE,popll
55304,alburnus atropatenae,fb,6.510000228881836,TRUE,popll
55304,alburnus atropatenae,fb,12.5,TRUE,popll
52604,alburnus caeruleus,fb,7.099999904632568,TRUE,popll
52610,alburnus mossulensis,fb,10.100000381469728,TRUE,popll
52610,alburnus mossulensis,fb,11.25,TRUE,popll
61862,alburnus qalilus,fb,9.399999618530272,TRUE,popll
988,alectis ciliaris,fb,88,TRUE,popll
10,alectis indica,fb,28.200000762939453,TRUE,popll
1889,alepes djedaba,fb,22,TRUE,popll
230,alepocephalus bairdii,fb,75,TRUE,popll
5071,alepocephalus rostratus,fb,47.5,TRUE,popll
2534,alopias superciliosus,fb,371,TRUE,popll
2535,alopias vulpinus,fb,450,TRUE,popll
101,alosa alosa,fb,50,TRUE,popll
1576,alosa braschnikowi,fb,40,TRUE,popll
1576,alosa braschnikowi,fb,47,TRUE,popll
1577,alosa caspia,fb,28.899999618530273,TRUE,popll
1577,alosa caspia,fb,27.600000381469727,TRUE,popll
5355,alosa fallax,fb,42,TRUE,popll
1580,alosa kessleri,fb,45.70000076293945,TRUE,popll
1585,alosa saposchnikowii,fb,37.20000076293945,TRUE,popll
1585,alosa saposchnikowii,fb,38.099998474121094,TRUE,popll
46411,alticus kirkii,fb,8.199999809265137,TRUE,popll
6031,alticus saliens,fb,8.100000381469727,TRUE,popll
4274,aluterus monoceros,fb,46,TRUE,popll
3615,amatitlania nigrofasciata,fb,12,TRUE,popll
8016,ambassis natalensis,fb,6.800000190734863,TRUE,popll
3361,ambloplites rupestris,fb,16,TRUE,popll
15855,amblychaeturichthys hexanema,fb,17.399999618530273,TRUE,popll
5829,amblycirrhitus bimacula,fb,11.699999809265137,TRUE,popll
12694,amblyeleotris aurora,fb,8.399999618530273,TRUE,popll
13152,amblyeleotris diagonalis,fb,8.399999618530273,TRUE,popll
26635,amblyeleotris downingi,fb,13.399999618530272,TRUE,popll
7229,amblyeleotris fasciata,fb,7.199999809265137,TRUE,popll
7230,amblyeleotris fontanesii,fb,12.399999618530272,TRUE,popll
6671,amblyeleotris guttata,fb,9.899999618530272,TRUE,popll
11614,amblyeleotris gymnocephala,fb,7,TRUE,popll
6520,amblyeleotris japonica,fb,9.5,TRUE,popll
6520,amblyeleotris japonica,fb,8.399999618530273,TRUE,popll
47046,amblyeleotris latifasciata,fb,9.899999618530272,TRUE,popll
65196,amblyeleotris neglecta,fb,7.5,TRUE,popll
12697,amblyeleotris ogasawarensis,fb,7.099999904632568,TRUE,popll
7231,amblyeleotris periophthalma,fb,8.899999618530273,TRUE,popll
7232,amblyeleotris randalli,fb,8.399999618530273,TRUE,popll
7195,amblyeleotris steinitzi,fb,6.599999904632568,TRUE,popll
12699,amblyeleotris sungami,fb,9.100000381469728,TRUE,popll
26636,amblyeleotris triguttata,fb,9,TRUE,popll
7196,amblyeleotris wheeleri,fb,7.199999809265137,TRUE,popll
1501,amblygaster sirm,fb,12.699999809265137,TRUE,popll
1501,amblygaster sirm,fb,21.299999237060547,TRUE,popll
5690,amblyglyphidodon aureus,fb,14,TRUE,popll
5477,amblyglyphidodon curacao,fb,10.399999618530272,TRUE,popll
5477,amblyglyphidodon curacao,fb,5.400000095367432,TRUE,popll
