spec_code,species,db,length_max,in_spp_table,table
9,abalistes stellaris,fb,50,TRUE,poplw
9,abalistes stellaris,fb,53.5,TRUE,poplw
55143,abbottina obtusirostris,fb,10.9,TRUE,poplw
22903,abbottina rivularis,fb,18.9,TRUE,poplw
22903,abbottina rivularis,fb,7.8,TRUE,poplw
22903,abbottina rivularis,fb,8.48,TRUE,poplw
22903,abbottina rivularis,fb,14,TRUE,poplw
22903,abbottina rivularis,fb,12.7,TRUE,poplw
22903,abbottina rivularis,fb,11.7,TRUE,poplw
22903,abbottina rivularis,fb,10.4,TRUE,poplw
268,abramis brama,fb,38,TRUE,poplw
268,abramis brama,fb,59,TRUE,poplw
268,abramis brama,fb,35,TRUE,poplw
268,abramis brama,fb,36.3,TRUE,poplw
268,abramis brama,fb,32,TRUE,poplw
268,abramis brama,fb,30.5,TRUE,poplw
268,abramis brama,fb,45,TRUE,poplw
268,abramis brama,fb,53,TRUE,poplw
268,abramis brama,fb,39.7,TRUE,poplw
14737,abramites eques,fb,18.5,TRUE,poplw
6652,abudefduf abdominalis,fb,11.7,TRUE,poplw
6652,abudefduf abdominalis,fb,18.2,TRUE,poplw
6652,abudefduf abdominalis,fb,14.5,TRUE,poplw
11811,abudefduf hoefleri,fb,6.2,TRUE,poplw
1119,abudefduf saxatilis,fb,14.3,TRUE,poplw
1119,abudefduf saxatilis,fb,13,TRUE,poplw
1119,abudefduf saxatilis,fb,7,TRUE,poplw
1119,abudefduf saxatilis,fb,20.1,TRUE,poplw
5688,abudefduf sexfasciatus,fb,14.5,TRUE,poplw
5688,abudefduf sexfasciatus,fb,15,TRUE,poplw
5689,abudefduf sordidus,fb,19.3,TRUE,poplw
5689,abudefduf sordidus,fb,20.1,TRUE,poplw
6630,abudefduf vaigiensis,fb,11.5,TRUE,poplw
6630,abudefduf vaigiensis,fb,8.4,TRUE,poplw
6630,abudefduf vaigiensis,fb,17.9,TRUE,poplw
9626,abudefduf whitleyi,fb,21,TRUE,poplw
9626,abudefduf whitleyi,fb,15.5,TRUE,poplw
3708,acanthemblemaria aspera,fb,3,TRUE,poplw
46703,acanthemblemaria balanorum,fb,5.19,TRUE,poplw
46704,acanthemblemaria crockeri,fb,4.51,TRUE,poplw
57960,acanthistius pictus,fb,41.6,TRUE,poplw
52603,acanthobrama marmid,fb,28.6,TRUE,poplw
55292,acanthobrama persidis,fb,9.72,TRUE,poplw
10354,acanthocepola abbreviata,fb,16.8,TRUE,poplw
6655,acanthochromis polyacanthus,fb,10,TRUE,poplw
49224,acanthoclinus littoreus,fb,12.6,TRUE,poplw
12256,acanthocobitis botia,fb,7.746,TRUE,poplw
12256,acanthocobitis botia,fb,7.25,TRUE,poplw
12256,acanthocobitis botia,fb,14.87,TRUE,poplw
89,acanthocybium solandri,fb,176,TRUE,poplw
3832,acanthogobius flavimanus,fb,22.5,TRUE,poplw
3832,acanthogobius flavimanus,fb,15.3,TRUE,poplw
13045,acanthogobius hasta,fb,28.1,TRUE,poplw
23696,acanthogobius lactipes,fb,7.4,TRUE,poplw
7633,acantholabrus palloni,fb,23.5,TRUE,poplw
67314,acanthopagrus arabicus,fb,34.5,TRUE,poplw
8109,acanthopagrus australis,fb,32,TRUE,poplw
5526,acanthopagrus berda,fb,36.7,TRUE,poplw
5526,acanthopagrus berda,fb,38.2,TRUE,poplw
5526,acanthopagrus berda,fb,25.5,TRUE,poplw
67331,acanthopagrus datnia,fb,31.4,TRUE,poplw
6356,acanthopagrus latus,fb,29.3,TRUE,poplw
6356,acanthopagrus latus,fb,38.6,TRUE,poplw
6356,acanthopagrus latus,fb,40,TRUE,poplw
6356,acanthopagrus latus,fb,17.7,TRUE,poplw
65896,acanthopagrus pacificus,fb,36,TRUE,poplw
6531,acanthopagrus schlegelii,fb,28.7,TRUE,poplw
6531,acanthopagrus schlegelii,fb,45.7,TRUE,poplw
6531,acanthopagrus schlegelii,fb,52,TRUE,poplw
6583,acanthopagrus sivicolus,fb,51,TRUE,poplw
8836,acanthopsetta nadeshnyi,fb,42,TRUE,poplw
46831,acanthorhodeus chankaensis,fb,7.9,TRUE,poplw
46831,acanthorhodeus chankaensis,fb,10,TRUE,poplw
46831,acanthorhodeus chankaensis,fb,9.9,TRUE,poplw
4287,acanthostracion polygonius,fb,30,TRUE,poplw
4287,acanthostracion polygonius,fb,41.7,TRUE,poplw
4287,acanthostracion polygonius,fb,31,TRUE,poplw
92,acanthostracion quadricornis,fb,33,TRUE,poplw
92,acanthostracion quadricornis,fb,55,TRUE,poplw
92,acanthostracion quadricornis,fb,32,TRUE,poplw
92,acanthostracion quadricornis,fb,22.5,TRUE,poplw
4306,acanthurus achilles,fb,25,TRUE,poplw
4306,acanthurus achilles,fb,20.2,TRUE,poplw
68792,acanthurus bahianus,fb,12.8,FALSE,poplw
4750,acanthurus blochii,fb,34,TRUE,poplw
4750,acanthurus blochii,fb,37,TRUE,poplw
4750,acanthurus blochii,fb,38,TRUE,poplw
943,acanthurus chirurgus,fb,24.5,TRUE,poplw
