spec_code,species,db,length,length_female,common_length,common_length_f
64588,aapticheilichthys websteri,fb,3.0799999237060547,NA,NA,NA
16239,aaptosyax grypus,fb,130,NA,NA,NA
2347,abactochromis labrosus,fb,11.5,NA,NA,NA
62612,abalistes filamentosus,fb,32.5,24.299999237060547,NA,NA
9,abalistes stellaris,fb,60,NA,40,NA
58334,abalistes stellatus,fb,60,NA,NA,NA
55145,abbottina liaoningensis,fb,6.599999904632568,NA,NA,NA
55143,abbottina obtusirostris,fb,10.899999618530272,NA,NA,NA
22903,abbottina rivularis,fb,18.899999618530273,NA,NA,NA
8049,ablabys binotatus,fb,15,NA,NA,NA
69366,ablabys gymnothorax,fb,8.279999732971191,NA,NA,NA
25701,ablabys macracanthus,fb,20,NA,NA,NA
69367,ablabys pauciporus,fb,5.239999771118164,NA,NA,NA
10232,ablabys taenianotus,fb,15,NA,NA,NA
972,ablennes hians,fb,140,NA,70,NA
46918,aboma etheostoma,fb,3.4000000953674316,NA,NA,NA
67299,aborichthys cataracta,fb,9.260000228881836,NA,NA,NA
24516,aborichthys elongatus,fb,7.400000095367432,NA,NA,NA
24517,aborichthys garoensis,fb,8.949999809265137,NA,NA,NA
24523,aborichthys kempi,fb,8.100000381469727,NA,NA,NA
24524,aborichthys tikaderi,fb,10.899999618530272,NA,NA,NA
67300,aborichthys verticauda,fb,7.75,NA,NA,NA
67609,aborichthys waikhomi,fb,6.800000190734863,NA,NA,NA
268,abramis brama,fb,82,NA,25,NA
14737,abramites eques,fb,18.5,NA,NA,NA
10768,abramites hypselonotus,fb,14,NA,NA,NA
6652,abudefduf abdominalis,fb,30,NA,NA,NA
6517,abudefduf bengalensis,fb,17,NA,NA,NA
11793,abudefduf concolor,fb,19,NA,10,NA
55476,abudefduf conformis,fb,13.100000381469728,NA,NA,NA
55868,abudefduf declivifrons,fb,18,NA,NA,NA
11811,abudefduf hoefleri,fb,20,NA,NA,NA
5685,abudefduf lorenzi,fb,18,NA,NA,NA
11823,abudefduf margariteus,fb,16,NA,NA,NA
11825,abudefduf natalensis,fb,17,NA,NA,NA
69265,abudefduf nigrimargo,fb,9.1899995803833,11.949999809265137,NA,NA
5686,abudefduf notatus,fb,17,NA,NA,NA
1119,abudefduf saxatilis,fb,22.899999618530273,NA,15,NA
5687,abudefduf septemfasciatus,fb,23,NA,NA,NA
5688,abudefduf sexfasciatus,fb,19,NA,NA,NA
5689,abudefduf sordidus,fb,24,NA,NA,NA
8018,abudefduf sparoides,fb,16,NA,NA,NA
1120,abudefduf taurus,fb,25,NA,20,NA
8245,abudefduf troschelii,fb,20,NA,10,NA
6630,abudefduf vaigiensis,fb,20,NA,NA,NA
9626,abudefduf whitleyi,fb,14,NA,NA,NA
63844,abyssoberyx levisquamosus,fb,16.799999237060547,NA,NA,NA
17075,abyssobrotula galatheae,fb,16.5,NA,NA,NA
48040,abyssocottus gibbosus,fb,14,NA,NA,NA
47208,abyssocottus korotneffi,fb,12.600000381469728,13.199999809265137,NA,NA
14532,acanthaluteres brownii,fb,55,NA,NA,NA
51356,acanthaluteres spilomelanurus,fb,14,NA,NA,NA
14550,acanthaluteres vittiger,fb,35,NA,NA,NA
56310,acanthanectes hystrix,fb,3.5,NA,NA,NA
56311,acanthanectes rufus,fb,3.549999952316284,NA,NA,NA
12559,acanthaphritis barbata,fb,10,NA,NA,NA
59416,acanthaphritis ozawai,fb,10.800000190734863,NA,NA,NA
3357,acantharchus pomotis,fb,21,NA,14.050000190734863,NA
3708,acanthemblemaria aspera,fb,4,NA,NA,NA
60573,acanthemblemaria atrata,fb,3.200000047683716,3.1700000762939453,NA,NA
46703,acanthemblemaria balanorum,fb,5.190000057220459,NA,NA,NA
47263,acanthemblemaria betinensis,fb,4.300000190734863,NA,NA,NA
25510,acanthemblemaria castroi,fb,6,NA,NA,NA
3709,acanthemblemaria chaplini,fb,4.5,NA,NA,NA
46704,acanthemblemaria crockeri,fb,6,NA,NA,NA
46709,acanthemblemaria exilispinus,fb,5.5,NA,NA,NA
47265,acanthemblemaria greenfieldi,fb,3.5999999046325684,NA,NA,NA
46714,acanthemblemaria hancocki,fb,4.5,NA,NA,NA
65600,acanthemblemaria hastingsi,fb,5.099999904632568,4,NA,NA
55035,acanthemblemaria johnsoni,fb,2,NA,NA,NA
46717,acanthemblemaria macrospilus,fb,6,NA,NA,NA
60574,acanthemblemaria mangognatha,fb,3.0899999141693115,NA,NA,NA
16485,acanthemblemaria maria,fb,5.099999904632568,NA,NA,NA
27905,acanthemblemaria medusa,fb,4,NA,NA,NA
54806,acanthemblemaria paula,fb,1.7999999523162842,NA,NA,NA
47268,acanthemblemaria rivasi,fb,3,NA,NA,NA
16486,acanthemblemaria spinosa,fb,3.0999999046325684,NA,NA,NA
46725,acanthemblemaria stephensi,fb,5,NA,NA,NA
50683,acanthicus hypostominae,fb,20.600000381469727,NA,NA,NA
13268,acanthicus hystrix,fb,53,NA,NA,NA
351,acanthistius brasilianus,fb,60,NA,NA,NA
12690,acanthistius cinctus,fb,50,NA,NA,NA
59850,acanthistius fuscus,fb,40,NA,NA,NA
65330,acanthistius joanae,fb,14,NA,NA,NA
15036,acanthistius ocellatus,fb,45,NA,NA,NA
50141,acanthistius patachonicus,fb,31,NA,NA,NA
57960,acanthistius pictus,fb,47,NA,20,NA
7920,acanthistius sebastoides,fb,35,NA,NA,NA
15042,acanthistius serratus,fb,50,NA,NA,NA
52601,acanthobrama centisquama,fb,20.200000762939453,NA,NA,NA
4515,acanthobrama lissneri,fb,12,NA,8,NA
52603,acanthobrama marmid,fb,29,NA,NA,NA
48174,acanthobrama microlepis,fb,25,NA,NA,NA
67574,acanthobrama orontis,fb,15.600000381469728,NA,NA,NA
55292,acanthobrama persidis,fb,9.699999809265137,NA,NA,NA
26480,acanthobrama telavivensis,fb,11,NA,NA,NA
67573,acanthobrama thisbeae,fb,17.399999618530273,NA,NA,NA
48998,acanthobunocephalus nicoi,fb,1.9700000286102295,NA,NA,NA
10354,acanthocepola abbreviata,fb,30,NA,NA,NA
9216,acanthocepola indica,fb,35,NA,NA,NA
9215,acanthocepola krusensternii,fb,40,NA,NA,NA
