am_sid,comname,occur_cells,am_k,am_p,am_c,am_o,am_f,am_g,species.x,subspp,phylum,class,order,family,genus,species.y,d
slb-100710,NA,72,animalia,arthropoda,malacostraca,decapoda,xanthidae,xanthias,xanthias lamarcki,NA,arthropoda,malacostraca,decapoda,xanthidae,xanthias,xanthias lamarckii,1
slb-111670,NA,13,animalia,arthropoda,malacostraca,isopoda,cirolanidae,bathynomus,bathynomus doederleini,NA,arthropoda,malacostraca,isopoda,cirolanidae,bathynomus,bathynomus doederleinii,1
slb-112386,NA,14,animalia,mollusca,bivalvia,myoida,pholadidae,jouannetia,jouannetia cumingi,NA,mollusca,bivalvia,myida,pholadidae,jouannetia,jouannetia cumingii,1
slb-118854,NA,32,animalia,mollusca,gastropoda,neogastropoda,costellariidae,vexillum,vexillum deshayesi,NA,mollusca,gastropoda,neogastropoda,costellariidae,vexillum,vexillum deshayesii,1
its-95868,dog shrimp,12,animalia,arthropoda,malacostraca,decapoda,penaeidae,parapenaeopsis,parapenaeopsis hungerfordi,NA,arthropoda,malacostraca,decapoda,penaeidae,parapenaeopsis,parapenaeopsis hungerfordii,1
slb-128839,NA,63,animalia,mollusca,bivalvia,ostreoida,propeamussidae,propeamussium,propeamussium jeffreysi,NA,mollusca,bivalvia,pectinida,propeamussiidae,propeamussium,propeamussium jeffreysii,1
slb-156972,NA,31,animalia,porifera,demospongiae,halichondrida,axinellidae,ptilocaulis,ptilocaulis walpersi,NA,porifera,demospongiae,axinellida,axinellidae,ptilocaulis,ptilocaulis walpersii,1
slb-178262,pulmonate limpet,56,animalia,mollusca,gastropoda,basommatophora,siphonariidae,siphonaria,siphonaria lessoni,NA,mollusca,gastropoda,siphonariida,siphonariidae,siphonaria,siphonaria lessonii,1
pbd-223594,southern spider crab,67,animalia,arthropoda,malacostraca,decapoda,majidae,jacquinotia,jacquinotia edwardsi,NA,arthropoda,malacostraca,decapoda,majidae,jacquinotia,jacquinotia edwardsii,1
w-bch-209013,NA,19,animalia,arthropoda,malacostraca,decapoda,xanthidae,pseudoliomera,pseudoliomera helleri,NA,arthropoda,malacostraca,decapoda,xanthidae,pseudoliomera,pseudoliomera hellerii,1
slb-188856,mottled star,124,animalia,echinodermata,asteroidea,forcipulatida,asteriidae,evasterias,evasterias troscheli,NA,echinodermata,asteroidea,forcipulatida,asteriidae,evasterias,evasterias troschelii,1
slb-23431,NA,12,animalia,arthropoda,malacostraca,tanaidacea,pseudotanaidae,pseudotanais,pseudotanais lilljeborgi,NA,arthropoda,malacostraca,tanaidacea,pseudotanaidae,pseudotanais,pseudotanais lilljeborgii,1
w-oct-128528,NA,11,animalia,cnidaria,anthozoa,pennatulacea,protoptilidae,protoptilum,protoptilum thomsoni,NA,cnidaria,anthozoa,pennatulacea,protoptilidae,protoptilum,protoptilum thomsonii,1
slb-65046,NA,31,animalia,cnidaria,hydrozoa,siphonophorae,forskaliidae,forskalia,forskalia edwardsi,NA,cnidaria,hydrozoa,siphonophorae,forskaliidae,forskalia,forskalia edwardsii,1
slb-66264,NA,49,animalia,echinodermata,ophiuroidea,ophiurida,amphiuridae,amphiura,amphiura stimpsoni,NA,echinodermata,ophiuroidea,amphilepidida,amphiuridae,amphiura,amphiura stimpsonii,1
slb-71452,Reinhardt's cranch squid,477,animalia,mollusca,cephalopoda,teuthida,cranchiidae,liocranchia,liocranchia reinhardti,NA,mollusca,cephalopoda,oegopsida,cranchiidae,liocranchia,liocranchia reinhardtii,1
slb-72717,NA,42,animalia,mollusca,gastropoda,cephalaspidea,cylichnidae,cylichna,cylichna verrilli,NA,mollusca,gastropoda,cephalaspidea,cylichnidae,cylichna,cylichna verrillii,1
slb-86266,NA,12,animalia,porifera,demospongiae,hadromerida,clionaidae,cliona,cliona schmidti,NA,porifera,demospongiae,clionaida,clionaidae,cliona,cliona schmidtii,1
