orig_sciname,valid_name,aphia_id
abatus elongatus,abatus koehleri,569218
abietinaria amphora,abietinaria inconstans,285368
abietinaria costata,abietinaria inconstans,285368
abietinaria greenei,amphisbetia greenei,1358362
abietinaria thuiariodies,abietinaria thuiarioides,231757
abra kurodai,abra fujitai,293686
abra maxima,abra philippinensis,507228
abralia andamanica,abralia (heterabralia) andamanica,878666
abralia armata,abralia (abralia) armata,878653
abralia astrosticta,abralia (astrabralia) astrosticta,878661
abralia dubia,abralia (enigmoteuthis) dubia,878663
abralia fasciolata,abralia (enigmoteuthis) fasciolata,878664
abralia grimpei,abralia (pygmabralia) grimpei,878672
abralia heminuchalis,abralia (heterabralia) heminuchalis,878668
abralia marisarabica,abralia (enigmoteuthis) marisarabica,878665
abralia multihamata,abralia (abralia) multihamata,878654
abralia omiae,abralia (pygmabralia) omiae,878673
abralia redfieldi,abralia (pygmabralia) redfieldi,878674
abralia renschi,abralia (abralia) renschi,878655
abralia robsoni,abralia (heterabralia) robsoni,878669
abralia siedleckyi,abralia (heterabralia) siedleckyi,878670
abralia similis,abralia (pygmabralia) similis,878675
abralia spaercki,abralia (abralia) spaercki,878658
abra hainanensis,no match,NA
abra japonica,no match,NA
inquisitor rufovanicosus,inquisitor rufovaricosus,434082
inquisitor rufovaricosa,inquisitor rufovaricosus,434082
inquisitor subochracea,aguilaria subochracea,850699
inquisitor taivaricosus,inquisitor taivaricosa,434089
inquisitor varicosa,inquisitor varicosus,434091
inquisitor vexillum,ptychobela vexillium,1056672
ionella agassizi,ionella agassizii,260815
iophon abnormale,iophon abnormalis,175265
iophon pattersoni,iophon nigricans,132971
iothia coppingeri,iothia emarginuloides,567926
iothia radiata,piliscus commodus,141899
iotrochota abyssi,iotroata abyssi,133837
iotrochota acanthostylifera,iotroata acanthostylifera,133838
iotrochota magna,iotroata magna,133840
iphigenia brasiliana,iphigenia brasiliensis,420905
iphigenia rostrata,iphigenia laevigata,225450
iphionella elongata,eupanthalis elongata,333365
iphionella risensis,thermiphione risensis,1288749
iranocichla persa,iranocichla persa,1480118
iravadia mahimensis,pseudomerelina mahimensis,767231
iredalula venusta,iredalula alticincta,491035
iridoteuthis maoria,stoloteuthis maoria,410404
irus crenatus,irus crenatus,507716
iphione risensis,no match,NA
