orig_sciname,valid_name,aphia_id
acanthobrama microlepis,acanthobrama microlepis,1020219
acheilognathus asmussii,acheilognathus asmussii,1020529
acipenser dabryanus,acipenser dabryanus,410045
ameiurus natalis,ameiurus natalis,154201
ameiurus nebulosus,ameiurus nebulosus,154370
ameiurus platycephalus,ameiurus platycephalus,1021283
anabas cobojius,anabas cobojius,1026433
apistogramma caetei,apistogramma caetei,1012408
apistogramma eunotus,apistogramma eunotus,1012308
apistogramma hippolytae,apistogramma hippolytae,1012210
apistogramma meinkeni,apistogramma meinkeni,1383704
apistogramma rupununi,apistogramma rupununi,1525853
apistogramma steindachneri,apistogramma steindachneri,1013801
apistogramma trifasciata,apistogramma trifasciata,1018727
arripis georgiana,arripis georgianus,279692
australoheros facetus,australoheros facetus,1020668
barbodes semifasciolatus,barbodes semifasciolatus,1026350
barbus barbus,barbus barbus,154292
barbus ciscaucasicus,barbus ciscaucasicus,1020176
barbus meridionalis,barbus meridionalis,1022733
barbus plebejus,barbus plebejus,1022195
betta splendens,betta splendens,862539
brachyrhaphis episcopi,brachyrhaphis episcopi,1017438
brachyrhaphis hartwegi,brachyrhaphis hartwegi,1012460
brachyrhaphis rhabdophora,brachyrhaphis rhabdophora,1018212
holothuria scabra,holothuria (metriatyla) scabra,210813
hucho hucho,hucho hucho,1023062
hypostomus affinis,hypostomus affinis,1422382
hypostomus ancistroides,hypostomus ancistroides,1312590
hypostomus hermanni,hypostomus hermanni,1438498
hypostomus plecostomus,hypostomus plecostomus,862544
hypseleotris galii,hypseleotris galii,1369475
ictalurus punctatus,ictalurus punctatus,465537
labeo coubie,labeo coubie,1013812
labeo dussumieri,labeo dussumieri,1022166
labeo fimbriatus,labeo fimbriatus,1022460
labeo senegalensis,labeo senegalensis,1022161
lampetra aepyptera,lampetra aepyptera,1026288
lampetra planeri,lampetra planeri,148719
lampetra richardsoni,lampetra richardsoni,592841
lepomis auritus,lepomis auritus,151291
lepomis microlophus,lepomis microlophus,1042661
lethenteron alaskense,lethenteron alaskense,1012536
lethenteron appendix,lethenteron appendix,845581
lethenteron kessleri,lethenteron kessleri,1018532
lethenteron reissneri,lethenteron reissneri,298381
lethenteron zanandreai,lethenteron zanandreai,1524939
limia perugiae,limia perugiae,1018425
lucania goodei,lucania goodei,422558
macquaria ambigua,macquaria ambigua,1020364
macquaria australasica,macquaria australasica,991274
macrobrachium ohione,macrobrachium ohione,421686
macrobrachium vollenhovenii,macrobrachium vollenhoveni,240834
mazarunia mazarunii,mazarunia mazarunii,1011392
melanotaenia eachamensis,melanotaenia eachamensis,991275
melanotaenia splendida,melanotaenia splendida,991277
menidia extensa,menidia extensa,1014365
mobula japanica,mobula mobular,105858
mordacia praecox,mordacia praecox,1008377
morone chrysops,morone chrysops,422560
moxostoma valenciennesi,moxostoma valenciennesi,1015875
mystus tengara,mystus tengara,1022781
nannoperca australis,nannoperca australis,1020006
