orig_sciname,valid_name,aphia_id
abralia andamanica,abralia (heterabralia) andamanica,878666
abralia armata,abralia (abralia) armata,878653
abralia astrosticta,abralia (astrabralia) astrosticta,878661
abralia dubia,abralia (enigmoteuthis) dubia,878663
abralia fasciolata,abralia (enigmoteuthis) fasciolata,878664
abralia grimpei,abralia (pygmabralia) grimpei,878672
abralia heminuchalis,abralia (heterabralia) heminuchalis,878668
abralia marisarabica,abralia (enigmoteuthis) marisarabica,878665
abralia multihamata,abralia (abralia) multihamata,878654
abralia redfieldi,abralia (pygmabralia) redfieldi,878674
abralia renschi,abralia (abralia) renschi,878655
abralia robsoni,abralia (heterabralia) robsoni,878669
abralia siedleckyi,abralia (heterabralia) siedleckyi,878670
abralia similis,abralia (pygmabralia) similis,878675
abralia spaercki,abralia (abralia) spaercki,878658
abralia steindachneri,abralia (abralia) steindachneri,878659
abralia trigonura,abralia (heterabralia) trigonura,878671
abralia veranyi,abralia (asteroteuthis) veranyi,878660
abraliopsis affinis,abraliopsis (pfefferiteuthis) affinis,878690
abraliopsis atlantica,abraliopsis (pfefferiteuthis) atlantica,878697
abraliopsis chuni,abraliopsis (pfefferiteuthis) chuni,878698
abraliopsis falco,abraliopsis (pfefferiteuthis) falco,878699
abraliopsis felis,abraliopsis (boreabraliopsis) felis,878691
abraliopsis hoylei,abraliopsis (abraliopsis) hoylei,878682
abraliopsis lineata,abraliopsis (micrabralia) lineata,878685
carditamera floridana,cardites floridanus,504861
cardium ringens,bucardium ringens,225595
careliopsis clathratula,careliopsis clathratula,532556
caribachlamys imbricata,caribachlamys pellucens,393708
carinaria challengeri,carinaria pseudorugosa,181016
carinoma griffini,carinoma mutabilis,146917
caryocorbula cymella,corbula dietziana,505839
caryocorbula dietziana,corbula dietziana,505839
caryophyllia communis,caryophyllia (caryophyllia) smithii,135144
caryophyllia lamellifera,caryophyllia (caryophyllia) lamellifera,286751
caspiomyzon graecus,caspiomyzon graecus,1525063
caspiomyzon hellenicus,caspiomyzon hellenicus,1524182
catablema nodulosa,catablema vesicarium nodulosum,1245272
cataegis meroglypta,kanoia meroglypta,890233
catathyridium grandirivi,catathyridium grandirivi,1525509
catathyridium jenynsii,catathyridium jenynsii,1017166
catathyridium lorentzii,catathyridium lorentzii,1020225
cathorops agassizii,cathorops agassizii,990454
cathorops arenatus,cathorops arenatus,1022317
cathorops liropus,cathorops liropus,1019232
cathorops melanopus,cathorops melanopus,422546
cathorops taylori,cathorops taylori,314016
catostomus ardens,catostomus ardens,1006872
catostomus bernardini,catostomus bernardini,1021390
caryocorbula tarasconii,no match,NA
acrossocheilus malacopterus,acrossocheilus malacopterus,1009128
acrossocheilus monticola,acrossocheilus monticola,1019755
acrossocheilus multistriatus,acrossocheilus multistriatus,1007090
acrossocheilus paradoxus,acrossocheilus paradoxus,1016878
acrossocheilus parallens,acrossocheilus parallens,1015804
acrossocheilus rendahli,acrossocheilus rendahli,1015803
acrossocheilus spinifer,acrossocheilus spinifer,1008996
acrossocheilus wuyiensis,acrossocheilus wuyiensis,1008657
acrossocheilus xamensis,acrossocheilus xamensis,1010211
acrossocheilus yunnanensis,acrossocheilus yunnanensis,1018631
acteocina bidentata,cylichnella bidentata,420538
acteon elongatus,acteon fasuloi,1023789
acteon elongatus,crenilabium elongatum,1023790
acteon elongatus,sulcoactaeon elongatus,1498505
acteon exiguus,acteon exiguus,532278
acteon hebes,acteon hebes,532347
acteon juvenis,acteon juvenis,532348
acteon lacunatus,acteon lacunatus,532349
acteon parallelus,acteon parallelus,532350
