orig_sciname,valid_name,aphia_id
acheilognathus asmussii,acheilognathus asmussii,1020529
acipenser dabryanus,acipenser dabryanus,410045
alburnoides taeniatus,alburnoides taeniatus,1020428
alburnus albidus,alburnus albidus,1022107
alburnus arborella,alburnus arborella,1022963
alburnus mento,alburnus mento,1022556
alburnus scoranza,alburnus scoranza,1021367
alburnus scoranza,alburnus alburnus,154285
alosa agone,alosa agone,416357
alosa macedonica,alosa macedonica,1016838
ambassis macleayi,ambassis macleayi,991184
ameiurus melas,ameiurus melas,154205
ameiurus natalis,ameiurus natalis,154201
ameiurus nebulosus,ameiurus nebulosus,154370
aphanius baeticus,aphanius baeticus,1009786
apistogramma juruensis,apistogramma juruensis,1383818
arripis georgiana,arripis georgianus,279692
australoheros facetus,australoheros facetus,1020668
barbus barbus,barbus barbus,154292
barbus caninus,barbus caninus,1022196
barbus carpathicus,barbus carpathicus,1009767
barbus ciscaucasicus,barbus ciscaucasicus,1020176
barbus cyclolepis,barbus cyclolepis,1015365
barbus cyri,barbus cyri,1020170
barbus haasi,barbus haasi,1525641
barbus peloponnesius,barbus peloponnesius,1021655
lates angustifrons,lates angustifrons,1018405
lates mariae,lates mariae,1017918
lates microlepis,lates microlepis,1019150
lates niloticus,lates niloticus,218165
lates stappersii,lates stappersii,1525847
lethenteron alaskense,lethenteron alaskense,1012536
lethenteron appendix,lethenteron appendix,845581
lethenteron zanandreai,lethenteron zanandreai,1524939
leuciscus baicalensis,leuciscus baicalensis,1020385
leuciscus waleckii,leuciscus waleckii,1026693
lobatus gigas,aliger gigas,1429769
luciobarbus albanicus,luciobarbus albanicus,1020634
luciobarbus bocagei,luciobarbus bocagei,474117
luciobarbus graellsii,luciobarbus graellsii,1020876
luciobarbus sclateri,luciobarbus sclateri,1020754
macquaria ambigua,macquaria ambigua,1020364
macquaria australasica,macquaria australasica,991274
melanotaenia fluviatilis,melanotaenia fluviatilis,1423106
melanotaenia splendida,melanotaenia splendida,991277
merluccius gayi gayi,merluccius gayi gayi,272453
microphysogobio tungtingensis,microphysogobio tungtingensis,1016279
morone chrysops,morone chrysops,422560
moxostoma valenciennesi,moxostoma valenciennesi,1015875
nannoperca vittata,nannoperca vittata,1020471
neogobius pallasi,neogobius pallasi,1525806
neosalanx pseudotaihuensis,neosalanx pseudotaihuensis,1011620
neosalanx taihuensis,neosalanx taihuensis,1013993
notropis atherinoides,notropis atherinoides,567536
notropis bifrenatus,notropis bifrenatus,888531
oreochromis esculentus,oreochromis esculentus,1016104
oreochromis lidole,oreochromis lidole,1014813
oreochromis macrochir,oreochromis macrochir,298252
oreochromis saka,oreochromis saka,1014123
oreochromis squamipinnis,oreochromis squamipinnis,1420555
oryzias sinensis,oryzias sinensis,1011586
parachromis dovii,parachromis dovii,1021035
pelteobagrus ussuriensis,pelteobagrus ussuriensis,1020532
percina sciera,percina sciera,1425019
plagioscion squamosissimus,plagioscion squamosissimus,990098
prosopium coulterii,prosopium coulterii,567545
pseudoplatystoma fasciatum,pseudoplatystoma fasciatum,874261
rhinogobius cliffordpopei,rhinogobius cliffordpopei,1026665
rhodeus amarus,rhodeus amarus,154331
rhodeus sericeus,rhodeus sericeus,154613
rhynchocypris percnurus,rhynchocypris percnurus,1026590
ruditapes philippinarum,ruditapes philippinarum,231750
rutilus pigus,rutilus pigus,1022095
sabanejewia larvata,sabanejewia larvata,1019953
salmo carpio,salmo carpio,1016172
potamocorbula ustulata,no match,NA
salmo cenerinus,salmo cenerinus,1021925
salmo ezenami,salmo ezenami,1014307
salmo letnica,salmo letnica,1016491
salmo marmoratus,salmo marmoratus,1019650
salmo rhodanensis,salmo rhodanensis,1524377
salvelinus lepechini,salvelinus lepechini,306104
salvelinus murta,salvelinus murta,1018200
salvelinus namaycush,salvelinus namaycush,567548
salvelinus thingvallensis,salvelinus thingvallensis,1014932
salvelinus umbla,salvelinus umbla,1023059
scaphirhynchus albus,scaphirhynchus albus,1425016
scaphirhynchus platorynchus,scaphirhynchus platorynchus,1022840
scardinius acarnanicus,scardinius acarnanicus,1011253
scardinius hesperidicus,scardinius hesperidicus,307446
silurus aristotelis,silurus aristotelis,1287492
silurus asotus,silurus asotus,1018214
silurus soldatovi,silurus soldatovi,1014293
silurus triostegus,silurus triostegus,1022128
siniperca chuatsi,siniperca chuatsi,1021545
squalidus chankaensis,squalidus chankaensis,298275
squalius aphipsi,squalius aphipsi,1016197
squalius ghigii,squalius ghigii,1016204
squalius moreoticus,squalius moreoticus,1013155
squalius peloponensis,squalius peloponensis,1022101
squalius pyrenaicus,squalius pyrenaicus,1020756
squalius squalus,squalius squalus,1022562
tachysurus fulvidraco,tachysurus fulvidraco,1022007
thymallus arcticus,thymallus arcticus,254571
thymallus brevirostris,thymallus brevirostris,1020060
thymallus grubii,thymallus grubii,293751
tylochromis bangwelensis,tylochromis bangwelensis,1016873
uca cumulanta,leptuca cumulanta,955222
uca rapax,minuca rapax,955271
uca vocator,minuca vocator,955275
uroteuthis duvaucelii,uroteuthis (photololigo) duvaucelii,574517
xenocypris macrolepis,xenocypris macrolepis,1015911
xiphophorus maculatus,xiphophorus maculatus,862549
xiphophorus nezahualcoyotl,xiphophorus nezahualcoyotl,1011405
zidona dufresnei,zidona dufresnii,382412
barbus plebejus,barbus plebejus,1022195
barbus strumicae,barbus strumicae,1524952
barbus tyberinus,barbus tyberinus,1021675
barbus waleckii,barbus waleckii,1524481
benthophilus macrocephalus,benthophilus macrocephalus,298195
brachyplatystoma rousseauxii,brachyplatystoma rousseauxii,1021508
catostomus platyrhynchus,catostomus platyrhynchus,592848
channa argus,channa argus,594763
charybdis hellerii,charybdis (charybdis) hellerii,107382
chlamydogobius eremius,chlamydogobius eremius,1019285
chondrostoma kubanicum,chondrostoma kubanicum,1525860
chondrostoma nasus,chondrostoma nasus,154585
chondrostoma oxyrhynchum,chondrostoma oxyrhynchum,1017251
chondrostoma prespense,chondrostoma prespense,1016505
chondrostoma regium,chondrostoma regium,1418527
chondrostoma soetta,chondrostoma soetta,1022106
cirrhinus molitorella,cirrhinus molitorella,1026709
clarias agboyiensis,clarias agboyiensis,1012443
clarias gariepinus,clarias gariepinus,888192
clupea pallasii pallasii,clupea pallasii pallasii,293568
clupeonella abrau,clupeonella abrau,1015924
cobitis bilineata,cobitis bilineata,1019946
cobitis calderoni,cobitis calderoni,1013670
cobitis paludica,cobitis paludica,1014050
cobitis taenia,cobitis taenia,154373
corallium secundum,pleurocorallium secundum,1311288
coregonus atterensis,coregonus atterensis,1010629
coregonus candidus,coregonus candidus,1019885
coregonus danneri,coregonus danneri,1526074
coregonus fontanae,coregonus fontanae,1009607
coregonus hoyi,coregonus hoyi,1049459
coregonus kiletz,coregonus kiletz,1470240
