orig_sciname,valid_name,aphia_id
abyssianira acutiloba,abyssianira acutilobi,258631
abyssorchomene plebs,pseudorchomene plebs,597786
abyssorchomene rossi,pseudorchomene rossi,597787
acanthaxius spinosissimus,guyanacaris spinosissima,1461439
acanthomysis hwanhaiensis,orientomysis hwanhaiensis,446753
acanthomysis latiscauda,notacanthomysis laticauda,226608
acanthomysis longicauda,orientomysis rotundicauda,446760
acanthomysis sinensis,hyperacanthomysis brevirostris,226325
acanthomysis strauchi,paramysis (metamysis) ullskyi,120164
aceroides latipes,aceroides (aceroides) latipes,102866
acetes australis,acetes sibogae australis,377692
acheilognathus asmussii,acheilognathus asmussii,1020529
acheilognathus barbatulus,acheilognathus barbatulus,1014925
acheilognathus barbatus,acheilognathus barbatus,1016229
acheilognathus cyanostigma,acheilognathus cyanostigma,1017837
acheilognathus deignani,acheilognathus deignani,1014434
acheilognathus elongatus,acheilognathus elongatus,1017027
acheilognathus gracilis,acheilognathus gracilis,1013567
acheilognathus hondae,acheilognathus hondae,1525907
acheilognathus hypselonotus,acheilognathus hypselonotus,1020565
acheilognathus imberbis,acheilognathus imberbis,1421319
acheilognathus longipinnis,acheilognathus longipinnis,1526167
acheilognathus macromandibularis,acheilognathus macromandibularis,1010290
acheilognathus meridianus,acheilognathus meridianus,1014923
acheilognathus microphysa,acheilognathus microphysa,1523901
cycethra frigida,cycethra frigida,291666
cyclocoeloma tuberculata,cyclocoeloma tuberculatum,1433826
cymadusa mauritiensis,cymadusa crassicornis,102006
cymodoce multidens,oxinasphaera multidens,261715
cymodoce spinula,cymodoce manorii,873998
cymodoce tripartita,oxinasphaera tripartita,261722
cymodocella magna,ischyromene magna,211383
cymodopsis montis,exosphaeroma montis,260125
cynodonichthys tenuis,cynodonichthys tenuis,1018561
cynodonichthys uroflammeus,cynodonichthys uroflammeus,1012449
cynoglossus feldmanni,cynoglossus feldmanni,1026886
cynoglossus heterolepis,cynoglossus heterolepis,1017814
cynoglossus kapuasensis,cynoglossus kapuasensis,1018496
cynoglossus microlepis,cynoglossus microlepis,1020152
cynoglossus waandersii,cynoglossus waandersii,1021637
cyprinodon albivelis,cyprinodon albivelis,1009835
cyprinodon alvarezi,cyprinodon alvarezi,1383664
cyprinodon arcuatus,cyprinodon arcuatus,1009787
cyprinodon atrorus,cyprinodon atrorus,1383621
cyprinodon beltrani,cyprinodon beltrani,1014261
cyprinodon bifasciatus,cyprinodon bifasciatus,1013298
cyprinodon bovinus,cyprinodon bovinus,1021646
cyprinodon ceciliae,cyprinodon ceciliae,1384046
cyprinodon dearborni,cyprinodon dearborni,1015000
cymodocella bicolor,no match,NA
aerothyris kerguelenensis,aerothyris kerguelensis,235688
agathotanais spinopoda,agathotanais spinipoda,247405
aidanosagitta acinacis,aidanosagitta acinacis,406020
