orig_sciname,valid_name,aphia_id
abralia astrosticta,abralia (astrabralia) astrosticta,878661
abralia heminuchalis,abralia (heterabralia) heminuchalis,878668
abraliopsis hoylei,abraliopsis (abraliopsis) hoylei,878682
acantopsis dialuzona,acantopsis dialuzona,1022744
acartia pacifica,acartia (odontacartia) pacifica,346059
acheilognathus majusculus,acheilognathus majusculus,1384133
acipenser dabryanus,acipenser dabryanus,410045
alburnoides taeniatus,alburnoides taeniatus,1020428
alburnus belvica,alburnus belvica,1016500
alosa macedonica,alosa macedonica,1016838
ambassis agassizii,ambassis agassizii,991181
ambassis macleayi,ambassis macleayi,991184
ameiurus melas,ameiurus melas,154205
ameiurus natalis,ameiurus natalis,154201
ameiurus nebulosus,ameiurus nebulosus,154370
amniataba percoides,amniataba percoides,991187
amphilochus neapolitanus,apolochus neapolitanus,236495
amphilophus citrinellus,amphilophus citrinellus,991188
amphilophus labiatus,amphilophus labiatus,1018306
amphilophus lyonsi,amphilophus lyonsi,1013437
anomalocardia brasiliana,anomalocardia flexuosa,215265
antarctomysis ohlini,antarctomysis ohlinii,226769
aphanius mento,aphanius mento,1022156
aphanius vladykovi,aphanius vladykovi,1011759
anous minutus tenuirostris,no match,NA
channa lucius,channa lucius,1016705
channa maculata,channa maculata,743356
channa marulius,channa marulius,1026844
channa melasoma,channa melasoma,1021783
channa micropeltes,channa micropeltes,743381
charybdis bimaculata,charybdis (gonioneptunus) bimaculata,442874
charybdis hellerii,charybdis (charybdis) hellerii,107382
charybdis japonica,charybdis (charybdis) japonica,208836
cheilopogon pinnatibarbatus japonicus,cheilopogon pinnatibarbatus japonicus,293564
cheilopogon pinnatibarbatus melanocercus,cheilopogon pinnatibarbatus melanocercus,293563
cheilopogon pinnatibarbatus pinnatibarbatus,cheilopogon pinnatibarbatus pinnatibarbatus,293562
chetia brevis,chetia brevis,1013297
chiloglanis anoterus,chiloglanis anoterus,1013772
chiloglanis asymetricaudalis,chiloglanis asymetricaudalis,1011027
chiloglanis bifurcus,chiloglanis bifurcus,1013241
chiloglanis emarginatus,chiloglanis emarginatus,1013224
chiloglanis fasciatus,chiloglanis fasciatus,1015140
chiloglanis neumanni,chiloglanis neumanni,1383143
chiloglanis pretoriae,chiloglanis pretoriae,1015765
chiloglanis swierstrai,chiloglanis swierstrai,1013809
chilomycterus spinosus mauretanicus,chilomycterus mauretanicus,1524912
chiridotea caeca,chiridotea coeca,157842
chiromantes ortmanni,cristarma ortmanni,1472860
chiton peregrinus,rhyssoplax peregrina,1392826
chlamydogobius eremius,chlamydogobius eremius,1019285
chlamydogobius gloveri,chlamydogobius gloveri,1010862
chlamys farreri,azumapecten farreri,393321
chlidonias hybrida,chlidonias hybrida,137135
chlidonias leucopterus,chlidonias leucopterus,137136
chondrostoma cyri,chondrostoma cyri,1383092
chondrostoma nasus,chondrostoma nasus,154585
chondrostoma prespense,chondrostoma prespense,1016505
chondrostoma soetta,chondrostoma soetta,1022106
chone collaris,dialychone collaris,882442
chromodoris annulata,goniobranchus annulatus,597348
chromodoris baumanni,felimida baumanni,597395
chromodoris dalli,chromolaichma dalli,558507
chromodoris obsoleta,goniobranchus obsoletus,597365
chrysichthys brachynema,chrysichthys brachynema,1018954
chrysichthys helicophagus,chrysichthys helicophagus,1012772
chrysichthys longipinnis,chrysichthys longipinnis,1016733
chrysichthys maurus,chrysichthys maurus,581698
chrysichthys nigrodigitatus,chrysichthys nigrodigitatus,581699
chrysichthys walkeri,chrysichthys walkeri,1019038
cichla intermedia,cichla intermedia,1013126
cichla monoculus,cichla monoculus,1014783
cichla orinocensis,cichla orinocensis,1022807
cichla temensis,cichla temensis,1015785
cinetodus carinatus,cinetodus carinatus,1017444
chlamys delicatula,no match,NA
cinetodus crassilabris,cinetodus crassilabris,1019818
cirrhinus microlepis,cirrhinus microlepis,1019851
cirrhinus molitorella,cirrhinus molitorella,1026709
citharichthys uhleri,citharichthys uhleri,422563
clarias alluaudi,clarias alluaudi,1017810
clarias angolensis,clarias angolensis,1013592
clarias anguillaris,clarias anguillaris,581700
clarias brachysoma,clarias brachysoma,1020967
clarias buthupogon,clarias buthupogon,1014338
clarias camerunensis,clarias camerunensis,1013591
clarias cavernicola,clarias cavernicola,1015147
clarias dussumieri,clarias dussumieri,1022293
clarias ebriensis,clarias ebriensis,1015027
clarias fuscus,clarias fuscus,1022031
clarias gabonensis,clarias gabonensis,1014734
clarias gariepinus,clarias gariepinus,888192
clarias liocephalus,clarias liocephalus,1014639
clarias maclareni,clarias maclareni,1013683
clarias platycephalus,clarias platycephalus,1018795
clarias stappersii,clarias stappersii,1017160
clarias teijsmanni,clarias teijsmanni,1021368
clarias theodorae,clarias theodorae,1017218
clarias werneri,clarias werneri,1018406
clupea pallasii pallasii,clupea pallasii pallasii,293568
cirriformia dasylophia,no match,NA
clupeoides papuensis,clupeoides papuensis,1014814
clupeoides venulosus,clupeoides venulosus,1017555
clupeonella abrau,clupeonella abrau,1015924
cobitis meridionalis,cobitis meridionalis,1016499
cobitis paludica,cobitis paludica,1014050
cochlefelis spatula,cochlefelis spatula,1019815
colomesus asellus,colomesus asellus,1428141
corbula gibba,varicorbula gibba,378492
coregonus chadary,coregonus chadary,1020664
coregonus hoyi,coregonus hoyi,1049459
coregonus kiyi,coregonus kiyi,1016849
coregonus macrophthalmus,coregonus macrophthalmus,1019928
coregonus nelsonii,coregonus nelsonii,567526
coregonus nigripinnis,coregonus nigripinnis,1307269
coregonus nilssoni,coregonus nilssoni,1021910
coregonus pollan,coregonus pollan,1022580
coregonus reighardi,coregonus reighardi,1016527
coregonus wartmanni,coregonus wartmanni,1023011
coregonus zenithicus,coregonus zenithicus,567528
coreoperca kawamebari,coreoperca kawamebari,1022148
corophium bonelli,crassicorophium bonellii,237004
cottocomephorus alexandrae,cottocomephorus alexandrae,1015298
cottus bairdii,cottus bairdii,578660
cottus confusus,cottus confusus,592852
cottus rhotheus,cottus rhotheus,592854
cottus ricei,cottus ricei,564966
coullana canadensis,canuella canadensis,349947
crassostrea gigas,magallana gigas,836033
crassostrea madrasensis,magallana bilineata,836036
crassostrea sikamea,magallana sikamea,836041
craterocephalus dalhousiensis,craterocephalus dalhousiensis,1012886
craterocephalus helenae,craterocephalus helenae,1011672
craterocephalus marjoriae,craterocephalus marjoriae,1014294
craterocephalus stercusmuscarum,craterocephalus stercusmuscarum,991207
craterocephalus stramineus,craterocephalus stramineus,1524999
cronia margariticola,drupella margariticola,576817
crossocheilus cobitis,crossocheilus cobitis,1014421
crossocheilus oblongus,crossocheilus oblongus,1014423
crossocheilus reticulatus,crossocheilus reticulatus,1015369
cubanichthys pengelleyi,cubanichthys pengelleyi,1525262
cultellus pellucidus,phaxas pellucidus,140737
cuthona albocrusta,trinchesia albocrusta,1037416
cuthona viridis,diaphoreolis viridis,1036948
cyanea lamarcki,cyanea lamarckii,135302
