chi_tot,chi_cst,range_tot_km2,range_cst_km2,species,chi_tot_rel,chi_cst_rel
488429.76869831304,488429.76869831304,2314132.76,2314132.76,aaptos aaptos,0.2110638495512734,0.2110638495512734
312003.3837028562,312003.3837028562,1773097.98,1773097.98,aaptos bergmanni,0.17596511147277727,0.17596511147277727
347769.2191255975,347769.2191255975,2021538.7,2021538.7,aaptos duchassaingi,0.17203193741757083,0.17203193741757083
378767.5454998547,378767.5454998547,2209599.39,2209599.39,aaptos pernucleata,0.17141910303471558,0.17141910303471558
700807.3174402993,700807.3174402993,5555723.6,5555723.6,aaptos suberitoides,0.12614150161111315,0.12614150161111315
977951.1203356046,977951.1203356046,4419872.25,4419872.25,aatolana schioedtei,0.22126230465950789,0.22126230465950789
2406286.0423107026,2406286.0423107026,8831548.04,8831548.04,abalistes filamentosus,0.2724648081414618,0.2724648081414618
4021794.765518335,4021794.765518335,13659453.12,13659453.12,abalistes stellaris,0.29443307357815623,0.29443307357815623
3833778.736526496,3647688.5209874827,13790469.53,13094419.32,abalistes stellatus,0.2780020454116109,0.2785681771635432
1378448.1404456124,1378448.1404456124,4620499.44,4620499.44,abdopus aculeatus,0.2983331473892814,0.2983331473892814
586970.5894631341,586970.5894631341,1940783.5,1940783.5,abdopus horridus,0.3024400142845063,0.3024400142845063
1797497.303475449,1797497.303475449,9741750.83,9741750.83,ablabys taenianotus,0.18451481000109393,0.18451481000109393
3767876.16906239,3767876.16906239,11565169.64,11565169.64,ablennes hians,0.3257951492583891,0.3257951492583891
221465.06429387646,221465.06429387646,788770.03,788770.03,abra aequalis,0.280772666139301,0.280772666139301
2010034.970951783,1706623.1572547446,5309295.49,4430421.89,abra alba,0.3785878888710681,0.38520556272683654
1491555.0878289768,1395671.3776463752,5247353.34,4856910.79,abra lioica,0.28424902825944953,0.2873578366973414
2908482.6523105735,2908482.6523105735,11816829.47,11816829.47,abralia andamanica,0.24613054285792052,0.24613054285792052
1437321.0599992676,1190134.6608829182,6853626.45,5679528.45,abralia astrosticta,0.20971686602488637,0.20954814670977098
68282.10863891138,65407.62060323444,382394.19,364333.89,abralia heminuchalis,0.17856471260431905,0.17952658920429948
3563106.1227473337,2752528.118557464,11077640.01,8436045.95,abralia redfieldi,0.32164848465294493,0.32628178353597803
3662343.581460705,2853215.99073155,11169766.48,8403654.48,abralia veranyi,0.327880049060856,0.33952085935017523
4176884.5256461864,3036030.8060158067,13413629.04,9511044.38,abraliopsis atlantica,0.3113910868707151,0.31921108605065796
316501.82657730696,316501.82657730696,931051.66,931051.66,abraliopsis felis,0.33994013455419536,0.33994013455419536
6829327.566899987,4394234.535778866,26103357.13,16313058.94,abraliopsis hoylei,0.26162640816231236,0.2693691325422788
2492343.023849973,597890.7770576271,11483646.74,1775842.83,abraliopsis morisii,0.21703410774284868,0.3366800073504405
37221.92431626119,37221.92431626119,146871.17,146871.17,abudefduf abdominalis,0.2534324763414167,0.2534324763414167
1125839.3532838908,1125839.3532838908,5440224.04,5440224.04,abudefduf bengalensis,0.20694724059266698,0.20694724059266698
136333.18605783384,136333.18605783384,543191.41,543191.41,abudefduf concolor,0.2509855339167345,0.2509855339167345
82840.11593414862,82840.11593414862,297363.83,297363.83,abudefduf declivifrons,0.2785816820228224,0.2785816820228224
812992.207410238,812992.207410238,4373138.16,4373138.16,abudefduf lorenzi,0.18590590501952903,0.18590590501952903
1787044.6045558497,1787044.6045558497,8511011.81,8511011.81,abudefduf notatus,0.2099685260048828,0.2099685260048828
717387.4693366351,717387.4693366351,3280873.3,3280873.3,abudefduf saxatilis,0.21865747431838808,0.21865747431838808
1449926.6914990596,1449926.6914990596,6995367.54,6995367.54,abudefduf septemfasciatus,0.2072695513435538,0.2072695513435538
2150425.112388437,2150425.112388437,10224310.06,10224310.06,abudefduf sexfasciatus,0.21032471626632546,0.21032471626632546
1645073.7470846588,1645073.7470846588,7829467.55,7829467.55,abudefduf sordidus,0.21011310623347035,0.21011310623347035
139302.69579098342,139302.69579098342,691409.43,691409.43,abudefduf sparoides,0.20147641866988045,0.20147641866988045
454547.71967558586,454547.71967558586,1948000.86,1948000.86,abudefduf taurus,0.2333406155044438,0.2333406155044438
156267.58614540627,156267.58614540627,605710.4400000001,605710.4400000001,abudefduf troschelii,0.25799057738778,0.25799057738778
2252255.400460439,2252255.400460439,10578002.89,10578002.89,abudefduf vaigiensis,0.21291877340945203,0.21291877340945203
168794.75351945075,168794.75351945075,934698.09,934698.09,abudefduf whitleyi,0.18058745955012143,0.18058745955012143
47274475.228968255,560956.7937552283,250648515.33999997,3078493.84,abyssobrotula galatheae,0.1886086385344885,0.182217936078517
284385.1012700233,168116.48242936938,1613924.09,981379.65,abyssorchomene nodimanus,0.17620723492021445,0.17130626504163743
3693952.8169349404,1018189.99658162,12247958.32,3008142.03,acanella arbuscula,0.30159743529686833,0.3384780327615116
0,0,2007489.63,1446771.33,acanthacaris caeca,0,0
0,0,15070253.92,5073447.98,acanthacaris tenuimana,0,0
105486.2372368449,105486.2372368449,339193.49,339193.49,acanthaluteres brownii,0.3109913378256313,0.3109913378256313
227874.70613550677,227874.70613550677,693126.48,693126.48,acanthaluteres spilomelanurus,0.3287635268753645,0.3287635268753645
199183.62886119893,199183.62886119893,597017.3,597017.3,acanthaluteres vittiger,0.333631251324206,0.333631251324206
632846.31240771,632846.31240771,3908081.82,3908081.82,acanthaphritis barbata,0.16193271828881772,0.16193271828881772
403236.2867836179,399260.1513303494,2819257.74,2792436.83,acanthaphritis grandisquamis,0.14302923817941451,0.14297911667722465
0,0,3743194.09,3743194.09,acantharctus ornatus,0,0
4072341.468434244,4072341.468434244,15006541.26,15006541.26,acanthaster planci,0.2713710906382597,0.2713710906382597
2517904.46833671,2517904.46833671,7690122.72,7690122.72,acanthastrea brevis,0.32742058352180753,0.32742058352180753
3822069.9677305506,3822069.9677305506,11736843.3,11736843.3,acanthastrea echinata,0.3256471838326878,0.3256471838326878
2869227.8701890362,2869227.8701890362,8783499.36,8783499.36,acanthastrea hemprichii,0.3266611349976846,0.3266611349976846
1143996.0392684103,1143996.0392684103,3739846.27,3739846.27,acanthastrea minuta,0.3058938674686247,0.3058938674686247
2647865.680500732,2647865.680500732,8185662.64,8185662.64,acanthastrea pachysepta,0.32347603327331015,0.32347603327331015
3009807.8996026753,3009807.8996026753,9264407.19,9264407.19,acanthastrea rotundoflora,0.3248786282679222,0.3248786282679222
1015315.4072444278,1015315.4072444278,7344449.31,7344449.31,acanthella cavernosa,0.13824255085565126,0.13824255085565126
796496.7014661261,796496.7014661261,6063281.35,6063281.35,acanthella costata,0.13136396869759742,0.13136396869759742
377448.63592046645,377448.63592046645,2120214.81,2120214.81,acanthella cubensis,0.17802377105387093,0.17802377105387093
359598.90974242246,304319.50110260915,2082315.47,1765730.51,acanthella mastophora,0.17269184949311378,0.17234764839772132
1194083.4276228496,1194083.4276228496,8713870.52,8713870.52,acanthella pulcherrima,0.1370324960512323,0.1370324960512323
145722.61160851963,145722.61160851963,593804.88,593804.88,acanthemblemaria aspera,0.24540487374997597,0.24540487374997597
31330.921357791092,31330.921357791092,116997.18,116997.18,acanthemblemaria balanorum,0.2677921071071208,0.2677921071071208
10381.262564279727,10381.262564279727,68943.98,68943.98,acanthemblemaria castroi,0.15057533035197165,0.15057533035197165
316194.79157451226,316194.79157451226,1443664.53,1443664.53,acanthemblemaria chaplini,0.21902234556840727,0.21902234556840727
58351.95069486902,58351.95069486902,223026.24,223026.24,acanthemblemaria crockeri,0.26163715397286447,0.26163715397286447
18291.083274784964,18291.083274784964,81310.37,81310.37,acanthemblemaria exilispinus,0.22495388072622183,0.22495388072622183
59759.67660755026,59759.67660755026,242196.86,242196.86,acanthemblemaria hancocki,0.24674009649650397,0.24674009649650397
