taxon_name,common_name,fleet_gear_name,bycatch,type,destruction
marine animals,marine animals,lines non-tuna,low,demersal,non-destructive
marine animals,marine animals,trap,high,demersal,non-destructive
marine animals,marine animals,trawl,high,demersal,destructive
marine animals,marine animals,seine,high,pelagic,non-destructive
marine animals,marine animals,purse seine non-tuna,low,pelagic,non-destructive
marine animals,marine animals,gillnet,high,demersal,non-destructive
miscellaneous diadromous fishes,diadromous fishes,lines non-tuna,low,demersal,non-destructive
miscellaneous diadromous fishes,diadromous fishes,trawl,high,demersal,destructive
clupeoids,herrings sardines anchovies,trawl,high,demersal,destructive
clupeoids,herrings sardines anchovies,trawl midwater,high,pelagic,non-destructive
clupeoids,herrings sardines anchovies,purse seine non-tuna,low,pelagic,non-destructive
clupeoids,herrings sardines anchovies,gillnet,high,pelagic,non-destructive
scombroids,tunas bonitos billfishes,other,low,pelagic,non-destructive
scombroids,tunas bonitos billfishes,lines non-tuna,low,pelagic,non-destructive
scombroids,tunas bonitos billfishes,trap,high,demersal,non-destructive
scombroids,tunas bonitos billfishes,trawl,high,demersal,destructive
scombroids,tunas bonitos billfishes,trawl midwater,high,pelagic,non-destructive
scombroids,tunas bonitos billfishes,purse seine non-tuna,low,pelagic,non-destructive
scombroids,tunas bonitos billfishes,gillnet,high,pelagic,non-destructive
scombroids,tunas bonitos billfishes,pole and line tuna,low,pelagic,non-destructive
scombroids,tunas bonitos billfishes,longlinetuna,high,pelagic,non-destructive
scombroids,tunas bonitos billfishes,purse seine tuna,low,pelagic,non-destructive
sharks rays chimaeras,sharks rays skates etc,trawl,high,demersal,destructive
marine fishes not identified,marine fishes,lines non-tuna,low,demersal,non-destructive
marine fishes not identified,marine fishes,trap,high,demersal,non-destructive
marine fishes not identified,marine fishes,trawl,high,demersal,destructive
marine fishes not identified,marine fishes,seine,high,pelagic,non-destructive
marine fishes not identified,marine fishes,purse seine non-tuna,low,pelagic,non-destructive
marine fishes not identified,marine fishes,gillnet,high,demersal,non-destructive
homaridae/palinuridae,lobsters spiny-rock lobsters,trap,high,demersal,non-destructive
homaridae/palinuridae,lobsters spiny-rock lobsters,dredge,high,demersal,destructive
homaridae/palinuridae,lobsters spiny-rock lobsters,trawl,high,demersal,destructive
homaridae/palinuridae,lobsters spiny-rock lobsters,gillnet,high,demersal,non-destructive
king crabs squat-lobsters,craylets squat lobsters,trap,high,demersal,non-destructive
king crabs squat-lobsters,craylets squat lobsters,dredge,high,demersal,destructive
king crabs squat-lobsters,craylets squat lobsters,trawl,high,demersal,destructive
miscellaneous marine crustaceans,marine crustaceans,trap,high,demersal,non-destructive
miscellaneous marine crustaceans,marine crustaceans,dredge,high,demersal,destructive
miscellaneous marine crustaceans,marine crustaceans,trawl,high,demersal,destructive
miscellaneous marine crustaceans,marine crustaceans,seine,high,pelagic,non-destructive
miscellaneous marine crustaceans,marine crustaceans,gillnet,high,demersal,non-destructive
clams cockles arkshells,clams cockles arkshells,other,low,demersal,non-destructive
clams cockles arkshells,clams cockles arkshells,trap,high,demersal,non-destructive
clams cockles arkshells,clams cockles arkshells,dredge,high,demersal,destructive
miscellaneous marine molluscs,marine molluscs,other,low,demersal,non-destructive
miscellaneous marine molluscs,marine molluscs,trap,high,demersal,non-destructive
miscellaneous marine molluscs,marine molluscs,dredge,high,demersal,destructive
marine fishes not identified,finfishes,trawl,high,demersal,destructive
marine fishes not identified,finfishes,gillnet,high,demersal,non-destructive
starfish and other echinoderms,starfishes,other,low,demersal,non-destructive
starfish and other echinoderms,starfishes,trap,high,demersal,non-destructive
starfish and other echinoderms,starfishes,dredge,high,demersal,destructive
sea-urchins and other echinoderms,sea urchins,other,low,demersal,non-destructive
sea-urchins and other echinoderms,sea urchins,dredge,high,demersal,destructive
sharks rays chimaeras,cartilaginous fishes,trawl,high,demersal,destructive
marine fishes not identified,pelagic fishes,lines non-tuna,low,demersal,non-destructive
marine fishes not identified,pelagic fishes,trawl,high,demersal,destructive
marine fishes not identified,pelagic fishes,gillnet,high,demersal,non-destructive
shrimps prawns,natantian decapods,trap,high,demersal,non-destructive
shrimps prawns,natantian decapods,trawl,high,demersal,destructive
sharks rays chimaeras,various sharks,trawl,high,demersal,destructive
holocephali,chimaeras ratfish rabbitfish,lines non-tuna,low,pelagic,non-destructive
holocephali,chimaeras ratfish rabbitfish,trawl,high,demersal,destructive
elasmobranchii,sharks and rays,trawl,high,demersal,destructive
cephalopoda,cephalopods,lines non-tuna,low,pelagic,non-destructive
cephalopoda,cephalopods,trawl,high,demersal,destructive
cephalopoda,cephalopods,trawl midwater,high,pelagic,non-destructive
cephalopoda,cephalopods,purse seine non-tuna,low,pelagic,non-destructive
cephalopoda,cephalopods,gillnet,high,pelagic,non-destructive
bivalvia,clams,other,low,demersal,non-destructive
bivalvia,clams,trap,high,demersal,non-destructive
bivalvia,clams,dredge,high,demersal,destructive
ascidiacea,sea squirts,other,low,demersal,non-destructive
ascidiacea,sea squirts,dredge,high,demersal,destructive
gastropoda,gastropods,other,low,demersal,non-destructive
gastropoda,gastropods,trap,high,demersal,non-destructive
gastropoda,gastropods,dredge,high,demersal,destructive
asteroidea,sea stars,other,low,demersal,non-destructive
asteroidea,sea stars,dredge,high,demersal,destructive
echinoidea,sea urchins,other,low,demersal,non-destructive
echinoidea,sea urchins,trap,high,demersal,non-destructive
echinoidea,sea urchins,dredge,high,demersal,destructive
holothuroidea,sea cucumbers,other,low,demersal,non-destructive
holothuroidea,sea cucumbers,trap,high,demersal,non-destructive
holothuroidea,sea cucumbers,dredge,high,demersal,destructive
crustacea,crustaceans,trap,high,demersal,non-destructive
crustacea,crustaceans,dredge,high,demersal,destructive
crustacea,crustaceans,trawl,high,demersal,destructive
crustacea,crustaceans,gillnet,high,demersal,non-destructive
chimaeriformes,chimaeras,other,low,pelagic,non-destructive
chimaeriformes,chimaeras,lines non-tuna,low,pelagic,non-destructive
chimaeriformes,chimaeras,trawl,high,demersal,destructive
lamniformes,mackerel sharks,lines non-tuna,low,pelagic,non-destructive
lamniformes,mackerel sharks,trawl,high,demersal,destructive
lamniformes,mackerel sharks,gillnet,high,pelagic,non-destructive
carcharhiniformes,ground sharks,lines non-tuna,low,pelagic,non-destructive
carcharhiniformes,ground sharks,trawl,high,demersal,destructive
carcharhiniformes,ground sharks,gillnet,high,pelagic,non-destructive
squaliformes,bramble sleeper dogfish sharks,lines non-tuna,low,pelagic,non-destructive
squaliformes,bramble sleeper dogfish sharks,trawl,high,demersal,destructive
