worms_sciname,am_sciname,am_sid,iucn_sid
epinephelus itajara,epinephelus itajara,Fis-22720,195409
epinephelus morio,epinephelus morio,Fis-22721,44681
epinephelus striatus,epinephelus striatus,Fis-22722,7862
balistes vetula,balistes vetula,Fis-29302,2539
argentina sphyraena,argentina sphyraena,Fis-29289,NA
benthosema glaciale,benthosema glaciale,Fis-22718,198611
callionymus reticulatus,callionymus reticulatus,Fis-29314,198554
callionymus lyra,callionymus lyra,Fis-29313,198634
clupea harengus,clupea harengus,Fis-29344,155123
gadiculus thori,gadiculus thori,Fis-3399,NA
glyptocephalus cynoglossus,glyptocephalus cynoglossus,Fis-22723,NA
lepidorhombus boscii,lepidorhombus boscii,Fis-22724,198729
lepidorhombus whiffiagonis,lepidorhombus whiffiagonis,Fis-22725,198730
merlangius merlangus,merlangius merlangus,Fis-22726,198585
merluccius merluccius,merluccius merluccius,Fis-22727,198562
micromesistius poutassou,micromesistius poutassou,Fis-22729,NA
microchirus variegatus,microchirus variegatus,Fis-22728,198736
molva molva,molva molva,Fis-22730,NA
pollachius pollachius,pollachius pollachius,Fis-22732,18125103
anguilla anguilla,anguilla anguilla,Fis-22711,60344
agonus cataphractus,agonus cataphractus,Fis-22710,18227168
ammodytes marinus,ammodytes marinus,Fis-29267,NA
ammodytes tobianus,ammodytes tobianus,Fis-29269,18155960
aphia minuta,aphia minuta,Fis-22712,NA
argyropelecus affinis,argyropelecus affinis,Fis-29291,190118
arnoglossus laterna,arnoglossus laterna,Fis-22714,198724
arnoglossus imperialis,arnoglossus imperialis,Fis-22713,154687
arnoglossus thori,arnoglossus thori,Fis-29297,198556
chelidonichthys cuculus,chelidonichthys cuculus,Fis-22715,198750
atherina presbyter,atherina presbyter,Fis-29300,194991
melanolagus bericoides,melanolagus bericoides,Fis-139729,190485
belone belone,belone belone,Fis-22717,198573
parablennius gattorugine,parablennius gattorugine,Fis-22731,185128
blennius ocellaris,blennius ocellaris,Fis-29304,185126
brosme brosme,brosme brosme,Fis-22740,NA
buenia jeffreysii,buenia jeffreysii,Fis-22741,18159126
engraulis ringens,engraulis ringens,Fis-29372,183775
orthopristis chrysoptera,orthopristis chrysoptera,Fis-22701,192937
