k,silh
6,0.16466301756075252
7,0.18282468535619337
8,0.18237229366979116
9,0.18585198146958423
10,0.19408562005268362
11,0.2037878692155937
12,0.21523273360490733
13,0.22641803919904932
14,0.2318377289613391
15,0.24058559236786617
16,0.24992230743786154
17,0.2502422877481708
18,0.23344638851719318
19,0.24119738317699016
20,0.24455784146531653
21,0.24278408881804067
22,0.2531297909608904
23,0.25863252008347293
24,0.2630224801973473
25,0.26054939855588777
26,0.2548403742795078
27,0.26033297122831367
28,0.2692222923968429
29,0.27385538018969285
30,0.2753382515074997
31,0.2767051845453243
32,0.28785008260805195
33,0.2924994178334257
34,0.2989669914869414
35,0.3076658889202026
